#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2230308319.0ns,22,0,480837,1.39637,2.23031,8,0,0,0
+3064308319.0ns,22,1,521374,2.23031,3.06431,15.166,0,0,0
+3946308319.0ns,22,2,743066,3.06431,3.94631,22.284,0,2,0
+5431408319.0ns,22,3,4025629,3.94631,5.43141,28.7989,0,5,0
+6940308319.0ns,22,4,4206543,5.43141,6.94031,35.29,0,5,0
+13378012479.0ns,22,5,2242387,12.2303,13.378,36.8523,0,5,0
+21666808319.0ns,22,6,3755393,20.2303,21.6668,36.5635,0,5,0
+29425908319.0ns,22,7,2474643,28.2303,29.4259,36.8044,0,5,0
+37498208319.0ns,22,8,2862242,36.2303,37.4982,36.7321,0,5,0
+45642808319.0ns,22,9,3627034,44.2303,45.6428,36.5875,0,5,0
+54124808319.0ns,22,10,6251703,52.2303,54.1248,36.1055,0,5,0
+61353508319.0ns,22,11,2052991,60.2303,61.3535,36.8768,0,5,0
+69257408319.0ns,22,12,1634051,68.2303,69.2574,36.9729,0,5,0
+77718608319.0ns,22,13,4096027,76.2303,77.7186,36.5117,0,5,0
+85717508319.0ns,22,14,4093881,84.2303,85.7175,36.5128,0,5,0
+94200008319.0ns,22,15,6652336,92.2303,94.2,36.0303,0,5,0
+101594808319.0ns,22,16,3469449,100.23,101.595,36.6355,0,5,0
+109739308319.0ns,22,17,4229612,108.23,109.739,36.491,0,5,0
+117715008319.0ns,22,18,3996665,116.23,117.715,36.5153,0,5,0
