#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw
0,1.4,0,0,9,-29.5877,29.8105,784.386,920.108,0,0,2,9,CONNECTED_NORMALLY,1,100
1,1.41,0,44800,9,-29.5877,29.8105,784.091,920.406,0,0,2,9,CONNECTED_NORMALLY,1,100
2,1.42,0,0,9,22.5136,-7.81983,784.304,920.336,0,0,2,9,CONNECTED_NORMALLY,1,100
3,1.43,44800,128000,9,22.5136,-7.81983,784.529,920.258,0,0,2,9,CONNECTED_NORMALLY,1,100
4,1.44,0,0,9,22.5136,-7.81983,784.754,920.18,0,0,2,9,CONNECTED_NORMALLY,1,100
5,1.45,196800,0,9,22.5136,-7.81983,784.979,920.102,0,0,2,9,CONNECTED_NORMALLY,1,100
6,1.46,0,0,9,-29.1967,-25.3851,784.8,919.886,0,0,2,9,CONNECTED_NORMALLY,1,100
7,1.47,0,0,9,-29.1967,-25.3851,784.508,919.632,0,0,2,9,CONNECTED_NORMALLY,1,100
8,1.48,0,0,9,32.0042,33.8205,784.337,919.495,0,0,2,9,CONNECTED_NORMALLY,1,100
9,1.49,0,0,9,32.0042,33.8205,784.657,919.833,0,0,2,9,CONNECTED_NORMALLY,1,100
10,1.5,0,0,9,2.68241,-26.7298,784.963,920.142,0,0,2,9,CONNECTED_NORMALLY,1,100
11,1.51,0,0,9,2.68241,-26.7298,784.989,919.874,0,0,2,9,CONNECTED_NORMALLY,1,100
12,1.52,0,0,9,2.68241,-26.7298,785.016,919.607,0,0,2,9,CONNECTED_NORMALLY,1,100
13,1.53,0,0,9,2.68241,-26.7298,785.043,919.34,0,0,2,9,CONNECTED_NORMALLY,1,100
14,1.54,0,0,9,17.4298,15.4609,785.118,919.21,0,0,2,9,CONNECTED_NORMALLY,1,100
15,1.55,0,0,9,17.4298,15.4609,785.292,919.365,0,0,2,9,CONNECTED_NORMALLY,1,100
16,1.56,0,0,9,17.4298,15.4609,785.467,919.52,0,0,2,9,CONNECTED_NORMALLY,1,100
17,1.57,0,0,9,17.4298,15.4609,785.641,919.674,0,0,2,9,CONNECTED_NORMALLY,1,100
18,1.58,0,0,9,25.7529,-11.4723,785.818,919.82,0,0,2,9,CONNECTED_NORMALLY,1,100
19,1.59,0,0,9,25.7529,-11.4723,786.076,919.705,0,0,2,9,CONNECTED_NORMALLY,1,100
20,1.6,0,0,9,25.7529,-11.4723,786.333,919.59,0,0,2,9,CONNECTED_NORMALLY,1,100
21,1.61,0,0,9,25.7529,-11.4723,786.591,919.475,0,0,2,9,CONNECTED_NORMALLY,1,100
22,1.62,0,0,9,-32.9347,5.95433,786.562,919.446,0,0,2,9,CONNECTED_NORMALLY,1,100
23,1.63,0,0,9,-32.9347,5.95433,786.233,919.505,0,0,2,9,CONNECTED_NORMALLY,1,100
24,1.64,0,0,9,-32.9347,5.95433,785.903,919.565,0,0,2,9,CONNECTED_NORMALLY,1,100
25,1.65,0,41600,9,38.3239,-7.34055,785.93,919.558,0,0,2,9,CONNECTED_NORMALLY,1,100
26,1.66,0,0,9,38.3239,-7.34055,786.313,919.484,0,0,2,9,CONNECTED_NORMALLY,1,100
27,1.67,0,0,9,38.3239,-7.34055,786.697,919.411,0,0,2,9,CONNECTED_NORMALLY,1,100
