Time,Event,IMSI,CellId,RNTI,TargetCellId
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494083,ConnectionEstablishedEnb,9,8,1,NA
2.4544,HandoverStartEnb,9,5,1,9
2.45581,HandoverEndOkEnb,9,9,5,NA
2.7448,HandoverStartEnb,9,9,5,5
2.7462,HandoverEndOkEnb,9,5,3,NA
7.518,HandoverStartEnb,9,5,3,10
7.5192,HandoverEndOkEnb,9,10,1,NA
8.0186,HandoverStartEnb,9,10,1,5
8.0198,HandoverEndOkEnb,9,5,4,NA
9.1894,HandoverStartEnb,9,5,4,9
9.1906,HandoverEndOkEnb,9,9,15,NA
9.3838,HandoverStartEnb,9,9,15,5
9.385,HandoverEndOkEnb,9,5,7,NA
9.693,HandoverStartEnb,9,5,7,9
9.6942,HandoverEndOkEnb,9,9,16,NA
10.1392,HandoverStartEnb,9,9,16,5
10.1404,HandoverEndOkEnb,9,5,9,NA
10.3916,HandoverStartEnb,9,5,9,9
10.3928,HandoverEndOkEnb,9,9,18,NA
10.5444,HandoverStartEnb,9,9,18,11
10.5456,HandoverEndOkEnb,9,11,7,NA
10.912,HandoverStartEnb,9,11,7,5
10.9132,HandoverEndOkEnb,9,5,10,NA
11.2888,HandoverStartEnb,9,5,10,9
11.29,HandoverEndOkEnb,9,9,20,NA
11.5524,HandoverStartEnb,9,9,20,5
11.5541,HandoverEndOkEnb,9,5,11,NA
12.9904,HandoverStartEnb,9,5,11,9
12.9922,HandoverEndOkEnb,9,9,24,NA
14.0264,HandoverStartEnb,9,9,24,5
14.0281,HandoverEndOkEnb,9,5,12,NA
15.057,HandoverStartEnb,9,5,12,9
15.0582,HandoverEndOkEnb,9,9,29,NA
15.266,HandoverStartEnb,9,9,29,5
15.2672,HandoverEndOkEnb,9,5,13,NA
16.6,HandoverStartEnb,9,5,13,7
16.6012,HandoverEndOkEnb,9,7,12,NA
17.0904,HandoverStartEnb,9,7,12,5
17.0918,HandoverEndOkEnb,9,5,15,NA
18.6214,HandoverStartEnb,9,5,15,10
18.6228,HandoverEndOkEnb,9,10,3,NA
18.8654,HandoverStartEnb,9,10,3,5
18.8666,HandoverEndOkEnb,9,5,19,NA
20.1596,HandoverStartEnb,9,5,19,9
20.161,HandoverEndOkEnb,9,9,36,NA
20.685,HandoverStartEnb,9,9,36,5
20.6862,HandoverEndOkEnb,9,5,20,NA
23.5488,HandoverStartEnb,9,5,20,9
23.55,HandoverEndOkEnb,9,9,40,NA
23.9226,HandoverStartEnb,9,9,40,5
23.924,HandoverEndOkEnb,9,5,21,NA
24.6912,HandoverStartEnb,9,5,21,9
24.6926,HandoverEndOkEnb,9,9,45,NA
