DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486083,48,6,1,1,1,5,1,0,48,0,0,4.60758,0,0,-0.702502
DL,0.0497083,49,7,1,1,1,5,1,0,385,10,0,3.71599,0,0.00729581,-4.05418
DL,0.900808,900,8,1,1,1,5,1,0,48,0,0,38.6754,0,0,0
DL,0.923812,923,8,1,1,2,5,1,0,100,0,0,36.7268,0,0,0
DL,0.924908,924,9,1,1,1,5,1,0,1776,28,0,37.502,0,0,0
DL,0.947921,947,9,1,1,4,5,1,0,204,0,0,36.0332,0,0,0
DL,1.14901,1149,0,1,1,1,5,1,0,48,0,0,36.0478,0,0,0
DL,1.17205,1172,0,1,1,12,5,1,0,619,0,0,39.7484,0,0,0
DL,1.37311,1373,1,1,1,1,5,1,0,48,0,0,28.3134,0,0,0
DL,1.3962,1396,1,1,1,22,5,1,0,1131,0,0,29.7684,0,0,0
DL,1.39621,1396,2,1,1,2,5,1,0,100,0,0,29.7972,0,0,0
DL,1.39721,1397,2,1,1,1,5,1,0,1776,28,0,28.7545,0,0,0
DL,1.41761,1417,6,1,1,1,5,1,0,48,0,0,32.5885,0,0,0
DL,1.42031,1420,3,1,1,2,5,1,0,3558,28,0,32.0317,0,0,0
DL,1.44171,1441,7,1,1,1,5,1,0,48,0,0,31.0856,0,0,0
DL,1.44441,1444,4,1,1,2,5,1,0,3558,28,0,31.0692,0,0,0
DL,1.46581,1465,8,1,1,1,5,1,0,48,0,0,29.2196,0,0,0
DL,1.46851,1468,5,1,1,2,5,1,0,3558,28,0,28.5738,0,0,0
DL,1.48991,1489,9,1,1,1,5,1,0,48,0,0,26.6126,0,0,0
DL,1.49262,1492,6,1,1,3,5,1,0,5341,28,0,26.4495,0,0,0
DL,1.49271,1492,7,1,1,1,5,1,0,1776,28,0,26.4451,0,0,0
DL,1.51401,1514,0,1,1,1,5,1,0,48,0,0,27.9684,0,0,0
DL,1.51672,1516,7,1,1,4,5,1,0,7120,28,0,27.0142,0,0,0
DL,1.51681,1516,8,1,1,1,5,1,0,1776,28,0,27.1051,0,0,0
DL,1.53811,1538,1,1,1,1,5,1,0,48,0,0,27.6411,0,0,0
DL,1.54083,1540,8,1,1,6,5,1,0,10685,28,0,27.3722,0,0,0
DL,1.54091,1540,9,1,1,1,5,1,0,1776,28,0,27.3738,0,0,0
DL,1.56221,1562,2,1,1,1,5,1,0,48,0,0,30.0319,0,0,0
DL,1.56494,1564,9,1,1,9,5,1,0,16030,28,0,31.0942,0,0,0
DL,1.56501,1565,0,1,1,1,5,1,0,1776,28,0,31.0164,0,0,0
DL,1.58631,1586,3,1,1,1,5,1,0,48,0,0,31.0083,0,0,0
DL,1.58906,1589,0,1,1,14,5,1,0,24936,28,0,32.7393,0,0,0
DL,1.58911,1589,1,1,1,1,5,1,0,1776,28,0,32.8713,0,0,0
DL,1.61041,1610,4,1,1,1,5,1,0,48,0,0,31.4278,0,0,0
DL,1.61319,1613,1,1,1,21,5,1,0,37408,28,0,32.3987,0,0,0
DL,1.61321,1613,2,1,1,1,5,1,0,1776,28,0,32.4599,0,0,0
DL,1.63451,1634,5,1,1,1,5,1,0,48,0,0,34.4881,0,0,0
DL,1.6373,1637,2,1,1,22,5,1,0,39187,28,0,34.2989,0,0,0
DL,1.63734,1637,3,1,1,9,5,1,0,16030,28,0,34.1384,0,0,0
DL,1.63741,1637,4,1,1,1,5,1,0,1776,28,0,34.2679,0,0,0
DL,1.65861,1658,6,1,1,1,5,1,0,48,0,0,32.3571,0,0,0
DL,1.6614,1661,3,1,1,22,5,1,0,39187,28,0,33.35,0,0,0
DL,1.6615,1661,4,1,1,22,5,1,0,39187,28,0,33.3237,0,0,0
DL,1.66152,1661,5,1,1,3,5,1,0,5341,28,0,33.3274,0,0,0
DL,1.66161,1661,6,1,1,1,5,1,0,1776,28,0,33.1326,0,0,0
DL,1.66871,1668,7,1,1,1,5,1,0,1776,28,0,32.8179,0,0,0
DL,1.68161,1681,6,1,1,1,5,1,0,48,0,0,31.2231,0,0,0
DL,1.6855,1685,4,1,1,22,5,1,0,39187,28,0,33.0228,0,0,0
DL,1.6856,1685,5,1,1,22,5,1,0,39187,28,0,32.6313,0,0,0
