DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0645536,6,4,2,2,1,9,2,0,60,0,0,-3.10923,0,0,-5.86212
DL,0.0667857,6,6,3,1,1,9,2,0,83,2,0,-3.14487,0,0,-5.87918
DL,0.258804,25,8,3,1,2,9,2,0,123,0,0,-4.83157,0,1.02141e-14,-7.19638
DL,0.261536,26,1,2,1,1,7,2,0,60,0,0,-1.39101,0,0,-4.57662
DL,0.901786,90,1,3,1,1,7,2,0,60,0,0,-0.219291,0,0,-3.80478
DL,0.924786,92,4,3,1,1,7,2,0,146,4,0,-0.905026,0,0,-4.233
DL,0.926786,92,6,3,1,1,7,2,0,146,4,0,-0.785787,0,0,-4.15948
DL,0.949804,94,9,3,1,2,7,2,0,296,4,0,-0.390405,0,0,-3.92187
DL,1.15204,115,2,0,1,1,7,2,0,60,0,0,0.139224,0,0,-3.54795
DL,1.17507,117,5,0,1,3,7,2,0,706,6,0,-0.214205,0,6.15112e-09,-3.79037
DL,1.37729,137,7,1,1,1,7,2,0,60,0,0,-0.145503,0,0,-3.75043
DL,1.40037,140,0,1,1,6,7,2,0,889,4,0,0.267984,0,0,-3.48546
DL,1.40229,140,2,1,1,1,7,2,0,233,6,0,0.206695,0,1.14754e-05,-3.50845
DL,1.42529,142,5,1,1,1,7,2,0,233,6,0,-0.542203,0,0.105706,-4.01024
DL,1.42704,142,7,0,1,1,7,2,0,146,4,0,-0.854757,0,0,-4.19264
DL,1.45005,145,0,0,1,2,7,2,0,296,4,0,-0.182334,0,0,-3.80579
DL,1.46954,146,9,2,1,1,7,2,0,233,6,0,-0.783697,1,0.310715,-4.14709
DL,1.47054,147,0,2,1,1,7,2,0,233,6,1,-0.919595,0,0,-4.19398
DL,1.47329,147,3,1,1,1,9,3,0,60,0,0,2.22194,0,0,-2.45346
DL,1.65229,165,2,1,1,1,9,3,0,60,0,0,4.82298,0,0,-1.51782
DL,1.6753,167,5,1,1,2,9,3,0,690,8,0,4.35695,0,0,-1.62764
DL,1.87754,187,7,2,1,1,9,3,0,60,0,0,0.926307,0,0,-3.17908
DL,1.90062,190,0,2,1,6,9,3,0,1409,6,0,0.440391,0,0,-3.41897
DL,1.90254,190,2,2,1,1,9,3,0,233,6,0,0.357464,0,3.30027e-06,-3.46546
DL,1.92566,192,5,2,1,8,9,3,0,1879,6,0,0.21365,0,5.32907e-15,-3.6151
DL,1.92829,192,8,1,1,1,9,3,0,233,6,0,0.419413,0,1.24305e-05,-3.51131
DL,1.95141,195,1,1,1,8,9,3,0,1879,6,0,1.56647,0,0,-2.85361
DL,1.95329,195,3,1,1,1,9,3,0,233,6,0,1.60795,0,0,-2.83974
DL,1.97648,197,6,1,1,12,9,3,0,2821,6,0,0.504084,0,0,-3.3874
DL,1.97659,197,6,2,1,4,9,3,0,936,6,0,0.575292,0,0,-3.34811
DL,1.97904,197,9,0,1,1,9,3,0,233,6,0,0.373074,0,2.59331e-06,-3.45746
DL,2.00223,200,2,0,1,12,9,3,0,2821,6,0,0.811875,0,0,-3.26156
DL,2.00246,200,2,1,1,11,9,3,0,2585,6,0,0.816648,0,0,-3.24754
DL,2.00404,200,4,0,1,1,9,3,0,233,6,0,0.949308,0,1.74811e-10,-3.1959
DL,2.02723,202,7,0,1,12,9,3,0,2821,6,0,1.79796,0,0,-2.71829
DL,2.02748,202,7,1,1,12,9,3,0,2821,6,0,1.8212,0,0,-2.70347
DL,2.02764,202,7,2,1,7,9,3,0,1642,6,0,1.85607,0,0,-2.6745
DL,2.02904,202,9,0,1,1,9,3,0,343,8,0,2.12792,0,0.000880532,-2.5261
DL,2.05004,205,0,0,1,1,9,3,0,343,8,0,1.46643,0,0.731528,-2.89963
DL,2.05223,205,2,0,1,12,9,3,0,2821,6,0,1.46172,0,0,-2.91192
DL,2.05248,205,2,1,1,12,9,3,0,2821,6,0,1.49446,0,0,-2.89193
DL,2.05273,205,2,2,1,12,9,3,0,2821,6,0,1.39977,0,0,-2.9299
DL,2.05295,205,2,3,1,10,9,3,0,2349,6,0,1.32361,0,0,-2.96554
DL,2.06029,206,0,1,1,1,9,3,0,233,6,0,1.39071,0,2.22045e-16,-2.9325
DL,2.07295,207,2,3,1,10,9,3,0,2349,6,0,1.59006,0,0,-2.8238
DL,2.07723,207,7,0,1,12,9,3,0,2821,6,0,1.44409,0,0,-2.90055
DL,2.07748,207,7,1,1,12,9,3,0,2821,6,0,1.44065,0,0,-2.89286
