Time,Event,IMSI,CellId,RNTI,TargetCellId
0.033,ConnectionEstablishedUe,9,1,10,NA
0.0449286,ConnectionEstablishedEnb,9,1,10,NA
0.0660036,ConnectionEstablishedEnb,9,9,2,NA
0.258,HandoverStartEnb,9,9,2,7
0.260986,HandoverEndOkEnb,9,7,2,NA
1.4688,HandoverStartEnb,9,7,2,9
1.47274,HandoverEndOkEnb,9,9,3,NA
3.674,HandoverStartEnb,9,9,3,7
3.67699,HandoverEndOkEnb,9,7,3,NA
32.6548,HandoverStartEnb,9,7,3,9
32.6577,HandoverEndOkEnb,9,9,6,NA
33.1732,HandoverStartEnb,9,9,6,7
33.176,HandoverEndOkEnb,9,7,5,NA
33.7744,HandoverStartEnb,9,7,5,9
33.7772,HandoverEndOkEnb,9,9,7,NA
34.7812,HandoverStartEnb,9,9,7,7
34.784,HandoverEndOkEnb,9,7,6,NA
35.85,HandoverStartEnb,9,7,6,9
35.853,HandoverEndOkEnb,9,9,8,NA
35.9924,HandoverStartEnb,9,9,8,7
35.9952,HandoverEndOkEnb,9,7,7,NA
60.584,HandoverStartEnb,9,7,7,10
60.587,HandoverEndOkEnb,9,10,3,NA
61.1744,HandoverStartEnb,9,10,3,7
61.1772,HandoverEndOkEnb,9,7,8,NA
