DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,2,1,0,60,0,0,18.9346,0,0,0
UL,0.0457857,4,5,3,1,1,2,1,0,60,0,0,18.9519,0,0,0
UL,0.0460357,4,6,0,1,1,2,1,0,60,0,0,18.922,0,0,0
UL,0.0655357,6,5,2,1,1,6,1,0,60,0,0,15.0196,0,0,-0.197754
UL,0.0655357,6,5,2,1,1,4,1,0,60,0,0,11.0067,0,0,0
UL,0.0655357,6,5,2,1,1,7,1,0,60,0,0,26.0145,0,0,0
UL,0.0655357,6,5,2,1,1,3,1,0,60,0,0,8.11596,0,0,0
UL,0.0655357,6,5,2,1,1,8,1,0,60,0,0,6.29688,0,0,-1.13437
UL,0.0655357,6,5,2,1,1,10,1,0,60,0,0,25.4271,0,0,0
UL,0.0655357,6,5,2,1,1,5,1,0,60,0,0,-4.42265,0,4.23217e-13,-6.60773
UL,0.0657857,6,5,3,1,1,6,1,0,60,0,0,15.1375,0,0,-0.206044
UL,0.0657857,6,5,3,1,1,4,1,0,60,0,0,11.0415,0,0,0
UL,0.0657857,6,5,3,1,1,7,1,0,60,0,0,25.9786,0,0,0
UL,0.0657857,6,5,3,1,1,3,1,0,60,0,0,8.11585,0,0,0
UL,0.0657857,6,5,3,1,1,8,1,0,60,0,0,6.35974,0,0,-1.26397
UL,0.0657857,6,5,3,1,1,10,1,0,60,0,0,25.453,0,0,0
UL,0.0657857,6,5,3,1,1,5,1,0,60,0,0,-4.48646,0,2.05913e-12,-6.66197
UL,0.0660357,6,6,0,1,1,6,1,0,60,0,0,15.2042,0,0,-0.192364
UL,0.0660357,6,6,0,1,1,4,1,0,60,0,0,10.978,0,0,0
UL,0.0660357,6,6,0,1,1,7,1,0,60,0,0,25.9197,0,0,0
UL,0.0660357,6,6,0,1,1,3,1,0,60,0,0,8.07863,0,0,0
UL,0.0660357,6,6,0,1,1,8,1,0,60,0,0,6.29478,0,0,-1.32181
UL,0.0660357,6,6,0,1,1,10,1,0,60,0,0,25.4783,0,0,0
UL,0.0660357,6,6,0,1,1,5,1,0,60,0,0,-4.54237,0,7.84423e-12,-6.7097
UL,0.900804,90,0,3,1,2,10,1,0,123,0,0,25.3395,0,0,0
UL,0.901054,90,1,0,1,2,10,1,0,123,0,0,25.3443,0,0,0
UL,0.901304,90,1,1,1,2,10,1,0,123,0,0,25.4501,0,0,0
UL,0.925786,92,5,3,1,1,10,1,0,2162,28,0,25.8756,0,0,0
UL,0.926036,92,6,0,1,1,10,1,0,2162,28,0,25.8181,0,0,0
UL,0.926286,92,6,1,1,1,10,1,0,2162,28,0,25.8615,0,0,0
UL,0.950536,95,0,2,1,1,10,1,0,2162,28,0,25.6683,0,0,0
UL,1.15055,115,0,2,1,2,10,1,0,123,0,0,26.4806,0,0,0
UL,1.1508,115,0,3,1,2,10,1,0,123,0,0,26.4734,0,0,0
UL,1.15105,115,1,0,1,2,10,1,0,123,0,0,26.4452,0,0,0
UL,1.17554,117,5,2,1,1,10,1,0,2162,28,0,26.1302,0,0,0
UL,1.37555,137,5,2,1,2,10,1,0,123,0,0,28.2653,0,0,0
UL,1.3758,137,5,3,1,2,10,1,0,123,0,0,28.1637,0,0,0
UL,1.37605,137,6,0,1,2,10,1,0,123,0,0,28.1358,0,0,0
UL,1.40054,140,0,2,1,1,10,1,0,2162,28,0,28.632,0,0,0
UL,1.40079,140,0,3,1,1,10,1,0,2162,28,0,28.5596,0,0,0
UL,1.40104,140,1,0,1,1,10,1,0,2162,28,0,28.5917,0,0,0
UL,1.42529,142,5,1,1,1,10,1,0,2162,28,0,28.7781,0,0,0
UL,1.42554,142,5,2,1,1,10,1,0,2162,28,0,28.8208,0,0,0
UL,1.42579,142,5,3,1,1,10,1,0,2162,28,0,28.833,0,0,0
UL,1.45004,145,0,0,1,1,10,1,0,2162,28,0,29.329,0,0,0
UL,1.65005,165,0,0,1,2,10,1,0,123,0,0,28.2317,0,0,0
UL,1.6503,165,0,1,1,2,10,1,0,123,0,0,28.175,0,0,0
UL,1.65055,165,0,2,1,2,10,1,0,123,0,0,28.1135,0,0,0
UL,1.67504,167,5,0,1,1,10,1,0,2162,28,0,27.2839,0,0,0
UL,1.87505,187,5,0,1,2,10,1,0,123,0,0,27.2746,0,0,0
UL,1.8753,187,5,1,1,2,10,1,0,123,0,0,27.2891,0,0,0
UL,1.87555,187,5,2,1,2,10,1,0,123,0,0,27.2846,0,0,0
UL,1.90004,190,0,0,1,1,10,1,0,2162,28,0,27.3077,0,0,0
UL,1.90029,190,0,1,1,1,10,1,0,2162,28,0,27.3353,0,0,0
UL,1.90054,190,0,2,1,1,10,1,0,2162,28,0,27.2525,0,0,0
UL,1.92479,192,4,3,1,1,10,1,0,2162,28,0,27.8759,0,0,0
UL,1.92504,192,5,0,1,1,10,1,0,2162,28,0,27.8957,0,0,0
UL,1.92529,192,5,1,1,1,10,1,0,2162,28,0,27.9125,0,0,0
UL,1.94954,194,9,2,1,1,10,1,0,2162,28,0,28.2346,0,0,0
UL,1.94979,194,9,3,1,1,10,1,0,2162,28,0,28.2659,0,0,0
UL,1.95004,195,0,0,1,1,10,1,0,2162,28,0,28.2634,0,0,0
UL,1.97454,197,4,2,1,1,10,1,0,2162,28,0,28.4196,0,0,0
UL,1.97479,197,4,3,1,1,10,1,0,2162,28,0,28.4287,0,0,0
UL,1.97504,197,5,0,1,1,10,1,0,2162,28,0,28.3782,0,0,0
UL,1.99954,199,9,2,1,1,10,1,0,2162,28,0,28.1981,0,0,0
UL,1.99979,199,9,3,1,1,10,1,0,2162,28,0,28.2059,0,0,0
UL,2.00004,200,0,0,1,1,10,1,0,2162,28,0,28.1603,0,0,0
UL,2.02454,202,4,2,1,1,10,1,0,2162,28,0,28.4697,0,0,0
UL,2.02479,202,4,3,1,1,10,1,0,2162,28,0,28.4335,0,0,0
UL,2.02504,202,5,0,1,1,10,1,0,2162,28,0,28.5348,0,0,0
UL,2.04954,204,9,2,1,1,10,1,0,2162,28,0,29.0507,0,0,0
UL,2.04979,204,9,3,1,1,10,1,0,2162,28,0,29.0426,0,0,0
UL,2.05004,205,0,0,1,1,10,1,0,2162,28,0,28.9537,0,0,0
UL,2.07454,207,4,2,1,1,10,1,0,2162,28,0,28.6101,0,0,0
UL,2.07479,207,4,3,1,1,10,1,0,2162,28,0,28.6108,0,0,0
UL,2.07504,207,5,0,1,1,10,1,0,2162,28,0,28.5777,0,0,0
UL,2.09954,209,9,2,1,1,10,1,0,2162,28,0,27.8877,0,0,0
UL,2.09979,209,9,3,1,1,10,1,0,2162,28,0,27.8873,0,0,0
UL,2.10004,210,0,0,1,1,10,1,0,2162,28,0,27.9949,0,0,0
UL,2.12454,212,4,2,1,1,10,1,0,2162,28,0,27.2322,0,0,0
UL,2.12479,212,4,3,1,1,10,1,0,2162,28,0,27.2144,0,0,0
UL,2.12504,212,5,0,1,1,10,1,0,2162,28,0,27.1536,0,0,0
UL,2.14954,214,9,2,1,1,10,1,0,2162,28,0,28.8781,0,0,0
UL,2.14979,214,9,3,1,1,10,1,0,2162,28,0,28.9121,0,0,0
UL,2.15005,215,0,0,1,2,10,1,0,4328,28,0,28.8272,0,0,0
UL,2.1503,215,0,1,2,1,10,1,0,2162,28,0,28.8601,0,0,0
UL,2.17054,217,0,2,1,1,10,1,0,2162,28,0,28.9708,0,0,0
UL,2.17079,217,0,3,1,1,10,1,0,2162,28,0,28.9706,0,0,0
UL,2.17104,217,1,0,1,1,10,1,0,2162,28,0,28.9128,0,0,0
UL,2.17454,217,4,2,1,1,10,1,0,2162,28,0,28.9301,0,0,0
UL,2.17479,217,4,3,1,1,10,1,0,2162,28,0,29.0435,0,0,0
UL,2.17505,217,5,0,1,2,10,1,0,4328,28,0,29.1383,0,0,0
