DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,3,1,0,60,0,0,0.252664,0,0,-2.96177
UL,0.0455357,4,5,2,1,1,9,1,0,60,0,0,11.1953,0,0,0
UL,0.0457857,4,5,3,1,1,3,1,0,60,0,0,0.275383,0,0,-2.94687
UL,0.0457857,4,5,3,1,1,9,1,0,60,0,0,11.2564,0,0,0
UL,0.0460357,4,6,0,1,1,3,1,0,60,0,0,0.230454,0,0,-2.9761
UL,0.0460357,4,6,0,1,1,9,1,0,60,0,0,11.3616,0,0,0
UL,0.0655357,6,5,2,1,1,10,1,0,60,0,0,-3.32038,0,0,-6.03302
UL,0.0655357,6,5,2,1,1,4,1,0,60,0,0,11.4918,0,0,0
UL,0.0655357,6,5,2,1,1,7,1,0,60,0,0,-0.978322,0,0,-3.8059
UL,0.0655357,6,5,2,1,1,2,1,0,60,0,0,39.3703,0,0,0
UL,0.0657857,6,5,3,1,1,10,1,0,60,0,0,-3.32935,0,0,-6.04062
UL,0.0657857,6,5,3,1,1,4,1,0,60,0,0,11.5471,0,0,0
UL,0.0657857,6,5,3,1,1,7,1,0,60,0,0,-0.931674,0,0,-3.77245
UL,0.0657857,6,5,3,1,1,2,1,0,60,0,0,39.4111,0,0,0
UL,0.0658036,6,5,3,2,1,4,2,0,60,0,0,9.42916,0,0,-0.514048
UL,0.0658036,6,5,3,2,1,7,2,0,60,0,0,15.335,0,0,-0.146926
UL,0.0660357,6,6,0,1,1,10,1,0,60,0,0,-3.3179,0,0,-6.03258
UL,0.0660357,6,6,0,1,1,4,1,0,60,0,0,11.6116,0,0,0
UL,0.0660357,6,6,0,1,1,7,1,0,60,0,0,-0.89384,0,0,-3.74557
UL,0.0660357,6,6,0,1,1,2,1,0,60,0,0,39.4694,0,0,0
UL,0.0660536,6,6,0,2,1,4,2,0,60,0,0,9.51013,0,0,-0.504906
UL,0.0660536,6,6,0,2,1,7,2,0,60,0,0,15.4335,0,0,-0.143612
UL,0.0663036,6,6,1,2,1,4,2,0,60,0,0,9.50472,0,0,-0.545796
UL,0.0663036,6,6,1,2,1,7,2,0,60,0,0,15.4613,0,0,-0.133315
UL,1.15479,115,4,3,1,1,5,1,0,60,0,0,1.90751,0,0,-2.74934
UL,1.15504,115,5,0,1,1,5,1,0,60,0,0,1.95431,0,0,-2.7269
UL,1.15529,115,5,1,1,1,5,1,0,60,0,0,1.9665,0,0,-2.69644
UL,3.09554,309,5,2,1,1,3,2,0,60,0,0,-0.541027,0,0,-3.49585
UL,3.09579,309,5,3,1,1,3,2,0,60,0,0,-0.524903,0,0,-3.48528
UL,3.09604,309,6,0,1,1,3,2,0,60,0,0,-0.582034,0,0,-3.52503
UL,6.5008,650,0,3,1,2,7,2,0,123,0,0,21.5773,0,0,-0.0199881
UL,6.50105,650,1,0,1,2,7,2,0,123,0,0,21.5859,0,0,-0.0253523
UL,6.5013,650,1,1,1,2,7,2,0,123,0,0,21.6299,0,0,-0.0253698
UL,6.52579,652,5,3,1,1,7,2,0,1879,25,0,21.4891,0,9.97937e-08,-0.550917
UL,6.52604,652,6,0,1,1,7,2,0,1879,25,0,21.5959,0,1.4531e-07,-0.554061
UL,6.52629,652,6,1,1,1,7,2,0,1879,25,0,21.5617,0,4.2518e-07,-0.56327
UL,6.55054,655,0,2,1,1,7,2,0,1879,25,0,21.7692,0,2.41426e-08,-0.539385
UL,6.75055,675,0,2,1,2,7,2,0,123,0,0,18.5268,0,0,-0.0524125
UL,6.7508,675,0,3,1,2,7,2,0,123,0,0,18.4587,0,0,-0.0560986
UL,6.75105,675,1,0,1,2,7,2,0,123,0,0,18.4768,0,0,-0.0559427
UL,6.77554,677,5,2,1,1,7,2,0,1642,23,0,18.5776,0,5.24096e-07,-1.0122
UL,6.97555,697,5,2,1,2,7,2,0,123,0,0,18.8945,0,0,-0.0540579
UL,6.9758,697,5,3,1,2,7,2,0,123,0,0,18.8683,0,0,-0.0507606
UL,6.97605,697,6,0,1,2,7,2,0,123,0,0,18.7734,0,0,-0.0528982
UL,7.00054,700,0,2,1,1,7,2,0,1642,23,0,18.6514,0,7.09762e-09,-0.97271
UL,7.00079,700,0,3,1,1,7,2,0,1642,23,0,18.6993,0,9.99947e-09,-0.975665
UL,7.00104,700,1,0,1,1,7,2,0,1642,23,0,18.7247,0,2.78965e-08,-0.98469
UL,7.02554,702,5,2,1,1,7,2,0,1642,23,0,18.6497,0,3.66084e-09,-0.967086
UL,7.02579,702,5,3,1,1,7,2,0,1642,23,0,18.5207,0,7.59638e-08,-0.993784
UL,7.02604,702,6,0,1,1,7,2,0,1642,23,0,18.532,0,1.5901e-07,-1.00068
UL,7.05054,705,0,2,1,1,7,2,0,1642,23,0,18.5197,0,2.52814e-07,-1.00511
UL,7.05079,705,0,3,1,1,7,2,0,1642,23,0,18.5845,0,2.36999e-07,-1.00448
UL,7.05104,705,1,0,1,1,7,2,0,1642,23,0,18.6008,0,5.31674e-07,-1.01235
UL,7.07654,707,6,2,1,1,7,2,0,1642,23,0,18.9906,0,2.86804e-12,-0.912003
UL,7.07684,707,6,3,1,4,7,2,0,249,0,0,18.9149,0,0,-0.0478248
UL,7.07709,707,7,0,1,4,7,2,0,249,0,0,18.9454,0,0,-0.0532222
UL,7.10154,710,1,2,1,1,7,2,0,1761,24,0,18.5528,0,0.294147,-0.974023
UL,7.10179,710,1,3,1,1,7,2,0,1761,24,0,18.5818,0,0.343931,-0.979619
UL,7.10204,710,2,0,1,1,7,2,0,1761,24,0,18.5848,0,0.497006,-0.995133
UL,7.12654,712,6,2,1,1,7,2,0,1642,23,0,19.9482,0,0,-0.761911
UL,7.12679,712,6,3,1,1,7,2,0,1642,23,0,19.9215,0,0,-0.758311
UL,7.12704,712,7,0,1,1,7,2,0,1642,23,0,19.9685,0,0,-0.747038
UL,7.15154,715,1,2,1,1,7,2,0,1761,24,0,19.3096,0,0.00239832,-0.87461
