DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0645536,6,4,2,2,1,7,2,0,60,0,0,15.3994,0,0,-0.13292
DL,0.0667857,6,6,3,1,1,7,2,0,1291,20,0,15.4923,0,0,-1.71025
DL,6.50179,650,1,3,1,1,7,2,0,60,0,0,21.5548,0,0,-0.0562348
DL,6.52479,652,4,3,1,1,7,2,0,1761,24,0,21.5862,0,0,-0.538393
DL,6.52654,652,6,2,1,1,7,2,0,1761,24,0,21.6675,0,0,-0.536578
DL,6.54954,654,9,2,1,1,7,2,0,1761,24,0,21.3037,0,0,-0.588237
DL,6.75154,675,1,2,1,1,7,2,0,60,0,0,18.8231,0,0,-0.0725258
DL,6.77454,677,4,2,1,1,7,2,0,1527,22,0,18.6586,0,0,-0.994538
DL,6.97654,697,6,2,1,1,7,2,0,60,0,0,18.6243,0,0,-0.0669339
DL,6.99954,699,9,2,1,1,7,2,0,1527,22,0,18.801,0,0,-0.974623
DL,7.00129,700,1,1,1,1,7,2,0,1761,24,0,18.8968,0,0.153169,-0.954265
DL,7.0243,702,4,1,1,2,7,2,0,3058,22,0,18.763,0,0,-0.95346
DL,7.02629,702,6,1,1,1,7,2,0,1761,24,0,18.424,1,0.954904,-1.0582
DL,7.02729,702,7,1,1,1,7,2,0,1761,24,1,18.3728,0,0,-1.04936
DL,7.0493,704,9,1,1,2,7,2,0,3058,22,0,18.6771,0,0,-0.972011
DL,7.05129,705,1,1,1,1,7,2,0,1527,22,0,18.7185,0,0,-0.953039
DL,7.07432,707,4,1,1,3,7,2,0,5295,24,0,18.8705,1,0.472717,-0.967319
DL,7.07532,707,5,1,1,3,7,2,0,5295,24,1,18.7072,0,0,-0.975772
DL,7.07729,707,7,1,1,1,7,2,0,1527,22,0,18.9239,0,0,-0.908399
DL,7.10034,710,0,1,1,4,7,2,0,7059,24,0,18.8529,0,0.319758,-0.945508
DL,7.10054,710,0,2,1,1,7,2,0,1761,24,0,18.9968,0,0.0321134,-0.918651
DL,7.10229,710,2,1,1,1,7,2,0,1761,24,0,18.7045,1,0.375058,-0.982931
DL,7.10329,710,3,1,1,1,7,2,0,1761,24,1,18.8478,0,0,-0.951294
DL,7.12536,712,5,1,1,5,7,2,0,8826,24,0,20.075,0,1.55557e-07,-0.75337
DL,7.12554,712,5,2,1,1,7,2,0,1761,24,0,19.8872,0,3.58011e-07,-0.773279
DL,7.12729,712,7,1,1,1,7,2,0,1761,24,0,19.942,0,3.73964e-08,-0.753031
DL,7.15039,715,0,1,1,7,7,2,0,12357,24,0,19.3942,0,0.00615677,-0.863227
DL,7.15054,715,0,2,1,1,7,2,0,1761,24,0,19.5632,0,5.82918e-05,-0.826017
DL,7.15229,715,2,1,1,1,7,2,0,1761,24,0,19.6334,0,1.8765e-06,-0.789199
DL,7.17545,717,5,1,1,10,7,2,0,17655,24,0,20.2401,0,1.98119e-10,-0.695879
DL,7.17554,717,5,2,1,1,7,2,0,1761,24,0,20.2142,0,1.84846e-10,-0.71052
DL,7.17729,717,7,1,1,1,7,2,0,1761,24,0,19.8614,0,1.98701e-06,-0.789768
DL,7.20045,720,0,1,1,10,7,2,0,17655,24,0,20.5543,0,1.83192e-10,-0.695322
DL,7.20061,720,0,2,1,5,7,2,0,8826,24,0,20.5061,0,6.39622e-11,-0.692781
DL,7.20079,720,0,3,1,1,7,2,0,1761,24,0,20.5157,0,1.09179e-12,-0.674392
DL,7.20229,720,2,1,1,1,7,2,0,1761,24,0,20.7066,0,0,-0.614404
DL,7.22545,722,5,1,1,10,7,2,0,17655,24,0,20.4719,0,4.66294e-12,-0.67024
DL,7.22573,722,5,2,1,12,7,2,0,21189,24,0,20.4281,0,9.39426e-12,-0.67385
DL,7.22579,722,5,3,1,1,7,2,0,1761,24,0,20.369,0,4.9148e-11,-0.700795
DL,7.22729,722,7,1,1,1,7,2,0,1761,24,0,20.2657,0,4.05146e-11,-0.699401
DL,7.25045,725,0,1,1,10,7,2,0,17655,24,0,19.9388,0,7.44941e-07,-0.761024
DL,7.25073,725,0,2,1,12,7,2,0,21189,24,0,19.9242,0,3.79674e-07,-0.753759
DL,7.25095,725,0,3,1,10,7,2,0,17655,24,0,19.9003,0,9.55457e-06,-0.784756
DL,7.25104,725,1,0,1,1,7,2,0,1761,24,0,20.01,0,3.2422e-08,-0.751802
DL,7.25229,725,2,1,1,1,7,2,0,1761,24,0,20.2825,0,6.33771e-09,-0.738113
DL,7.27329,727,3,1,1,1,7,2,0,1761,24,0,20.4519,0,2.08478e-10,-0.711418
DL,7.27545,727,5,1,1,10,7,2,0,17655,24,0,20.0122,0,1.44439e-08,-0.728013
DL,7.27573,727,5,2,1,12,7,2,0,21189,24,0,19.9932,0,9.39906e-08,-0.741929
DL,7.27598,727,5,3,1,12,7,2,0,21189,24,0,19.9834,0,7.84437e-08,-0.740433
DL,7.27604,727,6,0,1,1,7,2,0,1761,24,0,20.0446,0,2.74567e-08,-0.750377
DL,7.27645,727,6,1,1,10,7,2,0,17655,24,0,20.0855,0,2.83665e-07,-0.752572
DL,7.27661,727,6,2,1,5,7,2,0,8826,24,0,20.1835,0,3.58124e-08,-0.740955
DL,7.27679,727,6,3,1,1,7,2,0,1761,24,0,20.2352,0,1.54895e-10,-0.709204
DL,7.28354,728,3,2,1,1,7,2,0,1761,24,0,20.0882,0,6.32533e-08,-0.757607
DL,7.29698,729,6,3,1,12,7,2,0,21189,24,0,20.0004,0,3.18311e-07,-0.752237
