#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,6.5,0,0,22,13.4055,-5.1157,546.2,431.844,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.26
1,6.51,0,44800,22,13.4055,-5.1157,546.334,431.792,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.316
2,6.52,0,0,22,13.4055,-5.1157,546.469,431.741,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.373
3,6.53,44800,129600,22,13.4055,-5.1157,546.603,431.69,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.43
4,6.54,0,0,22,13.4055,-5.1157,546.737,431.639,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.486
5,6.55,119200,0,22,13.4055,-5.1157,546.871,431.588,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.543
6,6.56,0,0,22,-13.8806,4.21772,546.803,431.606,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.509
7,6.57,0,0,22,-13.8806,4.21772,546.664,431.648,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.442
8,6.58,0,0,22,-13.8806,4.21772,546.525,431.69,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.376
9,6.59,0,0,22,-13.8806,4.21772,546.386,431.732,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.309
10,6.6,0,0,22,-13.8806,4.21772,546.247,431.775,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.243
11,6.61,0,0,22,-13.8806,4.21772,546.109,431.817,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.177
12,6.62,0,0,22,-13.8806,4.21772,545.97,431.859,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.111
13,6.63,0,0,22,-8.7264,5.42276,545.875,431.911,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.082
14,6.64,0,0,22,-8.7264,5.42276,545.787,431.966,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.061
15,6.65,0,0,22,-8.7264,5.42276,545.7,432.02,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.04
16,6.66,0,0,22,-8.7264,5.42276,545.613,432.074,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,157.018
17,6.67,0,0,22,-8.7264,5.42276,545.526,432.128,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.997
18,6.68,0,0,22,-8.7264,5.42276,545.438,432.182,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.976
19,6.69,0,0,22,-8.7264,5.42276,545.351,432.237,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.955
20,6.7,0,0,22,-8.7264,5.42276,545.264,432.291,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.934
21,6.71,0,0,22,-8.7264,5.42276,545.177,432.345,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.912
22,6.72,0,0,22,-14.0168,6.31078,545.083,432.4,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.888
23,6.73,0,0,22,-14.0168,6.31078,544.943,432.463,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.837
24,6.74,0,0,22,-14.0168,6.31078,544.803,432.527,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.786
25,6.75,0,41600,22,-14.0168,6.31078,544.663,432.59,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.736
26,6.76,0,0,22,-14.0168,6.31078,544.523,432.653,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.685
27,6.77,0,0,22,-14.0168,6.31078,544.382,432.716,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.635
28,6.78,470400,0,22,-14.0168,6.31078,544.242,432.779,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.585
29,6.79,0,0,22,13.1902,-8.16322,544.268,432.754,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.584
30,6.8,0,0,22,13.1902,-8.16322,544.4,432.672,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.615
31,6.81,0,0,22,13.1902,-8.16322,544.532,432.591,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.647
32,6.82,0,0,22,13.1902,-8.16322,544.663,432.509,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.678
33,6.83,0,0,22,13.1902,-8.16322,544.795,432.427,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,156.71
