Time,Event,IMSI,CellId,RNTI,TargetCellId
0.033,ConnectionEstablishedUe,9,1,10,NA
0.0449286,ConnectionEstablishedEnb,9,1,10,NA
0.0544083,ConnectionEstablishedEnb,9,3,6,NA
0.304,HandoverStartEnb,9,3,6,2
0.305408,HandoverEndOkEnb,9,2,3,NA
0.5888,HandoverStartEnb,9,2,3,3
0.590208,HandoverEndOkEnb,9,3,7,NA
1.3696,HandoverStartEnb,9,3,7,5
1.37101,HandoverEndOkEnb,9,5,3,NA
3.4448,HandoverStartEnb,9,5,3,3
3.44721,HandoverEndOkEnb,9,3,9,NA
4.4368,HandoverStartEnb,9,3,9,5
4.4382,HandoverEndOkEnb,9,5,6,NA
4.9072,HandoverStartEnb,9,5,6,3
4.90861,HandoverEndOkEnb,9,3,11,NA
5.4128,HandoverStartEnb,9,3,11,5
5.414,HandoverEndOkEnb,9,5,8,NA
14.7344,HandoverStartEnb,9,5,8,2
14.7358,HandoverEndOkEnb,9,2,14,NA
15.2104,HandoverStartEnb,9,2,14,5
15.2118,HandoverEndOkEnb,9,5,21,NA
16.5392,HandoverStartEnb,9,5,21,3
16.5406,HandoverEndOkEnb,9,3,26,NA
17.3328,HandoverStartEnb,9,3,26,5
17.3342,HandoverEndOkEnb,9,5,25,NA
18.3024,HandoverStartEnb,9,5,25,2
18.3038,HandoverEndOkEnb,9,2,18,NA
18.613,HandoverStartEnb,9,2,18,5
18.6144,HandoverEndOkEnb,9,5,31,NA
19.0368,HandoverStartEnb,9,5,31,2
19.0382,HandoverEndOkEnb,9,2,20,NA
19.6512,HandoverStartEnb,9,2,20,5
19.6526,HandoverEndOkEnb,9,5,35,NA
21.5312,HandoverStartEnb,9,5,35,2
21.5326,HandoverEndOkEnb,9,2,22,NA
21.8336,HandoverStartEnb,9,2,22,5
21.835,HandoverEndOkEnb,9,5,40,NA
23.4024,HandoverStartEnb,9,5,40,4
23.4038,HandoverEndOkEnb,9,4,17,NA
23.768,HandoverStartEnb,9,4,17,2
23.7694,HandoverEndOkEnb,9,2,25,NA
24.037,HandoverStartEnb,9,2,25,5
24.0384,HandoverEndOkEnb,9,5,44,NA
24.5568,HandoverStartEnb,9,5,44,2
24.5582,HandoverEndOkEnb,9,2,26,NA
26.4432,HandoverStartEnb,9,2,26,5
26.4446,HandoverEndOkEnb,9,5,51,NA
27.0736,HandoverStartEnb,9,5,51,2
27.075,HandoverEndOkEnb,9,2,29,NA
27.8896,HandoverStartEnb,9,2,29,5
27.891,HandoverEndOkEnb,9,5,55,NA
29.368,HandoverStartEnb,9,5,55,2
29.3692,HandoverEndOkEnb,9,2,31,NA
29.5376,HandoverStartEnb,9,2,31,5
29.539,HandoverEndOkEnb,9,5,58,NA
30.6288,HandoverStartEnb,9,5,58,2
30.6302,HandoverEndOkEnb,9,2,32,NA
30.9136,HandoverStartEnb,9,2,32,5
30.915,HandoverEndOkEnb,9,5,60,NA
