Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494125,ConnectionEstablishedEnb,9,3,2,NA
0.3456,HandoverStartEnb,9,3,2,8
0.347008,HandoverEndOkEnb,9,8,2,NA
0.562,HandoverStartEnb,9,8,2,6
0.563408,HandoverEndOkEnb,9,6,3,NA
1.1376,HandoverStartEnb,9,6,3,5
1.13901,HandoverEndOkEnb,9,5,2,NA
1.3072,HandoverStartEnb,9,5,2,6
1.30861,HandoverEndOkEnb,9,6,5,NA
1.7792,HandoverStartEnb,9,6,5,8
1.7806,HandoverEndOkEnb,9,8,4,NA
2.0672,HandoverStartEnb,9,8,4,6
2.06921,HandoverEndOkEnb,9,6,6,NA
3.3264,HandoverStartEnb,9,6,6,8
3.3276,HandoverEndOkEnb,9,8,6,NA
5.1472,HandoverStartEnb,9,8,6,6
5.1484,HandoverEndOkEnb,9,6,10,NA
6.0624,HandoverStartEnb,9,6,10,5
6.0636,HandoverEndOkEnb,9,5,6,NA
6.424,HandoverStartEnb,9,5,6,6
6.4252,HandoverEndOkEnb,9,6,11,NA
6.5776,HandoverStartEnb,9,6,11,8
6.57901,HandoverEndOkEnb,9,8,8,NA
6.8928,HandoverStartEnb,9,8,8,5
6.89421,HandoverEndOkEnb,9,5,7,NA
7.9728,HandoverStartEnb,9,5,7,8
7.97421,HandoverEndOkEnb,9,8,9,NA
8.7616,HandoverStartEnb,9,8,9,5
8.7628,HandoverEndOkEnb,9,5,9,NA
