Time,Event,IMSI,CellId,RNTI,TargetCellId
0.024,ConnectionEstablishedUe,10,1,1,NA
0.025,ConnectionEstablishedUe,2,1,2,NA
0.026,ConnectionEstablishedUe,8,1,3,NA
0.027,ConnectionEstablishedUe,6,1,4,NA
0.028,ConnectionEstablishedUe,7,1,5,NA
0.029,ConnectionEstablishedUe,5,1,6,NA
0.03,ConnectionEstablishedUe,3,1,7,NA
0.031,ConnectionEstablishedUe,4,1,8,NA
0.032,ConnectionEstablishedUe,1,1,9,NA
0.033,ConnectionEstablishedUe,9,1,10,NA
0.0359286,ConnectionEstablishedEnb,10,1,1,NA
0.0369286,ConnectionEstablishedEnb,2,1,2,NA
0.0379286,ConnectionEstablishedEnb,8,1,3,NA
0.0389286,ConnectionEstablishedEnb,6,1,4,NA
0.0399286,ConnectionEstablishedEnb,7,1,5,NA
0.0409286,ConnectionEstablishedEnb,5,1,6,NA
0.0419286,ConnectionEstablishedEnb,3,1,7,NA
0.0429286,ConnectionEstablishedEnb,4,1,8,NA
0.0439286,ConnectionEstablishedEnb,1,1,9,NA
0.0444083,ConnectionEstablishedEnb,2,3,1,NA
0.0444083,ConnectionEstablishedEnb,6,2,1,NA
0.0444083,ConnectionEstablishedEnb,10,4,1,NA
0.0444125,ConnectionEstablishedEnb,8,3,2,NA
0.0449286,ConnectionEstablishedEnb,9,1,10,NA
0.0494083,ConnectionEstablishedEnb,1,4,2,NA
0.0494083,ConnectionEstablishedEnb,3,3,3,NA
0.0494083,ConnectionEstablishedEnb,4,2,2,NA
0.0494125,ConnectionEstablishedEnb,5,3,4,NA
0.0494166,ConnectionEstablishedEnb,7,3,5,NA
0.0544083,ConnectionEstablishedEnb,9,3,6,NA
0.2228,HandoverStartEnb,2,3,1,5
0.224208,HandoverEndOkEnb,2,5,1,NA
0.2896,HandoverStartEnb,8,3,2,5
0.291008,HandoverEndOkEnb,8,5,2,NA
0.304,HandoverStartEnb,9,3,6,2
0.305408,HandoverEndOkEnb,9,2,3,NA
0.5152,HandoverStartEnb,4,2,2,4
0.516608,HandoverEndOkEnb,4,4,3,NA
0.5888,HandoverStartEnb,9,2,3,3
0.590208,HandoverEndOkEnb,9,3,7,NA
1.3008,HandoverStartEnb,4,4,3,2
1.30221,HandoverEndOkEnb,4,2,4,NA
1.3696,HandoverStartEnb,9,3,7,5
1.37101,HandoverEndOkEnb,9,5,3,NA
1.383,HandoverStartEnb,10,4,1,2
1.38441,HandoverEndOkEnb,10,2,5,NA
1.5984,HandoverStartEnb,6,2,1,4
1.59981,HandoverEndOkEnb,6,4,4,NA
1.7904,HandoverStartEnb,6,4,4,2
1.79181,HandoverEndOkEnb,6,2,6,NA
2.096,HandoverStartEnb,7,3,5,5
2.09741,HandoverEndOkEnb,7,5,4,NA
