DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0442083,44,2,1,1,1,11,1,0,48,0,0,8.26879,0,0,0
UL,0.0442083,44,2,1,1,1,8,1,0,48,0,0,13.5624,0,0,0
UL,0.0442083,44,2,1,1,1,3,1,0,48,0,0,5.29148,0,0,-0.310423
UL,0.0442083,44,2,1,1,1,5,1,0,48,0,0,26.1768,0,0,0
UL,0.0443083,44,3,1,1,1,11,1,0,48,0,0,8.17008,0,0,-0.00886932
UL,0.0443083,44,3,1,1,1,8,1,0,48,0,0,13.4505,0,0,0
UL,0.0443083,44,3,1,1,1,3,1,0,48,0,0,5.46014,0,0,-0.199575
UL,0.0443083,44,3,1,1,1,5,1,0,48,0,0,26.1045,0,0,0
UL,0.0444083,44,4,1,1,1,11,1,0,48,0,0,8.38529,0,0,0
UL,0.0444083,44,4,1,1,1,8,1,0,48,0,0,12.9586,0,0,0
UL,0.0444083,44,4,1,1,1,3,1,0,48,0,0,5.66968,0,0,-0.156296
UL,0.0444083,44,4,1,1,1,5,1,0,48,0,0,26.3072,0,0,0
UL,0.0492083,49,2,1,1,1,3,2,0,48,0,0,26.0099,0,0,0
UL,0.0492083,49,2,1,1,1,10,1,0,48,0,0,2.95089,0,0,-1.49965
UL,0.0492083,49,2,1,1,1,8,2,0,48,0,0,21.6197,0,0,0
UL,0.0492083,49,2,1,1,1,11,2,0,48,0,0,23.0202,0,0,0
UL,0.0492125,49,2,2,2,1,3,3,0,48,0,0,26.5249,0,0,0
UL,0.0493083,49,3,1,1,1,3,2,0,48,0,0,26.0341,0,0,0
UL,0.0493083,49,3,1,1,1,10,1,0,48,0,0,2.63656,0,0,-1.68675
UL,0.0493083,49,3,1,1,1,8,2,0,48,0,0,22.056,0,0,0
UL,0.0493083,49,3,1,1,1,11,2,0,48,0,0,23.0504,0,0,0
UL,0.0493125,49,3,2,2,1,3,3,0,48,0,0,26.275,0,0,0
UL,0.0494083,49,4,1,1,1,3,2,0,48,0,0,25.9724,0,0,0
UL,0.0494083,49,4,1,1,1,10,1,0,48,0,0,2.72247,0,0,-1.63551
UL,0.0494083,49,4,1,1,1,8,2,0,48,0,0,21.717,0,0,0
UL,0.0494083,49,4,1,1,1,11,2,0,48,0,0,22.9934,0,0,0
UL,0.0494125,49,4,2,2,1,3,3,0,48,0,0,26.3515,0,0,0
UL,0.0542083,54,2,1,1,1,6,1,0,48,0,0,23.921,0,0,0
UL,0.0543083,54,3,1,1,1,6,1,0,48,0,0,24.071,0,0,0
UL,0.0544083,54,4,1,1,1,6,1,0,48,0,0,24.0026,0,0,0
UL,0.183608,183,6,1,1,1,10,2,0,48,0,0,37.3074,0,0,0
UL,0.183708,183,7,1,1,1,10,2,0,48,0,0,37.2418,0,0,0
UL,0.183808,183,8,1,1,1,10,2,0,48,0,0,37.3496,0,0,0
UL,0.596608,596,6,1,1,1,4,1,0,48,0,0,28.2499,0,0,0
UL,0.596708,596,7,1,1,1,4,1,0,48,0,0,28.4189,0,0,0
UL,0.596808,596,8,1,1,1,4,1,0,48,0,0,28.3462,0,0,0
UL,0.900312,900,3,1,1,2,11,2,0,100,0,0,33.6019,0,0,0
UL,0.900412,900,4,1,1,2,11,2,0,100,0,0,33.3782,0,0,0
UL,0.900512,900,5,1,1,2,11,2,0,100,0,0,33.3045,0,0,0
UL,0.924421,924,4,1,1,4,11,2,0,204,0,0,33.2211,0,0,0
UL,0.924521,924,5,1,1,4,11,2,0,204,0,0,33.2993,0,0,0
UL,0.924621,924,6,1,1,4,11,2,0,204,0,0,33.3462,0,0,0
UL,0.931208,931,2,1,1,1,4,2,0,48,0,0,28.7999,0,0,0
UL,0.931308,931,3,1,1,1,4,2,0,48,0,0,28.8324,0,0,0
UL,0.931408,931,4,1,1,1,4,2,0,48,0,0,28.8788,0,0,0
UL,0.948508,948,5,1,1,1,11,2,0,48,0,0,30.6836,0,0,0
UL,1.04601,1046,0,1,1,1,11,3,0,48,0,0,27.9722,0,0,0
UL,1.04611,1046,1,1,1,1,11,3,0,48,0,0,27.9617,0,0,0
UL,1.04621,1046,2,1,1,1,11,3,0,48,0,0,27.9233,0,0,0
UL,1.14851,1148,5,1,1,2,11,2,0,100,0,0,34.4332,0,0,0
UL,1.14861,1148,6,1,1,2,11,2,0,100,0,0,34.3558,0,0,0
UL,1.14871,1148,7,1,1,2,11,2,0,100,0,0,34.1756,0,0,0
UL,1.17261,1172,6,1,1,1,11,2,0,48,0,0,35.6447,0,0,0
UL,1.37261,1372,6,1,1,2,11,2,0,100,0,0,38.2282,0,0,0
UL,1.37271,1372,7,1,1,2,11,2,0,100,0,0,38.2544,0,0,0
UL,1.37281,1372,8,1,1,2,11,2,0,100,0,0,38.5136,0,0,0
UL,1.39672,1396,7,1,1,4,11,2,0,204,0,0,36.0581,0,0,0
UL,1.39682,1396,8,1,1,4,11,2,0,204,0,0,35.7788,0,0,0
UL,1.39692,1396,9,1,1,4,11,2,0,204,0,0,35.7638,0,0,0
UL,1.42082,1420,8,1,1,4,11,2,0,204,0,0,35.9078,0,0,0
UL,1.42092,1420,9,1,1,4,11,2,0,204,0,0,35.9801,0,0,0
