DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486083,48,6,1,1,1,11,2,0,48,0,0,23.6741,0,0,0
DL,0.0497083,49,7,1,1,1,11,2,0,1776,28,0,24.2665,0,0,0
DL,0.900808,900,8,1,1,1,11,2,0,48,0,0,33.1968,0,0,0
DL,0.923812,923,8,1,1,2,11,2,0,100,0,0,32.7467,0,0,0
DL,0.924908,924,9,1,1,1,11,2,0,1776,28,0,33.3319,0,0,0
DL,0.947921,947,9,1,1,4,11,2,0,204,0,0,30.9107,0,0,0
DL,1.14901,1149,0,1,1,1,11,2,0,48,0,0,34.1575,0,0,0
DL,1.17205,1172,0,1,1,12,11,2,0,619,0,0,35.3031,0,0,0
DL,1.37311,1373,1,1,1,1,11,2,0,48,0,0,38.1397,0,0,0
DL,1.39617,1396,1,1,1,17,11,2,0,872,0,0,35.7367,0,0,0
DL,1.39721,1397,2,1,1,1,11,2,0,1776,28,0,35.5966,0,0,0
DL,1.42021,1420,2,1,1,2,11,2,0,100,0,0,36.0798,0,0,0
DL,1.42131,1421,3,1,1,1,11,2,0,1776,28,0,36.2169,0,0,0
DL,1.44432,1444,3,1,1,4,11,2,0,204,0,0,34.6401,0,0,0
DL,1.64541,1645,4,1,1,1,11,2,0,48,0,0,34.2188,0,0,0
DL,1.66845,1668,4,1,1,12,11,2,0,619,0,0,34.6341,0,0,0
DL,1.86951,1869,5,1,1,1,11,2,0,48,0,0,32.5758,0,0,0
DL,1.8926,1892,5,1,1,22,11,2,0,1131,0,0,30.9454,0,0,0
DL,1.89261,1892,6,1,1,2,11,2,0,100,0,0,31.1704,0,0,0
DL,1.89361,1893,6,1,1,1,11,2,0,1776,28,0,30.4868,0,0,0
DL,1.91401,1914,0,1,1,1,11,2,0,48,0,0,32.4393,0,0,0
DL,1.91671,1916,7,1,1,2,11,2,0,3558,28,0,32.5975,0,0,0
DL,1.93811,1938,1,1,1,1,11,2,0,48,0,0,35.1476,0,0,0
DL,1.94081,1940,8,1,1,2,11,2,0,3558,28,0,34.1477,0,0,0
DL,1.96221,1962,2,1,1,1,11,2,0,48,0,0,36.2174,0,0,0
DL,1.96491,1964,9,1,1,2,11,2,0,3558,28,0,35.5491,0,0,0
DL,1.98631,1986,3,1,1,1,11,2,0,48,0,0,32.5578,0,0,0
DL,1.98902,1989,0,1,1,3,11,2,0,5341,28,0,33.9154,0,0,0
DL,1.98911,1989,1,1,1,1,11,2,0,1776,28,0,34.1059,0,0,0
DL,2.01041,2010,4,1,1,1,11,2,0,48,0,0,33.275,0,0,0
DL,2.01312,2013,1,1,1,4,11,2,0,7120,28,0,32.3439,0,0,0
DL,2.01321,2013,2,1,1,1,11,2,0,1776,28,0,32.4272,0,0,0
DL,2.03451,2034,5,1,1,1,11,2,0,48,0,0,29.8524,0,0,0
DL,2.03723,2037,2,1,1,6,11,2,0,10685,28,0,28.9838,0,0,0
DL,2.03731,2037,3,1,1,1,11,2,0,1776,28,0,28.7485,0,0,0
DL,2.05861,2058,6,1,1,1,11,2,0,48,0,0,31.1689,0,0,0
DL,2.06134,2061,3,1,1,9,11,2,0,16030,28,0,31.0452,0,0,0
DL,2.06141,2061,4,1,1,1,11,2,0,1776,28,0,31.0547,0,0,0
DL,2.08271,2082,7,1,1,1,11,2,0,48,0,0,31.3668,0,0,0
DL,2.08546,2085,4,1,1,14,11,2,0,24936,28,0,31.731,0,0,0
DL,2.08551,2085,5,1,1,1,11,2,0,1776,28,0,31.6761,0,0,0
DL,2.10681,2106,8,1,1,1,11,2,0,48,0,0,33.155,0,0,0
DL,2.10959,2109,5,1,1,21,11,2,0,37408,28,0,33.2726,0,0,0
