Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494083,ConnectionEstablishedEnb,9,11,2,NA
3.8984,HandoverStartEnb,9,11,2,4
3.89971,HandoverEndOkEnb,9,4,5,NA
4.2518,HandoverStartEnb,9,4,5,11
4.253,HandoverEndOkEnb,9,11,5,NA
5.1414,HandoverStartEnb,9,11,5,4
5.14259,HandoverEndOkEnb,9,4,6,NA
5.5216,HandoverStartEnb,9,4,6,11
5.52301,HandoverEndOkEnb,9,11,6,NA
10.3472,HandoverStartEnb,9,11,6,4
10.3486,HandoverEndOkEnb,9,4,13,NA
10.5626,HandoverStartEnb,9,4,13,11
10.564,HandoverEndOkEnb,9,11,12,NA
12.0032,HandoverStartEnb,9,11,12,4
12.0046,HandoverEndOkEnb,9,4,16,NA
12.3012,HandoverStartEnb,9,4,16,11
12.3026,HandoverEndOkEnb,9,11,17,NA
20.2592,HandoverStartEnb,9,11,17,4
20.2606,HandoverEndOkEnb,9,4,28,NA
21.2158,HandoverStartEnb,9,4,28,11
21.2172,HandoverEndOkEnb,9,11,23,NA
26.436,HandoverStartEnb,9,11,23,4
26.4374,HandoverEndOkEnb,9,4,38,NA
26.6472,HandoverStartEnb,9,4,38,11
26.6486,HandoverEndOkEnb,9,11,27,NA
28.8974,HandoverStartEnb,9,11,27,5
28.8986,HandoverEndOkEnb,9,5,19,NA
29.1394,HandoverStartEnb,9,5,19,11
29.1408,HandoverEndOkEnb,9,11,30,NA
30.3936,HandoverStartEnb,9,11,30,4
31.004,HandoverEndOkEnb,9,4,41,NA
31.0774,HandoverStartEnb,9,4,41,11
31.0788,HandoverEndOkEnb,9,11,33,NA
31.9978,HandoverStartEnb,9,11,33,4
31.9992,HandoverEndOkEnb,9,4,43,NA
32.1872,HandoverStartEnb,9,4,43,11
32.1886,HandoverEndOkEnb,9,11,35,NA
34.0288,HandoverStartEnb,9,11,35,5
34.0302,HandoverEndOkEnb,9,5,23,NA
34.1124,HandoverStartEnb,9,5,23,4
34.1141,HandoverEndOkEnb,9,4,45,NA
34.4362,HandoverStartEnb,9,4,45,11
34.4381,HandoverEndOkEnb,9,11,37,NA
35.3794,HandoverStartEnb,9,11,37,4
35.3808,HandoverEndOkEnb,9,4,47,NA
35.5808,HandoverStartEnb,9,4,47,11
35.5822,HandoverEndOkEnb,9,11,38,NA
42.3588,HandoverStartEnb,9,11,38,4
42.3808,HandoverEndOkEnb,9,4,56,NA
42.5536,HandoverStartEnb,9,4,56,11
42.6755,HandoverEndOkEnb,9,11,43,NA
45.1914,HandoverStartEnb,9,11,43,4
45.1928,HandoverEndOkEnb,9,4,61,NA
45.7478,HandoverStartEnb,9,4,61,11
45.7492,HandoverEndOkEnb,9,11,47,NA
50.381,HandoverStartEnb,9,11,47,4
50.3824,HandoverEndOkEnb,9,4,67,NA
50.6604,HandoverStartEnb,9,4,67,3
50.6618,HandoverEndOkEnb,9,3,42,NA
50.889,HandoverStartEnb,9,3,42,4
50.8904,HandoverEndOkEnb,9,4,69,NA
53.6752,HandoverStartEnb,9,4,69,8
53.6766,HandoverEndOkEnb,9,8,21,NA
54.036,HandoverStartEnb,9,8,21,4
54.0374,HandoverEndOkEnb,9,4,75,NA
59.4432,HandoverStartEnb,9,4,75,10
59.4446,HandoverEndOkEnb,9,10,60,NA
59.8734,HandoverStartEnb,9,10,60,4
59.8748,HandoverEndOkEnb,9,4,84,NA
