DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0442083,44,2,1,1,1,8,1,0,48,0,0,3.52716,0,0,-1.19628
UL,0.0442083,44,2,1,1,1,6,1,0,48,0,0,10.5548,0,0,0
UL,0.0442083,44,2,1,1,1,5,1,0,48,0,0,6.13053,0,0,0
UL,0.0442083,44,2,1,1,1,9,1,0,48,0,0,29.0731,0,0,0
UL,0.0443083,44,3,1,1,1,8,1,0,48,0,0,3.77352,0,0,-1.12466
UL,0.0443083,44,3,1,1,1,6,1,0,48,0,0,10.5923,0,0,0
UL,0.0443083,44,3,1,1,1,5,1,0,48,0,0,6.34835,0,0,0
UL,0.0443083,44,3,1,1,1,9,1,0,48,0,0,29.056,0,0,0
UL,0.0444083,44,4,1,1,1,8,1,0,48,0,0,3.91704,0,0,-1.06551
UL,0.0444083,44,4,1,1,1,6,1,0,48,0,0,10.5332,0,0,0
UL,0.0444083,44,4,1,1,1,5,1,0,48,0,0,6.43745,0,0,0
UL,0.0444083,44,4,1,1,1,9,1,0,48,0,0,29.0543,0,0,0
UL,0.0492083,49,2,1,1,1,9,2,0,48,0,0,23.1394,0,0,0
UL,0.0492083,49,2,1,1,1,5,2,0,48,0,0,11.5748,0,0,0
UL,0.0492083,49,2,1,1,1,4,1,0,48,0,0,18.8144,0,0,0
UL,0.0492083,49,2,1,1,1,3,1,0,48,0,0,-7.12002,0,0.537867,-8.88634
UL,0.0492125,49,2,2,2,1,5,3,0,48,0,0,27.859,0,0,0
UL,0.0493083,49,3,1,1,1,9,2,0,48,0,0,23.1852,0,0,0
UL,0.0493083,49,3,1,1,1,5,2,0,48,0,0,11.7969,0,0,0
UL,0.0493083,49,3,1,1,1,4,1,0,48,0,0,19.1136,0,0,0
UL,0.0493083,49,3,1,1,1,3,1,0,48,0,0,-6.98558,1,0.425533,-8.77098
UL,0.0493125,49,3,2,2,1,5,3,0,48,0,0,27.8115,0,0,0
UL,0.0494083,49,4,1,1,1,9,2,0,48,0,0,23.2866,0,0,0
UL,0.0494083,49,4,1,1,1,5,2,0,48,0,0,11.633,0,0,0
UL,0.0494083,49,4,1,1,1,4,1,0,48,0,0,19.7246,0,0,0
UL,0.0494083,49,4,1,1,1,3,1,0,48,0,0,-7.01827,1,0.454163,-8.80031
UL,0.0494125,49,4,2,2,1,5,3,0,48,0,0,27.9436,0,0,0
UL,0.0496083,49,6,1,1,1,3,1,0,48,0,1,21.6715,0,0,-2.46911
UL,0.0497125,49,7,2,2,1,3,1,0,48,0,1,21.8874,0,0,-2.47254
UL,0.0542083,54,2,1,1,1,8,2,0,48,0,0,29.5427,0,0,0
UL,0.0543083,54,3,1,1,1,8,2,0,48,0,0,29.9044,0,0,0
UL,0.0544083,54,4,1,1,1,8,2,0,48,0,0,30.1901,0,0,0
UL,0.260408,260,4,1,1,1,6,2,0,48,0,0,28.5085,0,0,0
UL,0.260508,260,5,1,1,1,6,2,0,48,0,0,28.6344,0,0,0
UL,0.260608,260,6,1,1,1,6,2,0,48,0,0,28.6113,0,0,0
UL,0.441408,441,4,1,1,1,8,3,0,48,0,0,33.3196,0,0,0
UL,0.441508,441,5,1,1,1,8,3,0,48,0,0,33.2533,0,0,0
UL,0.441608,441,6,1,1,1,8,3,0,48,0,0,33.3622,0,0,0
UL,0.809608,809,6,1,1,1,9,3,0,48,0,0,22.2936,0,0,0
UL,0.809708,809,7,1,1,1,9,3,0,48,0,0,22.3146,0,0,0
UL,0.809808,809,8,1,1,1,9,3,0,48,0,0,22.5855,0,0,0
UL,0.900312,900,3,1,1,2,3,1,0,100,0,0,31.5913,0,0,0
UL,0.900412,900,4,1,1,2,3,1,0,100,0,0,31.6869,0,0,0
UL,0.900512,900,5,1,1,2,3,1,0,100,0,0,31.7851,0,0,0
UL,0.913008,913,0,1,1,1,6,3,0,48,0,0,29.0265,0,0,0
UL,0.913108,913,1,1,1,1,6,3,0,48,0,0,29.0841,0,0,0
UL,0.913208,913,2,1,1,1,6,3,0,48,0,0,29.1447,0,0,0
UL,0.924421,924,4,1,1,4,3,1,0,204,0,0,31.698,0,0,0
UL,0.924521,924,5,1,1,4,3,1,0,204,0,0,31.7109,0,0,0
UL,0.924621,924,6,1,1,4,3,1,0,204,0,0,31.7284,0,0,0
UL,0.948508,948,5,1,1,1,3,1,0,48,0,0,30.4557,0,0,0
UL,1.13321,1133,2,1,1,1,3,2,0,48,0,0,26.6449,0,0,0
UL,1.13331,1133,3,1,1,1,3,2,0,48,0,0,26.5147,0,0,0
UL,1.13341,1133,4,1,1,1,3,2,0,48,0,0,26.5614,0,0,0
UL,1.14851,1148,5,1,1,2,3,1,0,100,0,0,25.5664,0,0,0
UL,1.14861,1148,6,1,1,2,3,1,0,100,0,0,25.2142,0,0,0
UL,1.14871,1148,7,1,1,2,3,1,0,100,0,0,25.0227,0,0,0
UL,1.17261,1172,6,1,1,1,3,1,0,48,0,0,23.2715,0,0,0
