DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486083,48,6,1,1,1,3,1,0,48,0,0,19.8568,0,0,0
DL,0.0497083,49,7,1,1,1,3,1,0,1640,26,0,19.2397,0,9.28516e-09,-0.361276
DL,0.900808,900,8,1,1,1,3,1,0,48,0,0,31.7275,0,0,0
DL,0.923812,923,8,1,1,2,3,1,0,100,0,0,31.5978,0,0,0
DL,0.924908,924,9,1,1,1,3,1,0,1776,28,0,31.6071,0,0,0
DL,0.947921,947,9,1,1,4,3,1,0,204,0,0,30.4808,0,0,0
DL,1.14901,1149,0,1,1,1,3,1,0,48,0,0,25.1126,0,0,0
DL,1.17205,1172,0,1,1,12,3,1,0,619,0,0,23.9065,0,0,0
DL,1.37311,1373,1,1,1,1,3,1,0,48,0,0,24.0415,0,0,0
DL,1.39617,1396,1,1,1,17,3,1,0,872,0,0,22.9983,0,0,0
DL,1.39721,1397,2,1,1,1,3,1,0,1776,28,0,23.6979,0,0,0
DL,1.42021,1420,2,1,1,2,3,1,0,100,0,0,22.1277,0,0,0
DL,1.42131,1421,3,1,1,1,3,1,0,1776,28,0,22.2114,0,0,-0.0103309
DL,1.43471,1434,7,1,1,2,3,1,0,100,0,0,21.1734,0,0,0
DL,1.43611,1436,1,1,1,1,7,1,0,48,0,0,14.7015,0,0,-0.133341
DL,1.44431,1444,3,1,1,1,7,1,0,1060,20,0,14.7522,0,0,-1.59454
DL,1.64541,1645,4,1,1,1,7,1,0,48,0,0,10.8179,0,0,-0.249655
DL,1.66845,1668,4,1,1,12,7,1,0,619,0,0,9.81974,0,0,-0.323519
DL,1.86951,1869,5,1,1,1,7,1,0,48,0,0,13.5115,0,0,-0.109337
DL,1.8926,1892,5,1,1,22,7,1,0,1131,0,0,11.2898,0,0,-0.233888
DL,1.89261,1892,6,1,1,2,7,1,0,100,0,0,11.5311,0,0,-0.179481
