#,Time,nodeId,velo_x,velo_y,pos_x,pos_y,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw
1,0,16,-36.4574,-17.7126,541,427,0,30309,9,0,IDLE_START,0,0
2,0.0211,16,-36.4574,-17.7126,540.231,426.626,0,30309,9,0,IDLE_START,0,0
3,0.0422,16,23.0272,-20.713,540.504,426.2,0,30309,9,0,IDLE_START,0,0
4,0.0633,16,24.1734,-0.296292,540.997,425.892,0,30309,9,9,CONNECTED_NORMALLY,3,4
5,0.0844,16,24.1734,-0.296292,541.507,425.886,0,30309,9,9,CONNECTED_NORMALLY,3,4
6,0.1055,16,41.6264,17.3177,542.143,426.006,0,30309,9,9,CONNECTED_NORMALLY,3,4
7,0.1266,16,21.2857,25.1596,542.897,426.419,0,30309,9,9,CONNECTED_NORMALLY,3,4
8,0.1477,16,21.2857,25.1596,543.346,426.95,0,30309,9,9,CONNECTED_NORMALLY,3,4
9,0.1688,16,-23.9677,1.6412,542.983,427.059,0,30309,9,9,CONNECTED_NORMALLY,3,4
10,0.1899,16,-23.9677,1.6412,542.477,427.094,0,30309,9,9,CONNECTED_NORMALLY,3,4
11,0.211,16,-19.9416,17.6392,542.046,427.425,0,30309,9,9,CONNECTED_NORMALLY,3,4
12,0.2321,16,5.93386,-44.2774,541.679,427.669,0,30309,9,9,CONNECTED_NORMALLY,3,4
13,0.2532,16,-4.25524,-29.446,541.796,426.746,0,30309,9,9,CONNECTED_NORMALLY,3,4
14,0.2743,16,-4.25524,-29.446,541.706,426.125,0,30309,9,9,CONNECTED_NORMALLY,3,4
15,0.2954,16,-5.49705,36.9354,541.605,426.126,0,30309,9,9,CONNECTED_NORMALLY,3,4
16,0.3165,16,-26.5626,-11.2105,541.411,426.727,0,30309,9,9,CONNECTED_NORMALLY,2,4
17,0.3376,16,-26.5626,-11.2105,540.851,426.491,0,30309,9,9,CONNECTED_NORMALLY,2,4
18,0.3587,16,-30.4417,18.7623,540.247,426.59,0,30309,9,9,CONNECTED_NORMALLY,2,4
19,0.3798,16,-2.60137,30.3006,539.725,427.036,0,30309,9,9,CONNECTED_NORMALLY,2,4
20,0.4009,16,-2.60137,30.3006,539.67,427.675,0,30309,9,9,CONNECTED_NORMALLY,2,4
21,0.422,16,32.8306,16.1635,540.099,428.122,0,30309,9,9,CONNECTED_NORMALLY,2,4
22,0.4431,16,8.5874,30.7621,540.612,428.571,0,30309,9,9,CONNECTED_NORMALLY,2,4
23,0.4642,16,8.5874,30.7621,540.793,429.22,0,30309,9,9,CONNECTED_NORMALLY,2,4
24,0.4853,16,18.5259,-37.486,541.156,428.619,0,30309,9,9,CONNECTED_NORMALLY,2,4
25,0.5064,16,-22.5487,-36.3597,540.91,427.845,0,30309,9,9,CONNECTED_NORMALLY,2,4
26,0.5275,16,-15.0457,-27.8447,540.534,427.191,0,30309,9,9,CONNECTED_NORMALLY,2,4
27,0.5486,16,-32.3908,0.997899,540.169,426.682,0,30309,9,9,CONNECTED_NORMALLY,2,4
28,0.5697,16,-32.3908,0.997899,539.485,426.703,0,30309,9,9,CONNECTED_NORMALLY,2,4
29,0.5908,16,-38.0134,-11.5643,538.723,426.548,0,30309,9,9,CONNECTED_NORMALLY,3,4
30,0.6119,16,24.5529,35.1203,538.547,426.771,0,30309,9,9,CONNECTED_NORMALLY,3,4
31,0.633,16,-14.9515,-32.7869,538.758,426.984,0,30309,9,9,CONNECTED_NORMALLY,3,4
32,0.6541,16,-17.4852,39.2753,538.44,426.373,0,30309,9,9,CONNECTED_NORMALLY,3,4
33,0.6752,16,-17.4852,39.2753,538.071,427.202,0,30309,9,9,CONNECTED_NORMALLY,3,4
34,0.6963,16,-38.0279,19.1555,537.29,427.627,0,30309,9,9,CONNECTED_NORMALLY,3,4
35,0.7174,16,-25.0832,8.24302,536.716,427.838,0,30309,9,9,CONNECTED_NORMALLY,3,4
36,0.7385,16,-36.5807,-32.0106,536.176,427.976,0,30309,9,9,CONNECTED_NORMALLY,3,4
37,0.7596,16,-32.5512,26.6032,535.41,427.384,0,30309,9,9,CONNECTED_NORMALLY,3,4
38,0.7807,16,-32.5512,26.6032,534.724,427.946,0,30309,9,9,CONNECTED_NORMALLY,3,4
39,0.8018,16,23.2645,-40.848,535.144,427.168,0,30309,9,9,CONNECTED_NORMALLY,3,4
40,0.8229,16,14.3459,43.1094,535.46,427.958,0,30309,9,9,CONNECTED_NORMALLY,3,4
41,0.844,16,28.8798,-12.9479,536.035,427.816,0,30309,9,9,CONNECTED_NORMALLY,3,4
42,0.8651,16,-19.8747,30.4951,536.242,427.902,0,30309,9,9,CONNECTED_NORMALLY,3,4
43,0.8862,16,-14.4502,-22.7403,535.832,428.444,0,30309,9,9,CONNECTED_NORMALLY,3,4
44,0.9073,16,-14.4502,-22.7403,535.528,427.965,0,30309,9,9,CONNECTED_NORMALLY,3,4
45,0.9284,16,13.7574,-43.6823,535.42,427.339,0,30309,9,9,CONNECTED_NORMALLY,3,4
46,0.9495,16,-15.7693,-36.1179,535.525,426.464,0,30309,9,9,CONNECTED_NORMALLY,3,4
47,0.9706,16,22.9594,39.6306,535.269,425.851,0,30309,9,9,CONNECTED_NORMALLY,3,4
48,0.9917,16,-16.8243,-36.1291,535.704,426.594,0,30309,9,9,CONNECTED_NORMALLY,3,4
49,1.0128,16,-16.8243,-36.1291,535.349,425.832,0,30309,9,9,CONNECTED_NORMALLY,3,4
50,1.0339,16,-34.3836,-5.92286,534.672,425.623,0,30309,9,9,CONNECTED_NORMALLY,3,4
51,1.055,16,25.1331,7.72563,534.588,425.646,0,30309,9,9,CONNECTED_NORMALLY,3,4
52,1.0761,16,25.1331,7.72563,535.119,425.809,0,30309,9,9,CONNECTED_NORMALLY,3,4
53,1.0972,16,22.3936,-4.41445,535.608,425.79,0,30309,9,9,CONNECTED_NORMALLY,3,4
54,1.1183,16,22.3936,-4.41445,536.081,425.697,0,30309,9,9,CONNECTED_NORMALLY,3,4
55,1.1394,16,22.7337,-34.8725,536.558,425.198,0,30309,9,9,CONNECTED_NORMALLY,3,4
56,1.1605,16,31.0047,7.48765,537.123,424.903,0,30309,9,9,CONNECTED_NORMALLY,3,4
57,1.1816,16,32.5285,-35.9425,537.778,425.054,0,30309,9,9,CONNECTED_NORMALLY,3,4
58,1.2027,16,-24.7301,1.44488,538.428,424.319,0,30309,9,9,CONNECTED_NORMALLY,3,4
