DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0442083,44,2,1,1,1,7,1,0,48,0,0,4.85367,0,0,-0.525605
UL,0.0442083,44,2,1,1,1,6,1,0,48,0,0,26.6623,0,0,0
UL,0.0442083,44,2,1,1,1,4,1,0,48,0,0,25.6156,0,0,0
UL,0.0442125,44,2,2,2,1,6,2,0,48,0,0,26.4352,0,0,0
UL,0.0443083,44,3,1,1,1,7,1,0,48,0,0,5.2052,0,0,-0.385506
UL,0.0443083,44,3,1,1,1,6,1,0,48,0,0,26.5576,0,0,0
UL,0.0443083,44,3,1,1,1,4,1,0,48,0,0,25.5029,0,0,0
UL,0.0443125,44,3,2,2,1,6,2,0,48,0,0,26.5207,0,0,0
UL,0.0444083,44,4,1,1,1,7,1,0,48,0,0,5.44835,0,0,-0.257277
UL,0.0444083,44,4,1,1,1,6,1,0,48,0,0,26.099,0,0,0
UL,0.0444083,44,4,1,1,1,4,1,0,48,0,0,25.5964,0,0,0
UL,0.0444125,44,4,2,2,1,6,2,0,48,0,0,26.4277,0,0,0
UL,0.0492083,49,2,1,1,1,4,2,0,48,0,0,3.00248,0,0,-1.46274
UL,0.0492083,49,2,1,1,1,2,1,0,48,0,0,-0.104601,0,0,-3.2206
UL,0.0492083,49,2,1,1,1,8,1,0,48,0,0,31.4519,0,0,0
UL,0.0492125,49,2,2,2,1,2,2,0,48,0,0,22.3276,0,0,0
UL,0.0492166,49,2,3,3,1,2,3,0,48,0,0,27.7595,0,0,0
UL,0.0493083,49,3,1,1,1,4,2,0,48,0,0,2.91155,0,0,-1.51893
UL,0.0493083,49,3,1,1,1,2,1,0,48,0,0,-0.22973,0,0,-3.30827
UL,0.0493083,49,3,1,1,1,8,1,0,48,0,0,31.4142,0,0,0
UL,0.0493125,49,3,2,2,1,2,2,0,48,0,0,22.2443,0,0,0
UL,0.0493166,49,3,3,3,1,2,3,0,48,0,0,27.5434,0,0,0
UL,0.0494083,49,4,1,1,1,4,2,0,48,0,0,2.6024,0,0,-1.66761
