DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486083,48,6,1,1,1,8,1,0,48,0,0,4.26189,0,0,-0.87713
DL,0.0497083,49,7,1,1,1,8,1,0,385,10,0,5.06,0,0,-3.27691
DL,0.900808,900,8,1,1,1,8,1,0,48,0,0,34.4785,0,0,0
DL,0.923812,923,8,1,1,2,8,1,0,100,0,0,33.79,0,0,0
DL,0.924908,924,9,1,1,1,8,1,0,1776,28,0,33.5973,0,0,0
DL,0.947929,947,9,1,1,6,8,1,0,308,0,0,35.3069,0,0,0
DL,1.14901,1149,0,1,1,1,8,1,0,48,0,0,34.4436,0,0,0
DL,1.17205,1172,0,1,1,12,8,1,0,619,0,0,35.6139,0,0,0
DL,1.37311,1373,1,1,1,1,8,1,0,48,0,0,40.2232,0,0,0
DL,1.39617,1396,1,1,1,17,8,1,0,872,0,0,41.9896,0,0,0
DL,1.39721,1397,2,1,1,1,8,1,0,1776,28,0,41.5386,0,0,0
DL,1.42021,1420,2,1,1,2,8,1,0,100,0,0,42.9526,0,0,0
DL,1.42131,1421,3,1,1,1,8,1,0,1776,28,0,43.272,0,0,0
DL,1.44433,1444,3,1,1,6,8,1,0,308,0,0,39.5461,0,0,0
DL,1.64541,1645,4,1,1,1,8,1,0,48,0,0,40.6904,0,0,0
DL,1.66845,1668,4,1,1,12,8,1,0,619,0,0,40.2786,0,0,0
DL,1.86951,1869,5,1,1,1,8,1,0,48,0,0,44.3965,0,0,0
DL,1.8926,1892,5,1,1,22,8,1,0,1131,0,0,42.5951,0,0,0
DL,1.89261,1892,6,1,1,2,8,1,0,100,0,0,42.7892,0,0,0
DL,1.89361,1893,6,1,1,1,8,1,0,1776,28,0,42.6217,0,0,0
DL,1.91401,1914,0,1,1,1,8,1,0,48,0,0,41.8097,0,0,0
DL,1.91671,1916,7,1,1,2,8,1,0,3558,28,0,41.5718,0,0,0
DL,1.93811,1938,1,1,1,1,8,1,0,48,0,0,41.3112,0,0,0
DL,1.94081,1940,8,1,1,2,8,1,0,3558,28,0,41.2566,0,0,0
DL,1.96221,1962,2,1,1,1,8,1,0,48,0,0,41.0385,0,0,0
DL,1.96491,1964,9,1,1,2,8,1,0,3558,28,0,39.9461,0,0,0
DL,1.98631,1986,3,1,1,1,8,1,0,48,0,0,38.0717,0,0,0
DL,1.98902,1989,0,1,1,3,8,1,0,5341,28,0,37.9229,0,0,0
DL,1.98911,1989,1,1,1,1,8,1,0,1776,28,0,37.9504,0,0,0
DL,2.01041,2010,4,1,1,1,8,1,0,48,0,0,36.7234,0,0,0
DL,2.01312,2013,1,1,1,4,8,1,0,7120,28,0,37.1082,0,0,0
DL,2.01321,2013,2,1,1,1,8,1,0,1776,28,0,37.4314,0,0,0
DL,2.03451,2034,5,1,1,1,8,1,0,48,0,0,35.3273,0,0,0
DL,2.03723,2037,2,1,1,6,8,1,0,10685,28,0,35.6397,0,0,0
DL,2.03731,2037,3,1,1,1,8,1,0,1776,28,0,35.4572,0,0,0
DL,2.05861,2058,6,1,1,1,8,1,0,48,0,0,37.3006,0,0,0
DL,2.06134,2061,3,1,1,9,8,1,0,16030,28,0,38.4587,0,0,0
DL,2.06141,2061,4,1,1,1,8,1,0,1776,28,0,38.1911,0,0,0
DL,2.08271,2082,7,1,1,1,8,1,0,48,0,0,39.4734,0,0,0
DL,2.08546,2085,4,1,1,14,8,1,0,24936,28,0,38.437,0,0,0
DL,2.08551,2085,5,1,1,1,8,1,0,1776,28,0,38.5507,0,0,0
DL,2.10681,2106,8,1,1,1,8,1,0,48,0,0,38.7608,0,0,0
DL,2.10959,2109,5,1,1,21,8,1,0,37408,28,0,37.5838,0,0,0
DL,2.10961,2109,6,1,1,1,8,1,0,1776,28,0,37.6576,0,0,0
DL,2.13091,2130,9,1,1,1,8,1,0,48,0,0,40.8002,0,0,0
DL,2.1337,2133,6,1,1,22,8,1,0,39187,28,0,40.0571,0,0,0
DL,2.13374,2133,7,1,1,9,8,1,0,16030,28,0,40.169,0,0,0
DL,2.13381,2133,8,1,1,1,8,1,0,1776,28,0,40.2549,0,0,0
DL,2.15501,2155,0,1,1,1,8,1,0,48,0,0,39.3887,0,0,0
DL,2.1578,2157,7,1,1,22,8,1,0,39187,28,0,38.8948,0,0,0
