Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494083,ConnectionEstablishedEnb,9,8,1,NA
3.1024,HandoverStartEnb,9,8,1,11
3.10381,HandoverEndOkEnb,9,11,5,NA
3.755,HandoverStartEnb,9,11,5,8
3.7562,HandoverEndOkEnb,9,8,5,NA
5.858,HandoverStartEnb,9,8,5,11
5.85941,HandoverEndOkEnb,9,11,7,NA
6.4064,HandoverStartEnb,9,11,7,8
6.40781,HandoverEndOkEnb,9,8,6,NA
6.9232,HandoverStartEnb,9,8,6,11
6.92461,HandoverEndOkEnb,9,11,10,NA
8.4544,HandoverStartEnb,9,11,10,8
8.45581,HandoverEndOkEnb,9,8,9,NA
10.68,HandoverStartEnb,9,8,9,11
10.6814,HandoverEndOkEnb,9,11,13,NA
11.0172,HandoverStartEnb,9,11,13,8
11.0186,HandoverEndOkEnb,9,8,11,NA
14.1284,HandoverStartEnb,9,8,11,11
14.1303,HandoverEndOkEnb,9,11,15,NA
19.4436,HandoverStartEnb,9,11,15,8
19.445,HandoverEndOkEnb,9,8,18,NA
19.693,HandoverStartEnb,9,8,18,11
19.6944,HandoverEndOkEnb,9,11,16,NA
20.6148,HandoverStartEnb,9,11,16,8
20.6162,HandoverEndOkEnb,9,8,19,NA
20.873,HandoverStartEnb,9,8,19,11
20.8742,HandoverEndOkEnb,9,11,17,NA
21.7788,HandoverStartEnb,9,11,17,8
21.7802,HandoverEndOkEnb,9,8,20,NA
23.9904,HandoverStartEnb,9,8,20,9
23.9918,HandoverEndOkEnb,9,9,13,NA
24.2144,HandoverStartEnb,9,9,13,8
24.2158,HandoverEndOkEnb,9,8,22,NA
31.3236,HandoverStartEnb,9,8,22,11
31.325,HandoverEndOkEnb,9,11,19,NA
31.6366,HandoverStartEnb,9,11,19,8
31.638,HandoverEndOkEnb,9,8,29,NA
32.8382,HandoverStartEnb,9,8,29,11
32.8396,HandoverEndOkEnb,9,11,20,NA
33.6908,HandoverStartEnb,9,11,20,8
33.6922,HandoverEndOkEnb,9,8,32,NA
35.29,HandoverStartEnb,9,8,32,11
35.2914,HandoverEndOkEnb,9,11,21,NA
35.568,HandoverStartEnb,9,11,21,8
35.5694,HandoverEndOkEnb,9,8,34,NA
45.0298,HandoverStartEnb,9,8,34,11
45.0312,HandoverEndOkEnb,9,11,25,NA
45.3708,HandoverStartEnb,9,11,25,8
45.3722,HandoverEndOkEnb,9,8,41,NA
48.3104,HandoverStartEnb,9,8,41,2
48.3118,HandoverEndOkEnb,9,2,79,NA
48.4686,HandoverStartEnb,9,2,79,11
48.47,HandoverEndOkEnb,9,11,29,NA
48.9774,HandoverStartEnb,9,11,29,8
48.9788,HandoverEndOkEnb,9,8,44,NA
50.2362,HandoverStartEnb,9,8,44,11
50.2376,HandoverEndOkEnb,9,11,30,NA
50.9824,HandoverStartEnb,9,11,30,8
50.9838,HandoverEndOkEnb,9,8,47,NA
51.6848,HandoverStartEnb,9,8,47,11
51.6862,HandoverEndOkEnb,9,11,31,NA
52.1168,HandoverStartEnb,9,11,31,8
52.1182,HandoverEndOkEnb,9,8,48,NA
56.2398,HandoverStartEnb,9,8,48,11
56.2412,HandoverEndOkEnb,9,11,32,NA
56.4074,HandoverStartEnb,9,11,32,8
56.4088,HandoverEndOkEnb,9,8,54,NA
57.311,HandoverStartEnb,9,8,54,11
57.3124,HandoverEndOkEnb,9,11,33,NA
