DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0442083,44,2,1,1,1,2,1,0,48,0,0,13.2125,0,0,0
UL,0.0442083,44,2,1,1,1,6,1,0,48,0,0,14.6524,0,0,0
UL,0.0442083,44,2,1,1,1,8,1,0,48,0,0,10.677,0,0,0
UL,0.0442083,44,2,1,1,1,10,1,0,48,0,0,9.77665,0,0,-0.0100326
UL,0.0443083,44,3,1,1,1,2,1,0,48,0,0,13.1052,0,0,0
UL,0.0443083,44,3,1,1,1,6,1,0,48,0,0,14.7829,0,0,0
UL,0.0443083,44,3,1,1,1,8,1,0,48,0,0,10.6311,0,0,0
UL,0.0443083,44,3,1,1,1,10,1,0,48,0,0,10.0144,0,0,-0.010056
UL,0.0444083,44,4,1,1,1,2,1,0,48,0,0,12.7434,0,0,0
UL,0.0444083,44,4,1,1,1,6,1,0,48,0,0,14.6391,0,0,0
UL,0.0444083,44,4,1,1,1,8,1,0,48,0,0,10.461,0,0,0
UL,0.0444083,44,4,1,1,1,10,1,0,48,0,0,9.54693,0,0,0
UL,0.0492083,49,2,1,1,1,5,1,0,48,0,0,23.7181,0,0,0
UL,0.0492083,49,2,1,1,1,11,1,0,48,0,0,7.70995,0,0,0
UL,0.0492083,49,2,1,1,1,9,1,0,48,0,0,4.88439,0,0,-0.528523
UL,0.0492083,49,2,1,1,1,7,1,0,48,0,0,18.5922,0,0,0
UL,0.0492125,49,2,2,2,1,11,2,0,48,0,0,29.253,0,0,0
UL,0.0493083,49,3,1,1,1,5,1,0,48,0,0,23.5029,0,0,0
UL,0.0493083,49,3,1,1,1,11,1,0,48,0,0,7.51218,0,0,0
UL,0.0493083,49,3,1,1,1,9,1,0,48,0,0,4.47133,0,0,-0.72902
UL,0.0493083,49,3,1,1,1,7,1,0,48,0,0,18.6776,0,0,0
UL,0.0493125,49,3,2,2,1,11,2,0,48,0,0,29.3187,0,0,0
UL,0.0494083,49,4,1,1,1,5,1,0,48,0,0,23.7152,0,0,0
UL,0.0494083,49,4,1,1,1,11,1,0,48,0,0,7.24995,0,0,0
UL,0.0494083,49,4,1,1,1,9,1,0,48,0,0,4.73782,0,0,-0.59279
UL,0.0494083,49,4,1,1,1,7,1,0,48,0,0,18.8574,0,0,0
UL,0.0494125,49,4,2,2,1,11,2,0,48,0,0,29.5246,0,0,0
UL,0.0542083,54,2,1,1,1,5,2,0,48,0,0,24.068,0,0,0
UL,0.0543083,54,3,1,1,1,5,2,0,48,0,0,24.7103,0,0,0
UL,0.0544083,54,4,1,1,1,5,2,0,48,0,0,24.9534,0,0,0
UL,0.160008,160,0,1,1,1,7,2,0,48,0,0,28.2382,0,0,0
UL,0.160108,160,1,1,1,1,7,2,0,48,0,0,27.9779,0,0,0
UL,0.160208,160,2,1,1,1,7,2,0,48,0,0,27.8285,0,0,0
UL,0.236408,236,4,1,1,1,7,3,0,48,0,0,28.9503,0,0,0
UL,0.236508,236,5,1,1,1,7,3,0,48,0,0,29.1797,0,0,0
UL,0.236608,236,6,1,1,1,7,3,0,48,0,0,29.1724,0,0,0
UL,0.255608,255,6,1,1,1,6,2,0,48,0,0,30.9739,0,0,0
UL,0.255708,255,7,1,1,1,6,2,0,48,0,0,31.1709,0,0,0
UL,0.255808,255,8,1,1,1,6,2,0,48,0,0,31.2356,0,0,0
UL,0.419808,419,8,1,1,1,9,2,0,48,0,0,21.5174,0,0,0
UL,0.419908,419,9,1,1,1,9,2,0,48,0,0,21.2624,0,0,0
UL,0.420008,420,0,1,1,1,9,2,0,48,0,0,21.0142,0,0,0
UL,0.567608,567,6,1,1,1,11,3,0,48,0,0,25.7812,0,0,0
UL,0.567708,567,7,1,1,1,11,3,0,48,0,0,25.8323,0,0,0
UL,0.567808,567,8,1,1,1,11,3,0,48,0,0,26.2459,0,0,0
UL,0.656008,656,0,1,1,1,2,2,0,48,0,0,27.3567,0,0,0
UL,0.656108,656,1,1,1,1,2,2,0,48,0,0,27.3001,0,0,0
