DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486083,48,6,1,1,1,7,1,0,48,0,0,6.66854,0,0,0
DL,0.0497083,49,7,1,1,1,7,1,0,476,12,0,7.4311,0,0,-2.13829
DL,0.900808,900,8,1,1,1,7,1,0,48,0,0,31.4225,0,0,0
DL,0.923812,923,8,1,1,2,7,1,0,100,0,0,28.2243,0,0,0
DL,0.924908,924,9,1,1,1,7,1,0,1776,28,0,27.7238,0,0,0
DL,0.947929,947,9,1,1,6,7,1,0,308,0,0,26.6699,0,0,0
DL,1.14901,1149,0,1,1,1,7,1,0,48,0,0,34.226,0,0,0
DL,1.17205,1172,0,1,1,12,7,1,0,619,0,0,36.731,0,0,0
DL,1.37311,1373,1,1,1,1,7,1,0,48,0,0,29.6911,0,0,0
DL,1.39617,1396,1,1,1,17,7,1,0,872,0,0,30.5146,0,0,0
DL,1.39721,1397,2,1,1,1,7,1,0,1776,28,0,29.6637,0,0,0
DL,1.42021,1420,2,1,1,2,7,1,0,100,0,0,31.5762,0,0,0
DL,1.42131,1421,3,1,1,1,7,1,0,1776,28,0,32.272,0,0,0
DL,1.44433,1444,3,1,1,6,7,1,0,308,0,0,32.0616,0,0,0
DL,1.64541,1645,4,1,1,1,7,1,0,48,0,0,28.6002,0,0,0
DL,1.66845,1668,4,1,1,12,7,1,0,619,0,0,27.1781,0,0,0
DL,1.86951,1869,5,1,1,1,7,1,0,48,0,0,21.799,0,0,0
DL,1.8926,1892,5,1,1,22,7,1,0,1131,0,0,22.8928,0,0,0
DL,1.89261,1892,6,1,1,2,7,1,0,100,0,0,22.7221,0,0,0
DL,1.89361,1893,6,1,1,1,7,1,0,1776,28,0,23.3391,0,0,-0.00575067
DL,1.91401,1914,0,1,1,1,7,1,0,48,0,0,23.9241,0,0,0
DL,1.91671,1916,7,1,1,2,7,1,0,3558,28,0,23.8301,0,0,0
DL,1.93811,1938,1,1,1,1,7,1,0,48,0,0,27.4453,0,0,0
DL,1.94081,1940,8,1,1,2,7,1,0,3558,28,0,26.9659,0,0,0
DL,1.96221,1962,2,1,1,1,7,1,0,48,0,0,24.6797,0,0,0
DL,1.96491,1964,9,1,1,2,7,1,0,3558,28,0,25.7755,0,0,0
DL,1.98631,1986,3,1,1,1,7,1,0,48,0,0,28.7935,0,0,0
DL,1.98902,1989,0,1,1,3,7,1,0,5341,28,0,28.8595,0,0,0
DL,1.98911,1989,1,1,1,1,7,1,0,1776,28,0,28.688,0,0,0
DL,2.01041,2010,4,1,1,1,7,1,0,48,0,0,29.7781,0,0,0
DL,2.01312,2013,1,1,1,4,7,1,0,7120,28,0,27.738,0,0,0
DL,2.01321,2013,2,1,1,1,7,1,0,1776,28,0,27.7228,0,0,0
DL,2.03451,2034,5,1,1,1,7,1,0,48,0,0,28.1165,0,0,0
DL,2.03723,2037,2,1,1,6,7,1,0,10685,28,0,27.9927,0,0,0
DL,2.03731,2037,3,1,1,1,7,1,0,1776,28,0,27.8445,0,0,0
DL,2.05861,2058,6,1,1,1,7,1,0,48,0,0,29.2233,0,0,0
DL,2.06134,2061,3,1,1,9,7,1,0,16030,28,0,29.4892,0,0,0
