Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494083,ConnectionEstablishedEnb,9,7,1,NA
8.3184,HandoverStartEnb,9,7,1,11
8.31981,HandoverEndOkEnb,9,11,12,NA
8.7374,HandoverStartEnb,9,11,12,7
8.73881,HandoverEndOkEnb,9,7,11,NA
14.9542,HandoverStartEnb,9,7,11,3
14.9556,HandoverEndOkEnb,9,3,17,NA
18.0318,HandoverStartEnb,9,3,17,7
18.0332,HandoverEndOkEnb,9,7,27,NA
18.5932,HandoverStartEnb,9,7,27,3
18.5946,HandoverEndOkEnb,9,3,25,NA
18.9278,HandoverStartEnb,9,3,25,7
18.9292,HandoverEndOkEnb,9,7,29,NA
20.4852,HandoverStartEnb,9,7,29,3
20.4866,HandoverEndOkEnb,9,3,29,NA
20.7604,HandoverStartEnb,9,3,29,7
20.7625,HandoverEndOkEnb,9,7,32,NA
21.5242,HandoverStartEnb,9,7,32,3
21.5256,HandoverEndOkEnb,9,3,30,NA
21.77,HandoverStartEnb,9,3,30,7
21.7719,HandoverEndOkEnb,9,7,34,NA
26.3542,HandoverStartEnb,9,7,34,11
26.3556,HandoverEndOkEnb,9,11,33,NA
26.51,HandoverStartEnb,9,11,33,7
26.5114,HandoverEndOkEnb,9,7,37,NA
27.3974,HandoverStartEnb,9,7,37,11
27.3988,HandoverEndOkEnb,9,11,34,NA
28.36,HandoverStartEnb,9,11,34,7
28.3614,HandoverEndOkEnb,9,7,39,NA
29.0132,HandoverStartEnb,9,7,39,11
29.0146,HandoverEndOkEnb,9,11,38,NA
29.8048,HandoverStartEnb,9,11,38,7
29.8062,HandoverEndOkEnb,9,7,42,NA
31.0264,HandoverStartEnb,9,7,42,11
31.0278,HandoverEndOkEnb,9,11,42,NA
32.2,HandoverStartEnb,9,11,42,7
32.2014,HandoverEndOkEnb,9,7,46,NA
33.2816,HandoverStartEnb,9,7,46,11
33.283,HandoverEndOkEnb,9,11,45,NA
36.037,HandoverStartEnb,9,11,45,7
36.0384,HandoverEndOkEnb,9,7,52,NA
36.765,HandoverStartEnb,9,7,52,11
36.7664,HandoverEndOkEnb,9,11,50,NA
37.072,HandoverStartEnb,9,11,50,7
37.0734,HandoverEndOkEnb,9,7,54,NA
37.6926,HandoverStartEnb,9,7,54,11
37.694,HandoverEndOkEnb,9,11,53,NA
39.344,HandoverStartEnb,9,11,53,7
39.3454,HandoverEndOkEnb,9,7,56,NA
40.0182,HandoverStartEnb,9,7,56,11
40.0196,HandoverEndOkEnb,9,11,56,NA
40.7024,HandoverStartEnb,9,11,56,7
40.7038,HandoverEndOkEnb,9,7,58,NA
42.3008,HandoverStartEnb,9,7,58,11
42.3022,HandoverEndOkEnb,9,11,59,NA
43.256,HandoverStartEnb,9,11,59,7
43.2574,HandoverEndOkEnb,9,7,60,NA
43.6528,HandoverStartEnb,9,7,60,11
43.6542,HandoverEndOkEnb,9,11,63,NA
46.6282,HandoverStartEnb,9,11,63,7
46.6296,HandoverEndOkEnb,9,7,63,NA
47.1296,HandoverStartEnb,9,7,63,11
47.131,HandoverEndOkEnb,9,11,72,NA
47.7696,HandoverStartEnb,9,11,72,7
47.771,HandoverEndOkEnb,9,7,65,NA
49.0242,HandoverStartEnb,9,7,65,11
49.0256,HandoverEndOkEnb,9,11,73,NA
50.6212,HandoverStartEnb,9,11,73,2
50.6226,HandoverEndOkEnb,9,2,51,NA
51.126,HandoverStartEnb,9,2,51,11
51.1274,HandoverEndOkEnb,9,11,76,NA
51.8016,HandoverStartEnb,9,11,76,6
51.803,HandoverEndOkEnb,9,6,26,NA
52.1186,HandoverStartEnb,9,6,26,2
52.12,HandoverEndOkEnb,9,2,52,NA
52.8572,HandoverStartEnb,9,2,52,11
52.8586,HandoverEndOkEnb,9,11,79,NA
53.7444,HandoverStartEnb,9,11,79,6
53.7458,HandoverEndOkEnb,9,6,28,NA
54.0864,HandoverStartEnb,9,6,28,11
54.0878,HandoverEndOkEnb,9,11,80,NA
57.0966,HandoverStartEnb,9,11,80,2
57.098,HandoverEndOkEnb,9,2,57,NA
57.6476,HandoverStartEnb,9,2,57,11
57.649,HandoverEndOkEnb,9,11,82,NA
58.1264,HandoverStartEnb,9,11,82,2
58.1278,HandoverEndOkEnb,9,2,60,NA
