DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0442083,44,2,1,1,1,10,1,0,48,0,0,11.2453,0,0,0
UL,0.0442083,44,2,1,1,1,9,1,0,48,0,0,30.1872,0,0,0
UL,0.0442083,44,2,1,1,1,11,1,0,48,0,0,-3.92307,0,0,-6.1306
UL,0.0442083,44,2,1,1,1,5,1,0,48,0,0,18.0394,0,0,0
UL,0.0443083,44,3,1,1,1,10,1,0,48,0,0,11.4079,0,0,-0.0279718
UL,0.0443083,44,3,1,1,1,9,1,0,48,0,0,29.9832,0,0,0
UL,0.0443083,44,3,1,1,1,11,1,0,48,0,0,-3.65525,0,0,-5.90776
UL,0.0443083,44,3,1,1,1,5,1,0,48,0,0,18.132,0,0,0
UL,0.0444083,44,4,1,1,1,10,1,0,48,0,0,11.628,0,0,-0.00911974
UL,0.0444083,44,4,1,1,1,9,1,0,48,0,0,30.3443,0,0,0
UL,0.0444083,44,4,1,1,1,11,1,0,48,0,0,-3.74784,0,0,-5.98344
UL,0.0444083,44,4,1,1,1,5,1,0,48,0,0,18.3171,0,0,0
UL,0.0492083,49,2,1,1,1,10,2,0,48,0,0,26.195,0,0,0
UL,0.0492083,49,2,1,1,1,8,1,0,48,0,0,15.4857,0,0,0
UL,0.0492083,49,2,1,1,1,6,1,0,48,0,0,25.5379,0,0,0
UL,0.0492083,49,2,1,1,1,11,2,0,48,0,0,8.7233,0,0,0
UL,0.0492125,49,2,2,2,1,6,2,0,48,0,0,35.3073,0,0,0
UL,0.0493083,49,3,1,1,1,10,2,0,48,0,0,26.4669,0,0,0
UL,0.0493083,49,3,1,1,1,8,1,0,48,0,0,15.126,0,0,0
UL,0.0493083,49,3,1,1,1,6,1,0,48,0,0,25.9757,0,0,0
UL,0.0493083,49,3,1,1,1,11,2,0,48,0,0,8.34611,0,0,0
UL,0.0493125,49,3,2,2,1,6,2,0,48,0,0,35.5321,0,0,0
UL,0.0494083,49,4,1,1,1,10,2,0,48,0,0,26.6039,0,0,0
UL,0.0494083,49,4,1,1,1,8,1,0,48,0,0,15.9486,0,0,0
UL,0.0494083,49,4,1,1,1,6,1,0,48,0,0,25.8714,0,0,0
UL,0.0494083,49,4,1,1,1,11,2,0,48,0,0,8.26659,0,0,0
UL,0.0494125,49,4,2,2,1,6,2,0,48,0,0,35.8101,0,0,0
UL,0.0542083,54,2,1,1,1,4,1,0,48,0,0,37.3249,0,0,0
UL,0.0543083,54,3,1,1,1,4,1,0,48,0,0,37.3859,0,0,0
UL,0.0544083,54,4,1,1,1,4,1,0,48,0,0,37.4623,0,0,0
UL,0.199208,199,2,1,1,1,2,1,0,48,0,0,34.1238,0,0,0
UL,0.199308,199,3,1,1,1,2,1,0,48,0,0,34.0212,0,0,0
