DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486125,48,6,2,2,1,6,2,0,48,0,0,35.5767,0,0,0
DL,0.0497125,49,7,2,2,1,6,2,0,1776,28,0,35.9606,0,0,0
DL,0.900808,900,8,1,1,1,6,2,0,48,0,0,32.8978,0,0,0
DL,0.923812,923,8,1,1,2,6,2,0,100,0,0,31.6967,0,0,0
DL,0.924908,924,9,1,1,1,6,2,0,1776,28,0,31.9339,0,0,-0.000958268
DL,0.947921,947,9,1,1,4,6,2,0,204,0,0,32.5969,0,0,0
DL,1.14901,1149,0,1,1,1,6,2,0,48,0,0,37.8965,0,0,0
DL,1.17205,1172,0,1,1,12,6,2,0,619,0,0,37.607,0,0,0
DL,1.37311,1373,1,1,1,1,6,2,0,48,0,0,30.8028,0,0,0
DL,1.39617,1396,1,1,1,17,6,2,0,872,0,0,31.2874,0,0,0
DL,1.39721,1397,2,1,1,1,6,2,0,1776,28,0,30.9782,0,0,0
DL,1.42021,1420,2,1,1,2,6,2,0,100,0,0,31.4793,0,0,0
DL,1.42131,1421,3,1,1,1,6,2,0,1776,28,0,32.0447,0,0,0
DL,1.44432,1444,3,1,1,4,6,2,0,204,0,0,32.5452,0,0,0
DL,1.64541,1645,4,1,1,1,6,2,0,48,0,0,38.6617,0,0,0
DL,1.66845,1668,4,1,1,12,6,2,0,619,0,0,39.8706,0,0,0
DL,1.86951,1869,5,1,1,1,6,2,0,48,0,0,34.6402,0,0,0
DL,1.8926,1892,5,1,1,22,6,2,0,1131,0,0,34.4139,0,0,0
DL,1.89261,1892,6,1,1,2,6,2,0,100,0,0,34.2557,0,0,0
DL,1.89361,1893,6,1,1,1,6,2,0,1776,28,0,34.2786,0,0,0
DL,1.91401,1914,0,1,1,1,6,2,0,48,0,0,32.4401,0,0,0
DL,1.91671,1916,7,1,1,2,6,2,0,3558,28,0,31.5473,0,0,0
DL,1.93811,1938,1,1,1,1,6,2,0,48,0,0,27.7348,0,0,0
DL,1.94081,1940,8,1,1,2,6,2,0,3558,28,0,27.8079,0,0,-0.00516991
DL,1.96221,1962,2,1,1,1,6,2,0,48,0,0,28.6015,0,0,0
DL,1.96491,1964,9,1,1,2,6,2,0,3558,28,0,28.0613,0,0,-0.00436214
DL,1.98631,1986,3,1,1,1,6,2,0,48,0,0,28.7397,0,0,0
DL,1.98902,1989,0,1,1,3,6,2,0,5341,28,0,28.4419,0,0,-0.00274476
DL,1.98911,1989,1,1,1,1,6,2,0,1776,28,0,28.3832,0,0,-0.00291878
DL,2.01041,2010,4,1,1,1,6,2,0,48,0,0,26.3562,0,0,0
DL,2.01312,2013,1,1,1,4,6,2,0,7120,28,0,27.1128,0,0,0
DL,2.01321,2013,2,1,1,1,6,2,0,1776,28,0,27.2312,0,0,0
DL,2.03451,2034,5,1,1,1,6,2,0,48,0,0,30.0022,0,0,0
DL,2.03723,2037,2,1,1,6,6,2,0,10685,28,0,29.3343,0,0,0
DL,2.03731,2037,3,1,1,1,6,2,0,1776,28,0,29.1907,0,0,0
DL,2.05861,2058,6,1,1,1,6,2,0,48,0,0,28.9789,0,0,0
DL,2.06134,2061,3,1,1,9,6,2,0,16030,28,0,29.1019,0,0,0
DL,2.06141,2061,4,1,1,1,6,2,0,1776,28,0,29.2624,0,0,0
DL,2.08271,2082,7,1,1,1,6,2,0,48,0,0,27.1599,0,0,0
DL,2.08546,2085,4,1,1,14,6,2,0,24936,28,0,26.798,0,0,0
DL,2.08551,2085,5,1,1,1,6,2,0,1776,28,0,26.4455,0,0,0
DL,2.10681,2106,8,1,1,1,6,2,0,48,0,0,28.1915,0,0,0
DL,2.10959,2109,5,1,1,21,6,2,0,37408,28,0,28.0205,0,0,0
DL,2.10961,2109,6,1,1,1,6,2,0,1776,28,0,27.901,0,0,0
DL,2.13091,2130,9,1,1,1,6,2,0,48,0,0,25.548,0,0,0
DL,2.1337,2133,6,1,1,22,6,2,0,39187,28,0,26.0412,0,0,0
DL,2.13374,2133,7,1,1,9,6,2,0,16030,28,0,25.926,0,0,0
DL,2.13381,2133,8,1,1,1,6,2,0,1776,28,0,25.869,0,0,0
DL,2.15501,2155,0,1,1,1,6,2,0,48,0,0,29.2326,0,0,0
DL,2.1578,2157,7,1,1,22,6,2,0,39187,28,0,29.4886,0,0,0
DL,2.1579,2157,8,1,1,22,6,2,0,39187,28,0,29.6002,0,0,0
DL,2.15792,2157,9,1,1,3,6,2,0,5341,28,0,29.6395,0,0,0
DL,2.15801,2158,0,1,1,1,6,2,0,1776,28,0,29.4597,0,0,0
DL,2.16511,2165,1,1,1,1,6,2,0,1776,28,0,30.4989,0,0,0
DL,2.17801,2178,0,1,1,1,6,2,0,48,0,0,30.3957,0,0,0
DL,2.1819,2181,8,1,1,22,6,2,0,39187,28,0,31.4888,0,0,0
DL,2.182,2181,9,1,1,22,6,2,0,39187,28,0,31.5129,0,0,0
DL,2.1821,2182,0,1,1,22,6,2,0,39187,28,0,31.6951,0,0,0
DL,2.18212,2182,1,1,1,4,6,2,0,7120,28,0,31.7895,0,0,0
DL,2.18221,2182,2,1,1,1,6,2,0,1776,28,0,31.8431,0,0,0
DL,2.18291,2182,9,1,1,1,6,2,0,1776,28,0,31.241,0,0,0
DL,2.20331,2203,3,1,1,1,6,2,0,48,0,0,32.3762,0,0,0
DL,2.206,2205,9,1,1,22,6,2,0,39187,28,0,32.1348,0,0,0
DL,2.2061,2206,0,1,1,22,6,2,0,39187,28,0,31.8943,0,0,0
DL,2.2062,2206,1,1,1,22,6,2,0,39187,28,0,32.1481,0,0,0
DL,2.20627,2206,2,1,1,15,6,2,0,26719,28,0,32.1545,0,0,0
DL,2.20631,2206,3,1,1,1,6,2,0,1776,28,0,32.2452,0,0,0
DL,2.21341,2213,4,1,1,1,6,2,0,1776,28,0,32.3185,0,0,0
DL,2.2264,2226,3,1,1,22,6,2,0,1131,0,0,34.7535,0,0,0
DL,2.2265,2226,4,1,1,22,6,2,0,1131,0,0,34.6871,0,0,0
DL,2.2266,2226,5,1,1,22,6,2,0,1131,0,0,34.8914,0,0,0
DL,2.22667,2226,6,1,1,15,6,2,0,26719,28,0,34.8107,0,0,0
DL,2.22671,2226,7,1,1,1,6,2,0,1776,28,0,35.0197,0,0,0
DL,2.23004,2230,0,1,1,8,6,2,0,14247,28,0,34.7554,0,0,0
DL,2.23011,2230,1,1,1,1,6,2,0,1776,28,0,34.6582,0,0,0
DL,2.23111,2231,1,1,1,1,6,2,0,1776,28,0,34.6095,0,0,0
DL,2.2502,2250,1,1,1,22,6,2,0,1131,0,0,34.3297,0,0,0
DL,2.2503,2250,2,1,1,22,6,2,0,1131,0,0,34.072,0,0,0
DL,2.2504,2250,3,1,1,22,6,2,0,1131,0,0,34.115,0,0,0
