DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486125,48,6,2,2,1,7,2,0,48,0,0,28.3077,0,0,0
DL,0.0497125,49,7,2,2,1,7,2,0,1776,28,0,29.425,0,0,0
DL,0.900808,900,8,1,1,1,7,2,0,48,0,0,29.6545,0,0,0
DL,0.923812,923,8,1,1,2,7,2,0,100,0,0,33.2874,0,0,0
DL,0.924908,924,9,1,1,1,7,2,0,1776,28,0,32.985,0,0,0
DL,0.947929,947,9,1,1,6,7,2,0,308,0,0,33.1881,0,0,0
DL,1.14901,1149,0,1,1,1,7,2,0,48,0,0,30.4684,0,0,0
DL,1.17205,1172,0,1,1,12,7,2,0,619,0,0,30.0822,0,0,0
DL,1.37311,1373,1,1,1,1,7,2,0,48,0,0,32.4402,0,0,0
DL,1.39617,1396,1,1,1,17,7,2,0,872,0,0,33.3919,0,0,0
DL,1.39721,1397,2,1,1,1,7,2,0,1776,28,0,34.0345,0,0,0
DL,1.42021,1420,2,1,1,2,7,2,0,100,0,0,30.8568,0,0,0
DL,1.42131,1421,3,1,1,1,7,2,0,1776,28,0,31.5546,0,0,0
DL,1.44433,1444,3,1,1,6,7,2,0,308,0,0,34.247,0,0,0
DL,1.64541,1645,4,1,1,1,7,2,0,48,0,0,31.3416,0,0,0
DL,1.66845,1668,4,1,1,12,7,2,0,619,0,0,30.7068,0,0,0
DL,1.86951,1869,5,1,1,1,7,2,0,48,0,0,28.4281,0,0,0
DL,1.8926,1892,5,1,1,22,7,2,0,1131,0,0,27.29,0,0,0
DL,1.89261,1892,6,1,1,2,7,2,0,100,0,0,27.3904,0,0,0
DL,1.89361,1893,6,1,1,1,7,2,0,1776,28,0,28.1174,0,0,0
DL,1.91401,1914,0,1,1,1,7,2,0,48,0,0,28.573,0,0,0
DL,1.91671,1916,7,1,1,2,7,2,0,3558,28,0,29.2103,0,0,0
DL,1.93811,1938,1,1,1,1,7,2,0,48,0,0,29.0991,0,0,0
DL,1.94081,1940,8,1,1,2,7,2,0,3558,28,0,28.6894,0,0,0
DL,1.96221,1962,2,1,1,1,7,2,0,48,0,0,30.7316,0,0,0
DL,1.96491,1964,9,1,1,2,7,2,0,3558,28,0,30.4661,0,0,0
DL,1.98631,1986,3,1,1,1,7,2,0,48,0,0,32.9539,0,0,0
DL,1.98902,1989,0,1,1,3,7,2,0,5341,28,0,32.0623,0,0,0
DL,1.98911,1989,1,1,1,1,7,2,0,1776,28,0,32.1605,0,0,0
DL,2.01041,2010,4,1,1,1,7,2,0,48,0,0,31.4165,0,0,0
DL,2.01312,2013,1,1,1,4,7,2,0,7120,28,0,32.0302,0,0,0
DL,2.01321,2013,2,1,1,1,7,2,0,1776,28,0,32.1153,0,0,0
DL,2.03451,2034,5,1,1,1,7,2,0,48,0,0,30.3471,0,0,0
DL,2.03723,2037,2,1,1,6,7,2,0,10685,28,0,29.9571,0,0,0
DL,2.03731,2037,3,1,1,1,7,2,0,1776,28,0,29.7725,0,0,0
DL,2.05861,2058,6,1,1,1,7,2,0,48,0,0,29.9423,0,0,0
DL,2.06134,2061,3,1,1,9,7,2,0,16030,28,0,28.9318,0,0,0
DL,2.06141,2061,4,1,1,1,7,2,0,1776,28,0,29.0494,0,0,0
DL,2.08271,2082,7,1,1,1,7,2,0,48,0,0,26.8401,0,0,0
DL,2.08546,2085,4,1,1,14,7,2,0,24936,28,0,26.7519,0,0,0
DL,2.08551,2085,5,1,1,1,7,2,0,1776,28,0,26.5132,0,0,0
DL,2.10681,2106,8,1,1,1,7,2,0,48,0,0,27.4913,0,0,0
DL,2.10959,2109,5,1,1,21,7,2,0,37408,28,0,27.7408,0,0,0
DL,2.10961,2109,6,1,1,1,7,2,0,1776,28,0,27.7171,0,0,0
DL,2.13091,2130,9,1,1,1,7,2,0,48,0,0,27.5234,0,0,0
DL,2.1337,2133,6,1,1,22,7,2,0,39187,28,0,27.3286,0,0,0
DL,2.13374,2133,7,1,1,9,7,2,0,16030,28,0,27.1224,0,0,0
DL,2.13381,2133,8,1,1,1,7,2,0,1776,28,0,27.2059,0,0,0
DL,2.15501,2155,0,1,1,1,7,2,0,48,0,0,26.9,0,0,0
DL,2.1578,2157,7,1,1,22,7,2,0,39187,28,0,27.4229,0,0,0
