#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
1,1.9,28432,6224,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
2,2.9,2.44582e+06,111088,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
3,3.9,8.06763e+06,361960,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
4,4.9,9.40937e+06,419352,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
5,5.9,1.36173e+07,605712,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
6,6.9,5.10478e+06,228824,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
7,7.9,9.45671e+06,421432,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
8,8.9,2.2442e+07,994240,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
9,9.9,1.21251e+07,539576,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
10,10.9,1.22123e+07,543736,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
11,11.9,1.60128e+07,709696,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
12,12.9,1.31404e+06,60352,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
13,13.9,8.43079e+06,373984,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
14,14.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,69.728
