DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0645357,6,4,2,1,1,7,1,0,60,0,0,24.5175,0,0,0
DL,0.0662857,6,6,1,1,1,7,1,0,2162,28,0,24.5175,0,0,-0.0116755
DL,0.901786,90,1,3,1,1,7,1,0,60,0,0,24.5176,0,0,0
DL,0.924786,92,4,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,0.926536,92,6,2,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,0.949536,94,9,2,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.15154,115,1,2,1,1,7,1,0,60,0,0,24.5176,0,0,0
DL,1.17454,117,4,2,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.37654,137,6,2,1,1,7,1,0,60,0,0,24.5176,0,0,0
DL,1.39954,139,9,2,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.40129,140,1,1,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.42429,142,4,1,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.42604,142,6,0,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.44904,144,9,0,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.45079,145,0,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.4738,147,3,3,1,2,7,1,0,4328,28,0,24.5176,0,0,-0.0116755
DL,1.47579,147,5,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.49882,149,8,3,1,3,7,1,0,6494,28,0,24.5176,0,0,-0.0116755
DL,1.49904,149,9,0,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.50079,150,0,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.52384,152,3,3,1,4,7,1,0,8660,28,0,24.5176,0,0,-0.0116755
DL,1.52404,152,4,0,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.52579,152,5,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.54886,154,8,3,1,5,7,1,0,10826,28,0,24.5176,0,0,-0.0116755
DL,1.54904,154,9,0,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.55079,155,0,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.57391,157,3,3,1,8,7,1,0,17327,28,0,24.5176,0,0,-0.0116755
DL,1.57404,157,4,0,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.57579,157,5,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.59891,159,8,3,1,8,7,1,0,17327,28,0,24.5176,0,0,-0.0116755
DL,1.59909,159,9,0,1,4,7,1,0,8660,28,0,24.5176,0,0,-0.0116755
DL,1.59929,159,9,1,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.60079,160,0,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.62391,162,3,3,1,8,7,1,0,17327,28,0,24.5176,0,0,-0.0116755
DL,1.6242,162,4,0,1,10,7,1,0,21658,28,0,24.5176,0,0,-0.0116755
DL,1.62429,162,4,1,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.62579,162,5,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.64891,164,8,3,1,8,7,1,0,17327,28,0,24.5176,0,0,-0.0116755
DL,1.64923,164,9,0,1,12,7,1,0,25993,28,0,24.5176,0,0,-0.0116755
DL,1.64937,164,9,1,1,6,7,1,0,12995,28,0,24.5176,0,0,-0.0116755
DL,1.64954,164,9,2,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.65079,165,0,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.67179,167,1,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
DL,1.67391,167,3,3,1,8,7,1,0,17327,28,0,24.5176,0,0,-0.0116755
DL,1.67423,167,4,0,1,12,7,1,0,25993,28,0,24.5176,0,0,-0.0116755
DL,1.67448,167,4,1,1,12,7,1,0,25993,28,0,24.5176,0,0,-0.0116755
DL,1.67464,167,4,2,1,7,7,1,0,15161,28,0,24.5176,0,0,-0.0116755
DL,1.67479,167,4,3,1,1,7,1,0,2162,28,0,24.5176,0,0,-0.0116755
