#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
1,1.9,1.09857e+07,488464,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
2,2.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
3,3.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
4,4.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
5,5.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
6,6.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
7,7.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
8,8.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
9,9.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
10,10.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
11,11.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
12,12.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
13,13.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
14,14.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
15,15.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
16,16.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
17,17.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
18,18.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
19,19.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
20,20.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
21,21.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
22,22.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
23,23.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
24,24.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
25,25.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
26,26.9,4.50951e+07,1.99763e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
27,27.9,4.54224e+07,2.01178e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
28,28.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
29,29.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
30,30.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
31,31.9,4.55138e+07,2.01594e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
32,32.9,4.50058e+07,1.99347e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
33,33.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
34,34.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
35,35.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
36,36.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
37,37.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
38,38.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
39,39.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
40,40.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
41,41.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
42,42.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
43,43.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
44,44.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
45,45.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
46,46.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
47,47.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
48,48.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
49,49.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
50,50.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
51,51.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
52,52.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
53,53.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
54,54.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
55,55.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
56,56.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
57,57.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
58,58.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
59,59.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
60,60.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
61,61.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
62,62.9,4.46879e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
63,63.9,4.58317e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
64,64.9,4.46859e+07,1.97933e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
65,65.9,4.58337e+07,2.03008e+06,17,0,0,664,333,32,0,30309,4,9,CONNECTED_NORMALLY,4,4,104.058
