#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2151485713.0ns,22,0,130550,1.4,2.15149,4,0,0,0
+2977057141.0ns,22,1,349519,2.15149,2.97706,7.17443,0,0,0
+3857824998.0ns,22,2,718790,2.97706,3.85782,10.2937,0,2,0
+4812735713.0ns,22,3,1071812,3.85782,4.81274,13.3387,0,4,0
+5866289284.0ns,22,4,1551364,4.81274,5.86629,16.2852,0,5,0
+6721539284.0ns,22,5,581276,5.86629,6.72154,19.4299,0,5,0
+7676735713.0ns,22,6,1077210,6.72154,7.67674,22.4748,0,5,0
+8986771427.0ns,22,7,2947651,7.67674,8.98677,25.1647,0,5,0
+10168289284.0ns,22,8,2231954,8.98677,10.1683,27.9832,0,5,0
+11299485713.0ns,22,9,1973821,10.1683,11.2995,30.852,0,5,0
+13108307141.0ns,22,10,1110053,12.1515,13.1083,33.0432,0,5,0
+17128985713.0ns,22,11,1131566,16.1515,17.129,33.0225,0,5,0
+21180235713.0ns,22,12,1411867,20.1515,21.1802,32.9712,0,5,0
+25357735713.0ns,22,13,2342758,24.1515,25.3577,32.7938,0,5,0
+29257985713.0ns,22,14,1849212,28.1515,29.258,32.8935,0,5,0
+33028503570.0ns,22,15,624663,32.1515,33.0285,33.123,0,5,0
+37078485713.0ns,22,16,869686,36.1515,37.0785,33.073,0,5,0
+41283735713.0ns,22,17,1991788,40.1515,41.2837,32.8678,0,5,0
+45204985713.0ns,22,18,1529997,44.1515,45.205,32.9465,0,5,0
+49307807141.0ns,22,19,2096269,48.1515,49.3078,32.8437,0,5,0
+53736735713.0ns,22,20,4306089,52.1515,53.7367,32.4147,0,5,0
+57281592855.0ns,22,21,1944846,56.1515,57.2816,32.8699,0,5,0
+61006735713.0ns,22,22,572542,60.1515,61.0067,33.1448,0,5,0
+65183235713.0ns,22,23,1479681,64.1515,65.1832,32.9682,0,5,0
+69027753570.0ns,22,24,606006,68.1515,69.0278,33.1237,0,5,0
