#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
1,1.9,19024,5808,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
2,2.9,2.01776e+06,91952,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
3,3.9,4.82554e+06,218432,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
4,4.9,1.94607e+06,89040,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
5,5.9,1.96687e+06,90280,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
6,6.9,1.89507e+06,89056,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
7,7.9,2.71005e+06,122736,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
8,8.9,2.06354e+06,94448,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
9,9.9,1.84014e+06,81952,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
10,10.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
11,11.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
12,12.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
13,13.9,684040,31200,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
14,14.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
15,15.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
16,16.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
17,17.9,488240,22464,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
18,18.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
19,19.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
20,20.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
21,21.9,515768,23712,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
22,22.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
23,23.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
24,24.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
25,25.9,1.37673e+06,61568,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
26,26.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
27,27.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
28,28.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
29,29.9,451400,20800,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
30,30.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
31,31.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
32,32.9,691368,33296,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
33,33.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
34,34.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
35,35.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
36,36.9,865352,41200,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
37,37.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
38,38.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
39,39.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
40,40.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
41,41.9,1.00756e+06,45344,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
42,42.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
43,43.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
44,44.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
45,45.9,588792,27040,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
46,46.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
47,47.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
48,48.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
49,49.9,1.13041e+06,50752,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
50,50.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
51,51.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
52,52.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
53,53.9,2.79313e+06,124384,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
54,54.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
55,55.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
56,56.9,876560,40792,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
57,57.9,906240,40768,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
58,58.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
59,59.9,0,0,22,0,0,664,666,32,0,30309,9,9,CONNECTED_NORMALLY,4,4,233.987
