#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
1,1.9,28432,6224,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
2,2.9,4.46178e+06,200112,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
3,3.9,4.32216e+06,192192,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
4,4.9,255632,13328,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
5,5.9,2.39232e+06,106496,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
6,6.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
7,7.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
8,8.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
9,9.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
10,10.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
11,11.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
12,12.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
13,13.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
14,14.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
15,15.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
16,16.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
17,17.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
18,18.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
19,19.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
20,20.9,255632,13328,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
21,21.9,3.67872e+06,163488,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
22,22.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
23,23.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
24,24.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
25,25.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
26,26.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
27,27.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
28,28.9,0,0,10,0,0,332,333,32,0,0,2,9,CONNECTED_NORMALLY,2,4,51.1957
