Time,Event,IMSI,CellId,RNTI,TargetCellId
0.033,ConnectionEstablishedUe,9,1,10,NA
0.0449286,ConnectionEstablishedEnb,9,1,10,NA
0.0660036,ConnectionEstablishedEnb,9,3,2,NA
8.3952,HandoverStartEnb,9,3,2,11
8.39743,HandoverEndOkEnb,9,11,2,NA
9.0624,HandoverStartEnb,9,11,2,3
9.06524,HandoverEndOkEnb,9,3,3,NA
9.2036,HandoverStartEnb,9,3,3,11
9.20584,HandoverEndOkEnb,9,11,3,NA
9.9476,HandoverStartEnb,9,11,3,3
9.95049,HandoverEndOkEnb,9,3,4,NA
11.0528,HandoverStartEnb,9,3,4,11
11.0557,HandoverEndOkEnb,9,11,4,NA
21.1572,HandoverStartEnb,9,11,4,3
21.161,HandoverEndOkEnb,9,3,5,NA
24.2676,HandoverStartEnb,9,3,5,11
24.2705,HandoverEndOkEnb,9,11,5,NA
25.2644,HandoverStartEnb,9,11,5,3
25.2672,HandoverEndOkEnb,9,3,6,NA
34.8756,HandoverStartEnb,9,3,6,11
34.8805,HandoverEndOkEnb,9,11,6,NA
38.6708,HandoverStartEnb,9,11,6,3
38.6737,HandoverEndOkEnb,9,3,7,NA
40.186,HandoverStartEnb,9,3,7,11
40.189,HandoverEndOkEnb,9,11,7,NA
40.1988,HandoverStartEnb,9,11,7,3
40.2017,HandoverEndOkEnb,9,3,8,NA
40.9892,HandoverStartEnb,9,3,8,11
40.993,HandoverEndOkEnb,9,11,8,NA
43.2356,HandoverStartEnb,9,11,8,3
43.2395,HandoverEndOkEnb,9,3,9,NA
68.0532,HandoverStartEnb,9,3,9,11
68.056,HandoverEndOkEnb,9,11,9,NA
68.442,HandoverStartEnb,9,11,9,3
68.446,HandoverEndOkEnb,9,3,10,NA
83.9412,HandoverStartEnb,9,3,10,11
83.945,HandoverEndOkEnb,9,11,10,NA
86.0532,HandoverStartEnb,9,11,10,3
86.057,HandoverEndOkEnb,9,3,11,NA
97.8,HandoverStartEnb,9,3,11,7
97.803,HandoverEndOkEnb,9,7,2,NA
98.2096,HandoverStartEnb,9,7,2,3
98.2125,HandoverEndOkEnb,9,3,13,NA
