DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,3,1,0,60,0,0,0.600914,0,0,-2.74797
UL,0.0457857,4,5,3,1,1,3,1,0,60,0,0,0.511303,0,0,-2.80461
UL,0.0460357,4,6,0,1,1,3,1,0,60,0,0,0.452505,0,0,-2.84178
UL,0.0655357,6,5,2,1,1,5,1,0,60,0,0,19.351,0,0,-0.0844995
UL,0.0655357,6,5,2,1,1,9,1,0,60,0,0,10.4712,0,0,0
UL,0.0655357,6,5,2,1,1,8,1,0,60,0,0,12.0388,0,0,0
UL,0.0657857,6,5,3,1,1,5,1,0,60,0,0,19.395,0,0,-0.0778486
UL,0.0657857,6,5,3,1,1,9,1,0,60,0,0,10.4395,0,0,0
UL,0.0657857,6,5,3,1,1,8,1,0,60,0,0,12.0289,0,0,0
UL,0.0658036,6,5,3,2,1,8,2,0,60,0,0,12.6226,0,0,-0.70115
UL,0.0658036,6,5,3,2,1,5,2,0,60,0,0,7.8375,0,0,0
UL,0.0660357,6,6,0,1,1,5,1,0,60,0,0,19.3645,0,0,-0.0801712
UL,0.0660357,6,6,0,1,1,9,1,0,60,0,0,10.4656,0,0,0
UL,0.0660357,6,6,0,1,1,8,1,0,60,0,0,12.0089,0,0,0
UL,0.0660536,6,6,0,2,1,8,2,0,60,0,0,12.5331,0,0,-0.685102
UL,0.0660536,6,6,0,2,1,5,2,0,60,0,0,7.88328,0,0,0
UL,0.0663036,6,6,1,2,1,8,2,0,60,0,0,12.5891,0,0,-0.671449
UL,0.0663036,6,6,1,2,1,5,2,0,60,0,0,7.9481,0,0,0
UL,0.900804,90,0,3,1,2,8,2,0,123,0,0,16.3805,0,0,-0.336808
UL,0.901054,90,1,0,1,2,8,2,0,123,0,0,16.3328,0,0,-0.354267
UL,0.901304,90,1,1,1,2,8,2,0,123,0,0,16.3571,0,0,-0.367196
UL,0.925786,92,5,3,1,1,8,2,0,1291,20,0,17.2865,0,0,-1.45086
UL,0.926036,92,6,0,1,1,8,2,0,1291,20,0,17.2346,0,0,-1.46348
UL,0.926286,92,6,1,1,1,8,2,0,1291,20,0,17.2333,0,0,-1.46836
UL,0.950536,95,0,2,1,1,8,2,0,1527,22,0,16.4879,0,0.873242,-1.5999
UL,1.15055,115,0,2,1,2,8,2,0,123,0,0,16.9437,0,0,-0.280722
UL,1.1508,115,0,3,1,2,8,2,0,123,0,0,16.9573,0,0,-0.288965
UL,1.15105,115,1,0,1,2,8,2,0,123,0,0,16.9479,0,0,-0.306289
UL,1.17554,117,5,2,1,1,8,2,0,1409,21,0,17.8394,0,0,-1.29474
UL,1.37555,137,5,2,1,2,8,2,0,123,0,0,18.8461,0,0,-0.061137
UL,1.3758,137,5,3,1,2,8,2,0,123,0,0,18.9028,0,0,-0.0524769
UL,1.37605,137,6,0,1,2,8,2,0,123,0,0,18.9369,0,0,-0.0467566
UL,1.40054,140,0,2,1,1,8,2,0,1642,23,0,19.4475,0,0.000140431,-1.07453
UL,1.40079,140,0,3,1,1,8,2,0,1642,23,0,19.4937,0,2.13056e-05,-1.05165
UL,1.40104,140,1,0,1,1,8,2,0,1642,23,0,19.521,0,3.14379e-06,-1.03051
UL,1.42529,142,5,1,1,1,8,2,0,1642,23,0,20.0168,0,0.00320972,-1.11897
UL,1.42554,142,5,2,1,1,8,2,0,1642,23,0,20.0249,0,0.00449234,-1.12442
UL,1.42579,142,5,3,1,1,8,2,0,1642,23,0,19.9858,0,0.00454667,-1.12462
UL,1.45004,145,0,0,1,1,8,2,0,1642,23,0,21.1448,0,0,-0.715575
UL,1.65005,165,0,0,1,2,8,2,0,123,0,0,20.3628,0,0,-0.0516571
UL,1.6503,165,0,1,1,2,8,2,0,123,0,0,20.3822,0,0,-0.0384025
UL,1.65055,165,0,2,1,2,8,2,0,123,0,0,20.4187,0,0,-0.025535
UL,1.67504,167,5,0,1,1,8,2,0,1761,24,0,20.5909,0,2.00845e-06,-0.789875
UL,1.87505,187,5,0,1,2,8,2,0,123,0,0,17.846,0,0,-0.0705386
UL,1.8753,187,5,1,1,2,8,2,0,123,0,0,17.8251,0,0,-0.0806897
UL,1.87555,187,5,2,1,2,8,2,0,123,0,0,17.7521,0,0,-0.091952
UL,1.90004,190,0,0,1,1,8,2,0,1409,21,0,16.6799,0,8.68929e-07,-1.5772
UL,1.90029,190,0,1,1,1,8,2,0,1409,21,0,16.7053,0,4.30344e-07,-1.56957
UL,1.90054,190,0,2,1,1,8,2,0,1409,21,0,16.6698,0,7.06039e-07,-1.57492
UL,1.92504,192,5,0,1,1,8,2,0,1409,21,0,16.868,0,1.44671e-05,-1.61006
UL,1.92529,192,5,1,1,1,8,2,0,1409,21,0,16.7802,0,8.15005e-05,-1.63259
UL,1.92554,192,5,2,1,1,8,2,0,1409,21,0,16.8667,0,1.55514e-05,-1.61096
