#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2152985713.0ns,22,0,130550,1.39974,2.15299,4,0,0,0
+2978985713.0ns,22,1,349519,2.15299,2.97899,7.174,0,0,0
+3778753570.0ns,22,2,299613,2.97899,3.77875,10.3742,0,0,0
+4553485713.0ns,22,3,220993,3.77875,4.55349,13.5995,0,0,0
+5327735713.0ns,22,4,219634,4.55349,5.32774,16.8253,0,0,0
+6051235713.0ns,22,5,81114,5.32774,6.05124,20.1017,0,0,0
+6800485713.0ns,22,6,139234,6.05124,6.80049,23.3525,0,0,0
+7600235713.0ns,22,7,308066,6.80049,7.60024,26.5527,0,0,0
+8399235713.0ns,22,8,234912,7.60024,8.39924,29.7538,0,0,0
+9174735713.0ns,22,9,210170,8.39924,9.17474,32.9783,0,0,0
+12928485713.0ns,22,10,177609,12.153,12.9285,33.2245,0,0,0
+16928235713.0ns,22,11,155318,16.153,16.9282,33.2248,0,0,0
+20928235713.0ns,22,12,158447,20.153,20.9282,33.2248,0,0,0
+24953485713.0ns,22,13,256551,24.153,24.9535,33.1995,0,0,0
+28931003570.0ns,22,14,151129,28.153,28.931,33.222,0,0,0
+32878485713.0ns,22,15,78576,32.153,32.8785,33.2745,0,0,0
+36879235713.0ns,22,16,98400,36.153,36.8792,33.2737,0,0,0
+40927753570.0ns,22,17,214461,40.153,40.9278,33.2252,0,0,0
+44927253570.0ns,22,18,166743,44.153,44.9273,33.2257,0,0,0
+48952521427.0ns,22,19,228465,48.153,48.9525,33.2005,0,0,0
+52981235713.0ns,22,20,417897,52.153,52.9812,33.1718,0,0,0
+56928485713.0ns,22,21,202940,56.153,56.9285,33.2245,0,0,0
+60852485713.0ns,22,22,65400,60.153,60.8525,33.3005,0,0,0
+64904235713.0ns,22,23,112487,64.153,64.9042,33.2488,0,0,0
+68879485713.0ns,22,24,73380,68.153,68.8795,33.2735,0,0,0
