#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2368999999.0ns,22,0,130550,1.448,2.369,4,0,0,0
+5178999999.0ns,22,1,6667126,2.369,5.179,5.19,0,5,0
+7014999999.0ns,22,2,3211901,5.179,7.015,7.354,0,5,0
+8390999999.0ns,22,3,1639262,7.015,8.391,9.978,0,5,0
+9749999999.0ns,22,4,1551364,8.391,9.75,12.619,0,5,0
+10813999999.0ns,22,5,581276,9.75,10.814,15.555,0,5,0
+12030999999.0ns,22,6,1077210,10.814,12.031,18.338,0,5,0
+13771999999.0ns,22,7,2947651,12.031,13.772,20.597,0,5,0
+15318999999.0ns,22,8,2231954,13.772,15.319,23.05,0,5,0
+16792999999.0ns,22,9,1973821,15.319,16.793,25.576,0,5,0
+18013999999.0ns,22,10,1110053,16.793,18.014,28.355,0,5,0
+19258999999.0ns,22,11,1131566,18.014,19.259,31.11,0,5,0
+21696999999.0ns,22,12,1411867,20.369,21.697,32.672,0,5,0
+25957999999.0ns,22,13,2342758,24.369,25.958,32.411,0,5,0
+29812999999.0ns,22,14,1849212,28.369,29.813,32.556,0,5,0
+33474999999.0ns,22,15,624663,32.369,33.475,32.894,0,5,0
+37546999999.0ns,22,16,869686,36.369,37.547,32.822,0,5,0
+41851999999.0ns,22,17,1991788,40.369,41.852,32.517,0,5,0
+45732999999.0ns,22,18,1529997,44.369,45.733,32.636,0,5,0
+49885999999.0ns,22,19,2096269,48.369,49.886,32.483,0,5,0
+54513999999.0ns,22,20,4306089,52.369,54.514,31.855,0,5,0
+57845999999.0ns,22,21,1944846,56.369,57.846,32.523,0,5,0
+61446999999.0ns,22,22,572542,60.369,61.447,32.922,0,5,0
+65704999999.0ns,22,23,1479681,64.369,65.705,32.664,0,5,0
+69471999999.0ns,22,24,606006,68.369,69.472,32.897,0,5,0
