#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2258999999.0ns,22,0,130550,1.44709,2.259,4,0,0,0
+3285999999.0ns,22,1,349519,2.259,3.286,6.973,0,0,0
+4284999999.0ns,22,2,299613,3.286,4.285,9.974,0,0,0
+5240999999.0ns,22,3,220993,4.285,5.241,13.018,0,0,0
+6196999999.0ns,22,4,219634,5.241,6.197,16.062,0,0,0
+7071999999.0ns,22,5,81114,6.197,7.072,19.187,0,0,0
+7992999999.0ns,22,6,139234,7.072,7.993,22.266,0,0,0
+8989999999.0ns,22,7,308066,7.993,8.99,25.269,0,0,0
+9975999999.0ns,22,8,234912,8.99,9.976,28.283,0,0,0
+10936999999.0ns,22,9,210170,9.976,10.937,31.322,0,0,0
+13216999999.0ns,22,10,177609,12.259,13.217,33.042,0,0,0
+17213999999.0ns,22,11,155318,16.259,17.214,33.045,0,0,0
+21214999999.0ns,22,12,158447,20.259,21.215,33.044,0,0,0
+25253999999.0ns,22,13,256551,24.259,25.254,33.005,0,0,0
+29213999999.0ns,22,14,151129,28.259,29.214,33.045,0,0,0
+33140999999.0ns,22,15,78576,32.259,33.141,33.118,0,0,0
+37142999999.0ns,22,16,98400,36.259,37.143,33.116,0,0,0
+41220999999.0ns,22,17,214461,40.259,41.221,33.038,0,0,0
+45215999999.0ns,22,18,166743,44.259,45.216,33.043,0,0,0
+49098503570.0ns,22,19,228465,48.259,49.0985,33.1605,0,0,0
+53132824998.0ns,22,20,417897,52.259,53.1328,33.1262,0,0,0
+57219999999.0ns,22,21,202940,56.259,57.22,33.039,0,0,0
+60961735713.0ns,22,22,65400,60.259,60.9617,33.2973,0,0,0
+65177999999.0ns,22,23,112487,64.259,65.178,33.081,0,0,0
+69139999999.0ns,22,24,73380,68.259,69.14,33.119,0,0,0
