DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0645536,6,4,2,2,1,8,2,0,60,0,0,8.25571,0,0,0
DL,0.0667857,6,6,3,1,1,8,2,0,753,14,0,8.36925,0,0,-1.75519
DL,0.901786,90,1,3,1,1,8,2,0,60,0,0,6.7353,0,0,0
DL,0.924786,92,4,3,1,1,8,2,0,580,12,0,6.29904,0,0,-2.64462
DL,0.926536,92,6,2,1,1,8,2,0,580,12,0,6.49823,0,0,-2.55262
DL,0.949536,94,9,2,1,1,8,2,0,753,14,0,6.67879,0,0.000510594,-2.47037
DL,1.15154,115,1,2,1,1,8,2,0,60,0,0,6.89074,0,0,0
DL,1.17455,117,4,2,1,2,8,2,0,1157,12,0,6.78781,0,0,-2.42098
DL,1.37679,137,6,3,1,1,8,2,0,60,0,0,7.90094,0,0,0
DL,1.3998,139,9,3,1,2,8,2,0,1503,14,0,7.42,0,0,-2.14405
DL,1.40179,140,1,3,1,1,8,2,0,753,14,0,7.13095,0,4.38128e-11,-2.26879
DL,1.42479,142,4,3,1,1,8,2,0,753,14,0,7.33451,0,1.05471e-15,-2.18061
DL,1.42654,142,6,2,1,1,8,2,0,753,14,0,7.45625,0,0,-2.12855
DL,1.44954,144,9,2,1,1,8,2,0,753,14,0,7.45463,0,0,-2.12924
DL,1.65154,165,1,2,1,1,8,2,0,60,0,0,6.22936,0,0,0
DL,1.67455,167,4,2,1,2,8,2,0,1157,12,0,5.99043,0,0,-2.78969
DL,1.87679,187,6,3,1,1,8,2,0,60,0,0,7.51516,0,0,0
DL,1.8998,189,9,3,1,2,8,2,0,1503,14,0,7.78187,0,0,-1.99191
DL,1.90179,190,1,3,1,1,8,2,0,753,14,0,7.64364,0,0,-2.04945
DL,1.92482,192,4,3,1,3,8,2,0,2257,14,0,8.52909,0,0,-1.69288
DL,1.92679,192,6,3,1,1,8,2,0,936,16,0,8.72604,0,0.00466371,-1.6174
DL,1.9498,194,9,3,1,2,8,2,0,1879,16,0,9.05205,0,1.7331e-09,-1.49541
DL,1.95179,195,1,3,1,1,8,2,0,936,16,0,8.99381,0,2.85906e-05,-1.51691
DL,1.97484,197,4,3,1,4,8,2,0,3764,16,0,9.23075,0,1.03806e-12,-1.43026
DL,1.97679,197,6,3,1,1,8,2,0,936,16,0,9.34319,0,2.78369e-09,-1.38984
DL,1.99987,199,9,3,1,6,8,2,0,5646,16,0,8.49652,0,0.0558123,-1.70545
DL,2.00004,200,0,0,1,1,8,2,0,936,16,0,8.54105,0,0.0576585,-1.68826
DL,2.00254,200,2,2,1,1,8,2,0,936,16,0,8.56125,0,0.0455139,-1.6804
DL,2.02566,202,5,2,1,8,8,2,0,7531,16,0,8.83295,0,1.62793e-05,-1.57692
DL,2.02579,202,5,3,1,1,8,2,0,936,16,0,8.91737,0,0.000145544,-1.54528
DL,2.02754,202,7,2,1,1,8,2,0,936,16,0,8.72304,0,0.00487615,-1.61847
DL,2.05073,205,0,2,1,12,8,2,0,11299,16,0,8.85033,0,1.39556e-05,-1.57038
DL,2.05079,205,0,3,1,1,8,2,0,936,16,0,8.89341,0,0.000236438,-1.55429
DL,2.05254,205,2,2,1,1,8,2,0,936,16,0,8.75822,0,0.00275981,-1.60511
DL,2.07573,207,5,2,1,12,8,2,0,11299,16,0,8.59393,0,0.015006,-1.66783
DL,2.07586,207,5,3,1,5,8,2,0,4704,16,0,8.61949,0,0.00394631,-1.65798
DL,2.07604,207,6,0,1,1,8,2,0,936,16,0,8.67321,0,0.0103807,-1.63747
DL,2.07754,207,7,2,1,1,8,2,0,936,16,0,8.81474,0,0.00104127,-1.58377
DL,2.10073,210,0,2,1,12,8,2,0,11299,16,0,9.06631,0,4.87065e-09,-1.49025
DL,2.10098,210,0,3,1,12,8,2,0,11299,16,0,9.02181,0,2.93548e-08,-1.50662
DL,2.10107,210,1,0,1,3,8,2,0,2821,16,0,9.15044,0,3.47899e-11,-1.45948
DL,2.10254,210,2,2,1,1,8,2,0,936,16,0,9.43434,0,1.54066e-10,-1.35741
DL,2.12354,212,3,2,1,1,8,2,0,936,16,0,9.12452,0,1.27617e-06,-1.46888
DL,2.12573,212,5,2,1,12,8,2,0,11299,16,0,9.24915,0,1.26732e-12,-1.42356
DL,2.12598,212,5,3,1,12,8,2,0,11299,16,0,9.24191,0,1.81855e-12,-1.42624
DL,2.12623,212,6,0,1,12,8,2,0,11299,16,0,9.24404,0,1.63869e-12,-1.42547
DL,2.12634,212,6,1,1,4,8,2,0,3764,16,0,9.26823,0,1.65423e-13,-1.41669
DL,2.13379,213,3,3,1,1,8,2,0,936,16,0,9.44992,0,9.26541e-11,-1.35196
DL,2.14634,214,6,1,1,4,8,2,0,3764,16,0,9.75549,0,0,-1.20721
DL,2.15073,215,0,2,1,12,8,2,0,11299,16,0,9.38876,0,0,-1.37361
DL,2.15098,215,0,3,1,12,8,2,0,11299,16,0,9.38701,0,0,-1.37429
DL,2.15123,215,1,0,1,12,8,2,0,11299,16,0,9.42949,0,0,-1.35917
DL,2.15129,215,1,1,1,1,8,2,0,936,16,0,9.49075,0,2.33806e-11,-1.33754
DL,2.15254,215,2,2,1,1,8,2,0,936,16,0,9.67257,0,1.86517e-14,-1.26945
DL,2.17354,217,3,2,1,1,8,2,0,936,16,0,9.77591,0,0,-1.18123
DL,2.17604,217,6,0,1,1,8,2,0,936,16,0,9.60881,0,3.53939e-13,-1.29633
DL,2.19854,219,8,2,1,1,8,2,0,936,16,0,9.85073,0,0,-0.889787
DL,2.20079,220,0,3,1,1,8,2,0,936,16,0,9.53383,0,5.30465e-12,-1.32252
DL,2.40279,240,2,3,1,1,8,2,0,60,0,0,9.95415,0,0,0
DL,2.42579,242,5,3,1,1,8,2,0,936,16,0,10.5664,0,0,0
DL,2.62779,262,7,3,1,1,8,2,0,60,0,0,10.7574,0,0,0
DL,2.6508,265,0,3,1,2,8,2,0,2115,18,0,11.1619,0,6.33558e-10,-2.45129
DL,2.65279,265,2,3,1,1,8,2,0,1054,18,0,11.3016,0,1.90914e-12,-2.40296
DL,2.6758,267,5,3,1,2,8,2,0,2115,18,0,11.8464,0,0,-2.21917
DL,2.67779,267,7,3,1,1,8,2,0,1054,18,0,11.9062,0,0,-2.1993
DL,2.7008,270,0,3,1,2,8,2,0,2115,18,0,12.3875,0,0,-2.0396
DL,2.70279,270,2,3,1,1,8,2,0,1291,20,0,12.0539,1,0.358062,-2.14989
DL,2.70379,270,3,3,1,1,8,2,0,1291,20,1,12.1602,0,0,-2.13211
DL,2.72584,272,5,3,1,4,8,2,0,4234,18,0,12.4181,0,0,-2.02917
DL,2.72779,272,7,3,1,1,8,2,0,1291,20,0,12.3818,0,0.00582228,-2.04097
DL,2.75086,275,0,3,1,5,8,2,0,6471,20,0,12.9975,0,7.62308e-10,-1.84135
