DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0655357,6,5,2,1,1,8,1,0,60,0,0,9.17258,0,0,0
UL,0.0655357,6,5,2,1,1,2,1,0,60,0,0,15.0366,0,0,0
UL,0.0655357,6,5,2,1,1,5,1,0,60,0,0,11.2321,0,0,-0.101336
UL,0.0657857,6,5,3,1,1,8,1,0,60,0,0,9.17263,0,0,0
UL,0.0657857,6,5,3,1,1,2,1,0,60,0,0,15.0703,0,0,0
UL,0.0657857,6,5,3,1,1,5,1,0,60,0,0,11.17,0,0,-0.103038
UL,0.0658036,6,5,3,2,1,2,2,0,60,0,0,12.1176,0,0,-0.0749995
UL,0.0658036,6,5,3,2,1,8,2,0,60,0,0,10.0755,0,0,-0.0191422
UL,0.0660357,6,6,0,1,1,8,1,0,60,0,0,9.13714,0,0,0
UL,0.0660357,6,6,0,1,1,2,1,0,60,0,0,15.112,0,0,0
UL,0.0660357,6,6,0,1,1,5,1,0,60,0,0,11.1373,0,0,-0.105925
UL,0.0660536,6,6,0,2,1,2,2,0,60,0,0,12.1394,0,0,-0.0799626
UL,0.0660536,6,6,0,2,1,8,2,0,60,0,0,10.045,0,0,-0.0211017
UL,0.0663036,6,6,1,2,1,2,2,0,60,0,0,12.1492,0,0,-0.0852579
UL,0.0663036,6,6,1,2,1,8,2,0,60,0,0,10.1048,0,0,-0.0159796
UL,0.765536,76,5,2,1,1,8,3,0,60,0,0,-3.60647,0,0,-6.29997
UL,0.765786,76,5,3,1,1,8,3,0,60,0,0,-3.64762,0,5.55112e-17,-6.32308
UL,0.766036,76,6,0,1,1,8,3,0,60,0,0,-3.72585,0,4.44089e-16,-6.39694
UL,0.900804,90,0,3,1,2,8,2,0,123,0,0,11.6821,0,0,0
UL,0.901054,90,1,0,1,2,8,2,0,123,0,0,11.7044,0,0,0
UL,0.901304,90,1,1,1,2,8,2,0,123,0,0,11.6473,0,0,0
UL,0.925786,92,5,3,1,1,8,2,0,1054,18,0,11.3036,0,7.21863e-08,-2.50414
UL,0.926036,92,6,0,1,1,8,2,0,1054,18,0,11.247,0,3.00325e-07,-2.5204
UL,0.926286,92,6,1,1,1,8,2,0,1054,18,0,11.1171,0,7.38014e-06,-2.56036
UL,0.950536,95,0,2,1,1,8,2,0,1054,18,0,10.6655,0,0.0661471,-2.72981
UL,1.15055,115,0,2,1,2,8,2,0,123,0,0,9.153,0,0,-0.0332009
UL,1.1508,115,0,3,1,2,8,2,0,123,0,0,9.19251,0,0,-0.0171222
UL,1.15105,115,1,0,1,2,8,2,0,123,0,0,9.188,0,0,-0.0132185
UL,1.17554,117,5,2,1,1,8,2,0,936,16,0,8.34425,0,0.0740749,-1.69699
UL,1.37555,137,5,2,1,2,8,2,0,123,0,0,11.0307,0,0,0
UL,1.3758,137,5,3,1,2,8,2,0,123,0,0,11.1001,0,0,0
UL,1.37605,137,6,0,1,2,8,2,0,123,0,0,11.1515,0,0,0
UL,1.40079,140,0,3,1,1,8,2,0,1054,18,0,10.9357,0,0.0040933,-2.66254
UL,1.40104,140,1,0,1,1,8,2,0,1054,18,0,11.0988,0,0.000210636,-2.60929
UL,1.40129,140,1,1,1,1,8,2,0,1054,18,0,11.0243,0,0.00146004,-2.64258
UL,1.42679,142,6,3,1,1,8,2,0,1054,18,0,10.391,1,0.87516,-2.87595
UL,1.42705,142,7,0,1,2,8,2,0,123,0,0,10.4454,0,0,-0.00725924
UL,1.4273,142,7,1,1,2,8,2,0,123,0,0,10.4829,0,0,-0.00230364
UL,1.42754,142,7,2,1,1,8,2,0,1054,18,1,10.5132,0,0,-2.83771
UL,1.45254,145,2,2,1,1,8,2,0,936,16,0,10.0248,0,0,-0.787127
UL,1.45279,145,2,3,1,1,8,2,0,936,16,0,10.0145,0,0,-0.811824
UL,1.45307,145,3,0,1,3,8,2,0,186,0,0,10.0134,0,0,-0.00724609
UL,1.47754,147,7,2,1,1,8,2,0,936,16,0,10.5289,0,0,-0.689889
UL,1.47779,147,7,3,1,1,8,2,0,936,16,0,10.5937,0,0,-0.676335
UL,1.47804,147,8,0,1,1,8,2,0,936,16,0,10.658,0,0,-0.640353
UL,1.50254,150,2,2,1,1,8,2,0,1007,17,0,10.1728,0,0.443965,-2.93782
UL,1.50279,150,2,3,1,1,8,2,0,1007,17,0,10.1908,1,0.299674,-2.9161
UL,1.50304,150,3,0,1,1,8,2,0,1007,17,0,10.1379,1,0.354404,-2.92472
UL,1.50354,150,3,2,1,1,8,2,0,1007,17,1,10.1387,0,0,-2.9114
UL,1.50379,150,3,3,1,1,8,2,0,1007,17,1,10.2633,0,0,-2.89088
UL,1.52754,152,7,2,1,1,8,2,0,936,16,0,9.93008,0,0,-0.957002
UL,1.52779,152,7,3,1,1,8,2,0,936,16,0,10.0004,0,0,-0.876585
UL,1.52804,152,8,0,1,1,8,2,0,936,16,0,9.9664,0,0,-0.847684
