DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,3,1,0,60,0,0,22.6393,0,0,0
UL,0.0455357,4,5,2,1,1,2,1,0,60,0,0,10.9475,0,0,0
UL,0.0457857,4,5,3,1,1,3,1,0,60,0,0,22.5671,0,0,0
UL,0.0457857,4,5,3,1,1,2,1,0,60,0,0,11.0134,0,0,0
UL,0.0460357,4,6,0,1,1,3,1,0,60,0,0,22.6107,0,0,0
UL,0.0460357,4,6,0,1,1,2,1,0,60,0,0,11.0585,0,0,0
UL,0.0655357,6,5,2,1,1,4,1,0,60,0,0,15.3841,0,0,0
UL,0.0655357,6,5,2,1,1,7,1,0,60,0,0,4.16486,0,0,-0.83112
UL,0.0655357,6,5,2,1,1,3,2,0,60,0,0,14.5598,0,0,0
UL,0.0655357,6,5,2,1,1,5,1,0,60,0,0,10.4049,0,0,0
UL,0.0657857,6,5,3,1,1,4,1,0,60,0,0,15.3448,0,0,0
UL,0.0657857,6,5,3,1,1,7,1,0,60,0,0,4.1668,0,0,-0.830477
UL,0.0657857,6,5,3,1,1,3,2,0,60,0,0,14.6388,0,0,0
UL,0.0657857,6,5,3,1,1,5,1,0,60,0,0,10.3915,0,0,0
UL,0.0658036,6,5,3,2,1,3,3,0,60,0,0,24.4665,0,0,0
UL,0.0660357,6,6,0,1,1,4,1,0,60,0,0,15.3602,0,0,0
UL,0.0660357,6,6,0,1,1,7,1,0,60,0,0,4.27592,0,0,-0.773652
UL,0.0660357,6,6,0,1,1,3,2,0,60,0,0,14.6194,0,0,0
UL,0.0660357,6,6,0,1,1,5,1,0,60,0,0,10.3646,0,0,0
UL,0.0660536,6,6,0,2,1,3,3,0,60,0,0,24.4387,0,0,0
UL,0.0663036,6,6,1,2,1,3,3,0,60,0,0,24.4637,0,0,0
UL,0.900804,90,0,3,1,2,3,3,0,123,0,0,28.6337,0,0,0
UL,0.901054,90,1,0,1,2,3,3,0,123,0,0,28.5687,0,0,0
UL,0.901304,90,1,1,1,2,3,3,0,123,0,0,28.5858,0,0,0
UL,0.925786,92,5,3,1,1,3,3,0,2162,28,0,30.0327,0,0,0
UL,0.926036,92,6,0,1,1,3,3,0,2162,28,0,30.0631,0,0,0
UL,0.926286,92,6,1,1,1,3,3,0,2162,28,0,30.1298,0,0,0
UL,0.950536,95,0,2,1,1,3,3,0,2162,28,0,29.5414,0,0,0
UL,1.15055,115,0,2,1,2,3,3,0,123,0,0,30.1786,0,0,0
UL,1.1508,115,0,3,1,2,3,3,0,123,0,0,30.2338,0,0,0
UL,1.15105,115,1,0,1,2,3,3,0,123,0,0,30.2663,0,0,0
UL,1.17554,117,5,2,1,1,3,3,0,2162,28,0,30.0021,0,0,0
UL,1.37555,137,5,2,1,2,3,3,0,123,0,0,28.3083,0,0,0
UL,1.3758,137,5,3,1,2,3,3,0,123,0,0,28.3459,0,0,0
UL,1.37605,137,6,0,1,2,3,3,0,123,0,0,28.3575,0,0,0
UL,1.40054,140,0,2,1,1,3,3,0,2162,28,0,28.3276,0,0,0
UL,1.40079,140,0,3,1,1,3,3,0,2162,28,0,28.3501,0,0,0
UL,1.40104,140,1,0,1,1,3,3,0,2162,28,0,28.362,0,0,0
UL,1.42529,142,5,1,1,1,3,3,0,2162,28,0,28.7735,0,0,0
UL,1.42554,142,5,2,1,1,3,3,0,2162,28,0,28.7622,0,0,0
UL,1.42579,142,5,3,1,1,3,3,0,2162,28,0,28.6886,0,0,0
UL,1.45004,145,0,0,1,1,3,3,0,2162,28,0,28.6028,0,0,0
UL,1.65005,165,0,0,1,2,3,3,0,123,0,0,29.7086,0,0,0
UL,1.6503,165,0,1,1,2,3,3,0,123,0,0,29.7486,0,0,0
UL,1.65055,165,0,2,1,2,3,3,0,123,0,0,29.7295,0,0,0
UL,1.67504,167,5,0,1,1,3,3,0,2162,28,0,29.9717,0,0,0
UL,1.87505,187,5,0,1,2,3,3,0,123,0,0,30.5668,0,0,0
UL,1.8753,187,5,1,1,2,3,3,0,123,0,0,30.6078,0,0,0
UL,1.87555,187,5,2,1,2,3,3,0,123,0,0,30.5813,0,0,0
UL,1.90004,190,0,0,1,1,3,3,0,2162,28,0,30.5359,0,0,0
UL,1.90029,190,0,1,1,1,3,3,0,2162,28,0,30.5702,0,0,0
UL,1.90054,190,0,2,1,1,3,3,0,2162,28,0,30.6396,0,0,0
UL,1.92479,192,4,3,1,1,3,3,0,2162,28,0,30.3027,0,0,0
UL,1.92504,192,5,0,1,1,3,3,0,2162,28,0,30.2577,0,0,0
UL,1.92529,192,5,1,1,1,3,3,0,2162,28,0,30.2487,0,0,0
UL,1.94954,194,9,2,1,1,3,3,0,2162,28,0,30.2858,0,0,0
UL,1.94979,194,9,3,1,1,3,3,0,2162,28,0,30.3449,0,0,0
UL,1.95004,195,0,0,1,1,3,3,0,2162,28,0,30.3828,0,0,0
UL,1.97454,197,4,2,1,1,3,3,0,2162,28,0,30.7584,0,0,0
UL,1.97479,197,4,3,1,1,3,3,0,2162,28,0,30.7375,0,0,0
UL,1.97504,197,5,0,1,1,3,3,0,2162,28,0,30.7202,0,0,0
UL,1.99954,199,9,2,1,1,3,3,0,2162,28,0,30.5761,0,0,0
UL,1.99979,199,9,3,1,1,3,3,0,2162,28,0,30.5791,0,0,0
UL,2.00004,200,0,0,1,1,3,3,0,2162,28,0,30.6614,0,0,0
