Time,Event,IMSI,CellId,RNTI,TargetCellId
0.028,ConnectionEstablishedUe,9,1,5,NA
0.0399286,ConnectionEstablishedEnb,9,1,5,NA
0.0657357,ConnectionEstablishedEnb,9,2,1,NA
0.2592,HandoverStartEnb,9,2,1,11
0.261986,HandoverEndOkEnb,9,11,3,NA
0.53,HandoverStartEnb,9,11,3,2
0.532986,HandoverEndOkEnb,9,2,2,NA
0.7552,HandoverStartEnb,9,2,2,7
0.757986,HandoverEndOkEnb,9,7,2,NA
1.3504,HandoverStartEnb,9,7,2,2
1.35324,HandoverEndOkEnb,9,2,4,NA
1.5136,HandoverStartEnb,9,2,4,7
1.51649,HandoverEndOkEnb,9,7,4,NA
10.5492,HandoverStartEnb,9,7,4,2
10.555,HandoverEndOkEnb,9,2,7,NA
10.867,HandoverStartEnb,9,2,7,7
10.87,HandoverEndOkEnb,9,7,6,NA
11.0164,HandoverStartEnb,9,7,6,2
11.048,HandoverEndOkEnb,9,2,8,NA
11.1202,HandoverStartEnb,9,2,8,7
11.123,HandoverEndOkEnb,9,7,7,NA
36.4692,HandoverStartEnb,9,7,7,2
36.5002,HandoverEndOkEnb,9,2,15,NA
36.9696,HandoverStartEnb,9,2,15,7
36.9719,HandoverEndOkEnb,9,7,12,NA
40.3216,HandoverStartEnb,9,7,12,2
40.3245,HandoverEndOkEnb,9,2,18,NA
40.578,HandoverStartEnb,9,2,18,3
40.5804,HandoverEndOkEnb,9,3,5,NA
40.5908,HandoverStartEnb,9,3,5,2
40.7205,HandoverEndOkEnb,9,2,19,NA
41.4528,HandoverStartEnb,9,2,19,7
41.4557,HandoverEndOkEnb,9,7,14,NA
41.712,HandoverStartEnb,9,7,14,2
41.715,HandoverEndOkEnb,9,2,20,NA
44.5504,HandoverStartEnb,9,2,20,7
44.5532,HandoverEndOkEnb,9,7,15,NA
50.9696,HandoverStartEnb,9,7,15,2
50.9725,HandoverEndOkEnb,9,2,23,NA
51.4672,HandoverStartEnb,9,2,23,7
51.47,HandoverEndOkEnb,9,7,19,NA
56.6052,HandoverStartEnb,9,7,19,2
56.609,HandoverEndOkEnb,9,2,24,NA
77.8678,HandoverStartEnb,9,2,24,5
77.8707,HandoverEndOkEnb,9,5,36,NA
77.9076,HandoverStartEnb,9,5,36,2
78.4865,HandoverEndOkEnb,9,2,26,NA
79.6928,HandoverStartEnb,9,2,26,7
79.6957,HandoverEndOkEnb,9,7,26,NA
81.6,HandoverStartEnb,9,7,26,2
81.603,HandoverEndOkEnb,9,2,28,NA
85.471,HandoverStartEnb,9,2,28,7
85.474,HandoverEndOkEnb,9,7,28,NA
86.8384,HandoverStartEnb,9,7,28,2
86.8412,HandoverEndOkEnb,9,2,29,NA
90.9072,HandoverStartEnb,9,2,29,5
90.91,HandoverEndOkEnb,9,5,44,NA
91.0624,HandoverStartEnb,9,5,44,7
91.0652,HandoverEndOkEnb,9,7,31,NA
91.3024,HandoverStartEnb,9,7,31,3
91.3052,HandoverEndOkEnb,9,3,17,NA
91.848,HandoverStartEnb,9,3,17,2
91.851,HandoverEndOkEnb,9,2,30,NA
93.08,HandoverStartEnb,9,2,30,5
93.083,HandoverEndOkEnb,9,5,46,NA
93.2948,HandoverStartEnb,9,5,46,2
