Time,Event,IMSI,CellId,RNTI,TargetCellId
0.028,ConnectionEstablishedUe,9,1,5,NA
0.0399286,ConnectionEstablishedEnb,9,1,5,NA
0.0657357,ConnectionEstablishedEnb,9,5,1,NA
3.624,HandoverStartEnb,9,5,1,11
3.62693,HandoverEndOkEnb,9,11,1,NA
4.9588,HandoverStartEnb,9,11,1,5
5.23981,HandoverEndOkEnb,9,5,2,NA
6.3696,HandoverStartEnb,9,5,2,10
6.37249,HandoverEndOkEnb,9,10,2,NA
6.9808,HandoverStartEnb,9,10,2,11
6.98374,HandoverEndOkEnb,9,11,2,NA
7.2788,HandoverStartEnb,9,11,2,5
7.45424,HandoverEndOkEnb,9,5,3,NA
8.425,HandoverStartEnb,9,5,3,9
8.42799,HandoverEndOkEnb,9,9,3,NA
8.4484,HandoverStartEnb,9,9,3,5
8.53749,HandoverEndOkEnb,9,5,4,NA
9.3642,HandoverStartEnb,9,5,4,9
9.36699,HandoverEndOkEnb,9,9,4,NA
9.5972,HandoverStartEnb,9,9,4,5
9.68724,HandoverEndOkEnb,9,5,5,NA
10.056,HandoverStartEnb,9,5,5,10
10.059,HandoverEndOkEnb,9,10,3,NA
11.0144,HandoverStartEnb,9,10,3,5
11.0172,HandoverEndOkEnb,9,5,6,NA
11.5392,HandoverStartEnb,9,5,6,10
11.542,HandoverEndOkEnb,9,10,4,NA
12.944,HandoverStartEnb,9,10,4,11
12.947,HandoverEndOkEnb,9,11,4,NA
14.154,HandoverStartEnb,9,11,4,10
14.157,HandoverEndOkEnb,9,10,5,NA
14.9424,HandoverStartEnb,9,10,5,11
14.9452,HandoverEndOkEnb,9,11,6,NA
15.2676,HandoverStartEnb,9,11,6,5
15.446,HandoverEndOkEnb,9,5,8,NA
20.3488,HandoverStartEnb,9,5,8,10
20.3517,HandoverEndOkEnb,9,10,6,NA
22.1424,HandoverStartEnb,9,10,6,5
22.1452,HandoverEndOkEnb,9,5,9,NA
22.4464,HandoverStartEnb,9,5,9,11
22.4492,HandoverEndOkEnb,9,11,8,NA
23.3684,HandoverStartEnb,9,11,8,10
23.4575,HandoverEndOkEnb,9,10,7,NA
23.8128,HandoverStartEnb,9,10,7,11
23.8157,HandoverEndOkEnb,9,11,9,NA
27.6848,HandoverStartEnb,9,11,9,5
27.6877,HandoverEndOkEnb,9,5,10,NA
35.8448,HandoverStartEnb,9,5,10,11
35.8477,HandoverEndOkEnb,9,11,11,NA
35.9028,HandoverStartEnb,9,11,11,5
36.0207,HandoverEndOkEnb,9,5,11,NA
39.2608,HandoverStartEnb,9,5,11,6
39.2637,HandoverEndOkEnb,9,6,15,NA
40.01,HandoverStartEnb,9,6,15,5
40.0705,HandoverEndOkEnb,9,5,12,NA
40.224,HandoverStartEnb,9,5,12,6
40.227,HandoverEndOkEnb,9,6,17,NA
41.1076,HandoverStartEnb,9,6,17,5
41.2255,HandoverEndOkEnb,9,5,13,NA
41.3476,HandoverStartEnb,9,5,13,11
41.3505,HandoverEndOkEnb,9,11,12,NA
44.4676,HandoverStartEnb,9,11,12,5
44.528,HandoverEndOkEnb,9,5,14,NA
45.9126,HandoverStartEnb,9,5,14,11
45.9155,HandoverEndOkEnb,9,11,13,NA
46.5088,HandoverStartEnb,9,11,13,5
46.5117,HandoverEndOkEnb,9,5,16,NA
47.3696,HandoverStartEnb,9,5,16,10
47.3725,HandoverEndOkEnb,9,10,9,NA
48.5642,HandoverStartEnb,9,10,9,4
48.567,HandoverEndOkEnb,9,4,4,NA
51.1844,HandoverStartEnb,9,4,4,5
51.5897,HandoverEndOkEnb,9,5,17,NA
51.7424,HandoverStartEnb,9,5,17,4
51.7452,HandoverEndOkEnb,9,4,5,NA
51.7572,HandoverStartEnb,9,4,5,5
51.9612,HandoverEndOkEnb,9,5,18,NA
66.8736,HandoverStartEnb,9,5,18,11
66.8765,HandoverEndOkEnb,9,11,15,NA
68.6976,HandoverStartEnb,9,11,15,5
68.7005,HandoverEndOkEnb,9,5,19,NA
69.352,HandoverStartEnb,9,5,19,11
69.3544,HandoverEndOkEnb,9,11,16,NA
69.6128,HandoverStartEnb,9,11,16,5
69.6152,HandoverEndOkEnb,9,5,20,NA
70.1136,HandoverStartEnb,9,5,20,10
70.1165,HandoverEndOkEnb,9,10,11,NA
72.0326,HandoverStartEnb,9,10,11,7
72.0355,HandoverEndOkEnb,9,7,10,NA
97.4804,HandoverStartEnb,9,7,10,5
97.5407,HandoverEndOkEnb,9,5,21,NA
98.721,HandoverStartEnb,9,5,21,11
98.724,HandoverEndOkEnb,9,11,21,NA
99.1872,HandoverStartEnb,9,11,21,4
99.19,HandoverEndOkEnb,9,4,6,NA
99.3696,HandoverStartEnb,9,4,6,11
99.3725,HandoverEndOkEnb,9,11,22,NA
104.04,HandoverStartEnb,9,11,22,5
104.043,HandoverEndOkEnb,9,5,22,NA
104.253,HandoverStartEnb,9,5,22,11
104.256,HandoverEndOkEnb,9,11,23,NA
111.634,HandoverStartEnb,9,11,23,4
111.636,HandoverEndOkEnb,9,4,7,NA
112.04,HandoverStartEnb,9,4,7,11
112.043,HandoverEndOkEnb,9,11,24,NA
114.062,HandoverStartEnb,9,11,24,5
114.065,HandoverEndOkEnb,9,5,23,NA
