DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,7,1,0,60,0,0,-5.94296,0,0.0231849,-8.09944
UL,0.0457857,4,5,3,1,1,7,1,0,60,0,0,-5.8374,0,0.0121321,-8.01038
UL,0.0460357,4,6,0,1,1,7,1,0,60,0,0,-5.74918,0,0.006707,-7.93679
UL,0.0655357,6,5,2,1,1,8,1,0,60,0,0,11.7313,0,0,0
UL,0.0655357,6,5,2,1,1,9,1,0,60,0,0,5.47674,0,0,-0.293021
UL,0.0655357,6,5,2,1,1,6,1,0,60,0,0,5.05887,0,0,-1.47533
UL,0.0655357,6,5,2,1,1,3,1,0,60,0,0,16.0779,0,0,0
UL,0.0655357,6,5,2,1,1,7,2,0,60,0,0,9.77375,0,0,0
UL,0.0655357,6,5,2,1,1,5,1,0,60,0,0,0.605106,0,0,-2.73577
UL,0.0657857,6,5,3,1,1,8,1,0,60,0,0,11.71,0,0,0
UL,0.0657857,6,5,3,1,1,9,1,0,60,0,0,5.51184,0,0,-0.286784
UL,0.0657857,6,5,3,1,1,6,1,0,60,0,0,5.24429,0,0,-1.42529
UL,0.0657857,6,5,3,1,1,3,1,0,60,0,0,16.1939,0,0,0
UL,0.0657857,6,5,3,1,1,7,2,0,60,0,0,9.80244,0,0,0
UL,0.0657857,6,5,3,1,1,5,1,0,60,0,0,0.549422,0,0,-2.77077
UL,0.0660357,6,6,0,1,1,8,1,0,60,0,0,11.6981,0,0,0
UL,0.0660357,6,6,0,1,1,9,1,0,60,0,0,5.41937,0,0,-0.300413
UL,0.0660357,6,6,0,1,1,6,1,0,60,0,0,5.41656,0,0,-1.37363
UL,0.0660357,6,6,0,1,1,3,1,0,60,0,0,16.2082,0,0,0
UL,0.0660357,6,6,0,1,1,7,2,0,60,0,0,9.70694,0,0,0
UL,0.0660357,6,6,0,1,1,5,1,0,60,0,0,0.532144,0,0,-2.78177
UL,0.900804,90,0,3,1,2,7,2,0,123,0,0,9.39248,0,0,0
UL,0.901054,90,1,0,1,2,7,2,0,123,0,0,9.33914,0,0,0
UL,0.901304,90,1,1,1,2,7,2,0,123,0,0,9.30942,0,0,0
UL,0.925786,92,5,3,1,1,7,2,0,936,16,0,9.03678,0,3.13568e-05,-1.51845
UL,0.926036,92,6,0,1,1,7,2,0,936,16,0,8.92267,0,0.000331727,-1.56076
UL,0.926286,92,6,1,1,1,7,2,0,936,16,0,9.0219,0,4.359e-05,-1.52401
UL,0.950536,95,0,2,1,1,7,2,0,936,16,0,9.43154,0,8.29208e-10,-1.37596
UL,1.02554,102,5,2,1,1,4,1,0,60,0,0,-2.85756,0,0,-5.73926
UL,1.02579,102,5,3,1,1,4,1,0,60,0,0,-2.82511,0,0,-5.70094
UL,1.02604,102,6,0,1,1,4,1,0,60,0,0,-2.77006,0,0,-5.69159
UL,1.15055,115,0,2,1,2,7,2,0,123,0,0,9.42958,0,0,0
UL,1.1508,115,0,3,1,2,7,2,0,123,0,0,9.40439,0,0,0
UL,1.15105,115,1,0,1,2,7,2,0,123,0,0,9.44716,0,0,0
