Time,Old_state,New_state
232141,IDLE,TX
249997,TX,IDLE
482141,IDLE,TX
499997,TX,IDLE
732141,IDLE,TX
749997,TX,IDLE
982141,IDLE,TX
999997,TX,IDLE
1232141,IDLE,TX
1249997,TX,IDLE
1482141,IDLE,TX
1499997,TX,IDLE
1732141,IDLE,TX
1749997,TX,IDLE
1982141,IDLE,TX
1999997,TX,IDLE
2232141,IDLE,TX
2249997,TX,IDLE
2482141,IDLE,TX
2499997,TX,IDLE
2732141,IDLE,TX
2749997,TX,IDLE
2982141,IDLE,TX
2999997,TX,IDLE
3232141,IDLE,TX
3249997,TX,IDLE
3482141,IDLE,TX
3499997,TX,IDLE
3732141,IDLE,TX
3749997,TX,IDLE
3982141,IDLE,TX
3999997,TX,IDLE
4232141,IDLE,TX
4249997,TX,IDLE
4482141,IDLE,TX
4499997,TX,IDLE
4732141,IDLE,TX
4749997,TX,IDLE
4982141,IDLE,TX
4999997,TX,IDLE
5232141,IDLE,TX
5249997,TX,IDLE
5482141,IDLE,TX
5499997,TX,IDLE
5732141,IDLE,TX
5749997,TX,IDLE
5982141,IDLE,TX
5999997,TX,IDLE
6232141,IDLE,TX
6249997,TX,IDLE
6482141,IDLE,TX
6499997,TX,IDLE
6732141,IDLE,TX
6749997,TX,IDLE
6982141,IDLE,TX
6999997,TX,IDLE
7232141,IDLE,TX
7249997,TX,IDLE
7482141,IDLE,TX
7499997,TX,IDLE
7732141,IDLE,TX
7749997,TX,IDLE
7982141,IDLE,TX
7999997,TX,IDLE
8232141,IDLE,TX
8249997,TX,IDLE
8482141,IDLE,TX
8499997,TX,IDLE
8732141,IDLE,TX
8749997,TX,IDLE
8982141,IDLE,TX
8999997,TX,IDLE
9232141,IDLE,TX
9249997,TX,IDLE
9482141,IDLE,TX
9499997,TX,IDLE
9732141,IDLE,TX
9749997,TX,IDLE
9982141,IDLE,TX
9999997,TX,IDLE
10232141,IDLE,TX
10249997,TX,IDLE
10482141,IDLE,TX
10499997,TX,IDLE
10732141,IDLE,TX
10749997,TX,IDLE
10982141,IDLE,TX
10999997,TX,IDLE
11232141,IDLE,TX
11249997,TX,IDLE
11482141,IDLE,TX
11499997,TX,IDLE
11732141,IDLE,TX
11749997,TX,IDLE
11982141,IDLE,TX
11999997,TX,IDLE
12232141,IDLE,TX
12249997,TX,IDLE
12482141,IDLE,TX
12499997,TX,IDLE
12732141,IDLE,TX
12749997,TX,IDLE
12982141,IDLE,TX
12999997,TX,IDLE
13232141,IDLE,TX
13249997,TX,IDLE
13482141,IDLE,TX
13499997,TX,IDLE
13732141,IDLE,TX
13749997,TX,IDLE
13982141,IDLE,TX
13999997,TX,IDLE
14232141,IDLE,TX
14249997,TX,IDLE
14482141,IDLE,TX
14499997,TX,IDLE
14732141,IDLE,TX
14749997,TX,IDLE
14982141,IDLE,TX
14999997,TX,IDLE
15232141,IDLE,TX
15249997,TX,IDLE
15482141,IDLE,TX
15499997,TX,IDLE
15732141,IDLE,TX
15749997,TX,IDLE
15982141,IDLE,TX
15999997,TX,IDLE
16232141,IDLE,TX
16249997,TX,IDLE
16482141,IDLE,TX
16499997,TX,IDLE
16732141,IDLE,TX
16749997,TX,IDLE
16982141,IDLE,TX
16999997,TX,IDLE
17232141,IDLE,TX
17249997,TX,IDLE
17482141,IDLE,TX
17499997,TX,IDLE
17732141,IDLE,TX
17749997,TX,IDLE
17982141,IDLE,TX
17999997,TX,IDLE
18232141,IDLE,TX
18249997,TX,IDLE
18482141,IDLE,TX
18499997,TX,IDLE
18732141,IDLE,TX
