DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,6,1,0,60,0,0,11.1087,0,0,-0.446872
UL,0.0455357,4,5,2,1,1,10,1,0,60,0,0,12.838,0,0,-0.129038
UL,0.0457857,4,5,3,1,1,6,1,0,60,0,0,11.0007,0,0,-0.447978
UL,0.0457857,4,5,3,1,1,10,1,0,60,0,0,12.9095,0,0,-0.131338
UL,0.0460357,4,6,0,1,1,6,1,0,60,0,0,11.1032,0,0,-0.439797
UL,0.0460357,4,6,0,1,1,10,1,0,60,0,0,12.8827,0,0,-0.13872
UL,0.0655357,6,5,2,1,1,8,1,0,60,0,0,4.84713,0,0,-0.704938
UL,0.0655357,6,5,2,1,1,11,1,0,60,0,0,11.1404,0,0,-0.0343878
UL,0.0655357,6,5,2,1,1,7,1,0,60,0,0,27.4758,0,0,-0.00616102
UL,0.0655357,6,5,2,1,1,9,1,0,60,0,0,0.305321,0,0,-2.9471
UL,0.0655357,6,5,2,1,1,10,2,0,60,0,0,4.64173,0,0,-1.10664
UL,0.0657857,6,5,3,1,1,8,1,0,60,0,0,4.8245,0,0,-0.711933
UL,0.0657857,6,5,3,1,1,11,1,0,60,0,0,11.1201,0,0,-0.036721
UL,0.0657857,6,5,3,1,1,7,1,0,60,0,0,27.4773,0,0,-0.00537388
UL,0.0657857,6,5,3,1,1,9,1,0,60,0,0,0.262277,0,0,-2.97546
UL,0.0657857,6,5,3,1,1,10,2,0,60,0,0,4.61075,0,0,-1.11983
UL,0.0658036,6,5,3,2,1,11,2,0,60,0,0,5.24598,0,0,-0.551679
UL,0.0658036,6,5,3,2,1,8,2,0,60,0,0,6.66184,0,0,0
UL,0.0658036,6,5,3,2,1,7,2,0,60,0,0,18.4773,0,0,-0.00720444
UL,0.0660357,6,6,0,1,1,8,1,0,60,0,0,4.80734,0,0,-0.717281
UL,0.0660357,6,6,0,1,1,11,1,0,60,0,0,11.1909,0,0,-0.025145
UL,0.0660357,6,6,0,1,1,7,1,0,60,0,0,27.4385,0,0,-0.00469395
UL,0.0660357,6,6,0,1,1,9,1,0,60,0,0,0.319433,0,0,-2.93675
UL,0.0660357,6,6,0,1,1,10,2,0,60,0,0,4.62003,0,0,-1.09171
UL,0.0660536,6,6,0,2,1,11,2,0,60,0,0,5.2036,0,0,-0.571572
UL,0.0660536,6,6,0,2,1,8,2,0,60,0,0,6.66686,0,0,0
UL,0.0660536,6,6,0,2,1,7,2,0,60,0,0,18.5154,0,0,-0.00258135
UL,0.0663036,6,6,1,2,1,11,2,0,60,0,0,5.24472,0,0,-0.554479
UL,0.0663036,6,6,1,2,1,8,2,0,60,0,0,6.53055,0,0,0
UL,0.0663036,6,6,1,2,1,7,2,0,60,0,0,18.6081,0,0,-0.00227184
UL,0.268286,26,8,1,1,1,3,1,0,60,0,0,6.19145,0,0,-1.1177
UL,0.268536,26,8,2,1,1,3,1,0,60,0,0,6.29724,0,0,-1.08834
UL,0.268786,26,8,3,1,1,3,1,0,60,0,0,6.16892,0,0,-1.09045
UL,0.397786,39,7,3,1,1,3,2,0,60,0,0,7.54991,0,0,0
UL,0.398036,39,8,0,1,1,3,2,0,60,0,0,7.53997,0,0,0
UL,0.398286,39,8,1,1,1,3,2,0,60,0,0,7.57484,0,0,0
UL,0.605786,60,5,3,1,1,11,3,0,60,0,0,6.48151,0,0,-0.258879
UL,0.606036,60,6,0,1,1,11,3,0,60,0,0,6.46839,0,0,-0.260804
UL,0.606286,60,6,1,1,1,11,3,0,60,0,0,6.48942,0,0,-0.250795
UL,0.818786,81,8,3,1,1,10,3,0,60,0,0,8.05666,0,0,-0.258379
UL,0.819036,81,9,0,1,1,10,3,0,60,0,0,8.05845,0,0,-0.266631
UL,0.819286,81,9,1,1,1,10,3,0,60,0,0,8.04855,0,0,-0.265874
UL,0.884286,88,4,1,1,1,3,3,0,60,0,0,6.05951,0,0,-1.18735
UL,0.884536,88,4,2,1,1,3,3,0,60,0,0,6.11436,0,0,-1.16601
