Time,Event,IMSI,CellId,RNTI,TargetCellId
0.028,ConnectionEstablishedUe,9,1,5,NA
0.0399286,ConnectionEstablishedEnb,9,1,5,NA
0.0657357,ConnectionEstablishedEnb,9,10,2,NA
0.3952,HandoverStartEnb,9,10,2,3
0.397986,HandoverEndOkEnb,9,3,2,NA
0.816,HandoverStartEnb,9,3,2,10
0.818986,HandoverEndOkEnb,9,10,3,NA
7.4896,HandoverStartEnb,9,10,3,3
7.49243,HandoverEndOkEnb,9,3,7,NA
8.1616,HandoverStartEnb,9,3,7,10
8.16393,HandoverEndOkEnb,9,10,5,NA
13.8176,HandoverStartEnb,9,10,5,3
13.8205,HandoverEndOkEnb,9,3,9,NA
16.2148,HandoverStartEnb,9,3,9,10
16.3047,HandoverEndOkEnb,9,10,7,NA
16.4166,HandoverStartEnb,9,10,7,3
16.4192,HandoverEndOkEnb,9,3,12,NA
16.4404,HandoverStartEnb,9,3,12,10
18.7112,HandoverEndOkEnb,9,10,8,NA
29.696,HandoverStartEnb,9,10,8,3
29.699,HandoverEndOkEnb,9,3,20,NA
30.3668,HandoverStartEnb,9,3,20,2
30.687,HandoverEndOkEnb,9,2,6,NA
31.112,HandoverStartEnb,9,2,6,6
31.115,HandoverEndOkEnb,9,6,7,NA
32.4264,HandoverStartEnb,9,6,7,4
32.4292,HandoverEndOkEnb,9,4,10,NA
34.8958,HandoverStartEnb,9,4,10,3
34.8987,HandoverEndOkEnb,9,3,24,NA
35.632,HandoverStartEnb,9,3,24,11
35.635,HandoverEndOkEnb,9,11,14,NA
35.9344,HandoverStartEnb,9,11,14,3
35.9372,HandoverEndOkEnb,9,3,26,NA
36.584,HandoverStartEnb,9,3,26,11
36.587,HandoverEndOkEnb,9,11,15,NA
39.104,HandoverStartEnb,9,11,15,10
39.107,HandoverEndOkEnb,9,10,15,NA
39.4048,HandoverStartEnb,9,10,15,3
39.4077,HandoverEndOkEnb,9,3,28,NA
43.016,HandoverStartEnb,9,3,28,10
43.019,HandoverEndOkEnb,9,10,17,NA
44.9052,HandoverStartEnb,9,10,17,11
44.9074,HandoverEndOkEnb,9,11,20,NA
45.1684,HandoverStartEnb,9,11,20,3
46.2016,HandoverEndOkEnb,9,3,32,NA
53.666,HandoverStartEnb,9,3,32,10
53.6967,HandoverEndOkEnb,9,10,22,NA
54.376,HandoverStartEnb,9,10,22,3
54.3784,HandoverEndOkEnb,9,3,39,NA
55.5312,HandoverStartEnb,9,3,39,10
55.534,HandoverEndOkEnb,9,10,24,NA
55.944,HandoverStartEnb,9,10,24,11
55.947,HandoverEndOkEnb,9,11,22,NA
57.2528,HandoverStartEnb,9,11,22,3
57.2557,HandoverEndOkEnb,9,3,42,NA
58.272,HandoverStartEnb,9,3,42,11
58.275,HandoverEndOkEnb,9,11,24,NA
58.4832,HandoverStartEnb,9,11,24,3
58.486,HandoverEndOkEnb,9,3,43,NA
59.5552,HandoverStartEnb,9,3,43,11
59.558,HandoverEndOkEnb,9,11,25,NA
60.3888,HandoverStartEnb,9,11,25,3
60.3917,HandoverEndOkEnb,9,3,44,NA
62.2448,HandoverStartEnb,9,3,44,10
62.2477,HandoverEndOkEnb,9,10,28,NA
62.9392,HandoverStartEnb,9,10,28,11
62.942,HandoverEndOkEnb,9,11,30,NA
63.184,HandoverStartEnb,9,11,30,10
63.187,HandoverEndOkEnb,9,10,29,NA
63.5744,HandoverStartEnb,9,10,29,11
63.5772,HandoverEndOkEnb,9,11,31,NA
