DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,11.6045,1160,4,2,1,1,5,3,0,60,0,0,-3.06231,0,0,-5.91809
DL,11.6063,1160,6,1,1,1,5,3,0,83,2,0,-3.19807,0,8.88178e-15,-6.01619
DL,45.3578,4535,7,3,1,2,5,3,0,123,0,0,-28.6774,1,1,-20.4954
DL,45.3588,4535,8,3,1,2,5,3,0,123,0,1,-28.4685,1,1,-20.4954
DL,45.3598,4535,9,3,1,2,5,3,0,123,0,2,-28.6039,1,1,-20.4954
DL,45.3608,4536,0,3,1,2,5,3,0,123,0,3,-28.5063,1,1,-20.4954
DL,45.3866,4538,6,2,1,2,5,3,0,123,0,0,-28.7786,1,1,-20.4954
DL,45.3876,4538,7,2,1,2,5,3,0,123,0,1,-28.9839,1,1,-20.4954
DL,45.3886,4538,8,2,1,2,5,3,0,123,0,2,-28.8738,1,1,-20.4954
DL,45.3896,4538,9,2,1,2,5,3,0,123,0,3,-29.0081,1,1,-20.4954
DL,45.4153,4541,5,1,1,2,5,3,0,123,0,0,-28.9704,1,1,-20.4954
DL,45.4163,4541,6,1,1,2,5,3,0,123,0,1,-28.9634,1,1,-20.4954
DL,45.4173,4541,7,1,1,2,5,3,0,123,0,2,-29.1368,1,1,-20.4954
DL,45.4183,4541,8,1,1,2,5,3,0,123,0,3,-29.2329,1,1,-20.4954
DL,45.4441,4544,4,0,1,2,5,3,0,123,0,0,-29.5647,1,1,-20.4954
DL,45.4451,4544,5,0,1,2,5,3,0,123,0,1,-29.5382,1,1,-20.4954
DL,45.4461,4544,6,0,1,2,5,3,0,123,0,2,-29.3712,1,1,-20.4954
DL,45.4471,4544,7,0,1,2,5,3,0,123,0,3,-29.5949,1,1,-20.4954
DL,45.4728,4547,2,3,1,2,5,3,0,123,0,0,-29.8574,1,1,-20.4954
DL,45.4738,4547,3,3,1,2,5,3,0,123,0,1,-29.7929,1,1,-20.4954
DL,45.4748,4547,4,3,1,2,5,3,0,123,0,2,-29.8761,1,1,-20.4954
DL,45.4758,4547,5,3,1,2,5,3,0,123,0,3,-30.131,1,1,-20.4954
DL,45.5016,4550,1,2,1,2,5,3,0,123,0,0,-29.5812,1,1,-20.4954
DL,45.5026,4550,2,2,1,2,5,3,0,123,0,1,-29.7387,1,1,-20.4954
DL,45.5036,4550,3,2,1,2,5,3,0,123,0,2,-29.9855,1,1,-20.4954
DL,45.5046,4550,4,2,1,2,5,3,0,123,0,3,-29.8523,1,1,-20.4954
DL,45.5303,4553,0,1,1,2,5,3,0,123,0,0,-30.4476,1,1,-20.4954
DL,45.5313,4553,1,1,1,2,5,3,0,123,0,1,-30.223,1,1,-20.4954
DL,45.5323,4553,2,1,1,2,5,3,0,123,0,2,-30.366,1,1,-20.4954
DL,45.5333,4553,3,1,1,2,5,3,0,123,0,3,-30.2878,1,1,-20.4954
DL,45.5591,4555,9,0,1,2,5,3,0,123,0,0,-29.4507,1,1,-20.4954
DL,45.5601,4556,0,0,1,2,5,3,0,123,0,1,-29.2983,1,1,-20.4954
DL,45.5611,4556,1,0,1,2,5,3,0,123,0,2,-29.2602,1,1,-20.4954
DL,45.5621,4556,2,0,1,2,5,3,0,123,0,3,-29.2811,1,1,-20.4954
DL,45.5878,4558,7,3,1,2,5,3,0,123,0,0,-29.0108,1,1,-20.4954
