Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494125,ConnectionEstablishedEnb,9,6,2,NA
10.7208,HandoverStartEnb,9,6,2,8
10.7222,HandoverEndOkEnb,9,8,7,NA
10.8888,HandoverStartEnb,9,8,7,6
10.8902,HandoverEndOkEnb,9,6,8,NA
19.1368,HandoverStartEnb,9,6,8,8
19.1382,HandoverEndOkEnb,9,8,22,NA
22.3064,HandoverStartEnb,9,8,22,6
22.3078,HandoverEndOkEnb,9,6,10,NA
25.3664,HandoverStartEnb,9,6,10,8
25.3678,HandoverEndOkEnb,9,8,33,NA
25.6854,HandoverStartEnb,9,8,33,6
25.6868,HandoverEndOkEnb,9,6,13,NA
49.0352,HandoverStartEnb,9,6,13,8
49.0366,HandoverEndOkEnb,9,8,71,NA
50.9026,HandoverStartEnb,9,8,71,5
50.904,HandoverEndOkEnb,9,5,26,NA
51.1362,HandoverStartEnb,9,5,26,8
51.1376,HandoverEndOkEnb,9,8,75,NA
57.8592,HandoverStartEnb,9,8,75,6
57.8606,HandoverEndOkEnb,9,6,23,NA
58.3976,HandoverStartEnb,9,6,23,8
58.399,HandoverEndOkEnb,9,8,81,NA
61.368,HandoverStartEnb,9,8,81,6
61.3694,HandoverEndOkEnb,9,6,25,NA
61.539,HandoverStartEnb,9,6,25,2
61.5404,HandoverEndOkEnb,9,2,88,NA
61.8272,HandoverStartEnb,9,2,88,8
61.8286,HandoverEndOkEnb,9,8,86,NA
