DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0442083,44,2,1,1,1,2,1,0,48,0,0,7.89817,0,0,-0.392455
UL,0.0442083,44,2,1,1,1,3,1,0,48,0,0,9.09796,0,0,-0.0672769
UL,0.0442083,44,2,1,1,1,6,1,0,48,0,0,12.833,0,0,0
UL,0.0442083,44,2,1,1,1,11,1,0,48,0,0,20.295,0,0,0
UL,0.0443083,44,3,1,1,1,2,1,0,48,0,0,7.7387,0,0,-0.525434
UL,0.0443083,44,3,1,1,1,3,1,0,48,0,0,9.02117,0,0,-0.0512146
UL,0.0443083,44,3,1,1,1,6,1,0,48,0,0,12.7788,0,0,0
UL,0.0443083,44,3,1,1,1,11,1,0,48,0,0,20.8198,0,0,0
UL,0.0444083,44,4,1,1,1,2,1,0,48,0,0,7.58412,0,0,-0.508089
UL,0.0444083,44,4,1,1,1,3,1,0,48,0,0,8.96272,0,0,-0.0346392
UL,0.0444083,44,4,1,1,1,6,1,0,48,0,0,12.8795,0,0,0
UL,0.0444083,44,4,1,1,1,11,1,0,48,0,0,20.8154,0,0,0
UL,0.0492083,49,2,1,1,1,5,1,0,48,0,0,28.1962,0,0,0
UL,0.0492083,49,2,1,1,1,7,1,0,48,0,0,25.0277,0,0,0
UL,0.0492083,49,2,1,1,1,6,2,0,48,0,0,7.71852,0,0,-0.0534863
UL,0.0492083,49,2,1,1,1,3,2,0,48,0,0,12.3878,0,0,0
UL,0.0492125,49,2,2,2,1,7,2,0,48,0,0,28.521,0,0,0
UL,0.0493083,49,3,1,1,1,5,1,0,48,0,0,28.0765,0,0,0
UL,0.0493083,49,3,1,1,1,7,1,0,48,0,0,25.1025,0,0,0
UL,0.0493083,49,3,1,1,1,6,2,0,48,0,0,7.93933,0,0,-0.0264406
UL,0.0493083,49,3,1,1,1,3,2,0,48,0,0,11.8646,0,0,0
UL,0.0493125,49,3,2,2,1,7,2,0,48,0,0,28.5139,0,0,0
UL,0.0494083,49,4,1,1,1,5,1,0,48,0,0,28.0628,0,0,0
UL,0.0494083,49,4,1,1,1,7,1,0,48,0,0,25.0882,0,0,0
UL,0.0494083,49,4,1,1,1,6,2,0,48,0,0,7.9707,0,0,-0.0262925
UL,0.0494083,49,4,1,1,1,3,2,0,48,0,0,11.9782,0,0,0
UL,0.0494125,49,4,2,2,1,7,2,0,48,0,0,28.7026,0,0,0
UL,0.0542083,54,2,1,1,1,8,1,0,48,0,0,29.9445,0,0,0
UL,0.0543083,54,3,1,1,1,8,1,0,48,0,0,30.1061,0,0,0
UL,0.0544083,54,4,1,1,1,8,1,0,48,0,0,30.1575,0,0,0
UL,0.242208,242,2,1,1,1,5,2,0,48,0,0,34.5681,0,0,0
UL,0.242308,242,3,1,1,1,5,2,0,48,0,0,34.4547,0,0,0
UL,0.242408,242,4,1,1,1,5,2,0,48,0,0,34.3555,0,0,0
UL,0.287808,287,8,1,1,1,11,2,0,48,0,0,28.9582,0,0,0
UL,0.287908,287,9,1,1,1,11,2,0,48,0,0,28.807,0,0,0
UL,0.288008,288,0,1,1,1,11,2,0,48,0,0,28.7724,0,0,0
UL,0.394408,394,4,1,1,1,4,1,0,48,0,0,27.156,0,0,0
UL,0.394508,394,5,1,1,1,4,1,0,48,0,0,27.0727,0,0,0
UL,0.394608,394,6,1,1,1,4,1,0,48,0,0,26.7146,0,0,0
UL,0.573608,573,6,1,1,1,3,3,0,48,0,0,23.3008,0,0,0
UL,0.573708,573,7,1,1,1,3,3,0,48,0,0,23.2342,0,0,0
UL,0.573808,573,8,1,1,1,3,3,0,48,0,0,22.943,0,0,0
UL,0.748208,748,2,1,1,1,6,3,0,48,0,0,24.9699,0,0,0
UL,0.748308,748,3,1,1,1,6,3,0,48,0,0,24.805,0,0,0
UL,0.748408,748,4,1,1,1,6,3,0,48,0,0,24.778,0,0,0
UL,0.766808,766,8,1,1,1,8,2,0,48,0,0,36.3735,0,0,0
UL,0.766908,766,9,1,1,1,8,2,0,48,0,0,36.5983,0,0,0
UL,0.767008,767,0,1,1,1,8,2,0,48,0,0,36.5824,0,0,0
UL,0.900312,900,3,1,1,2,7,2,0,100,0,0,29.5615,0,0,0
UL,0.900412,900,4,1,1,2,7,2,0,100,0,0,29.6831,0,0,0
UL,0.900512,900,5,1,1,2,7,2,0,100,0,0,29.6698,0,0,0
UL,0.924421,924,4,1,1,4,7,2,0,204,0,0,33.3212,0,0,0
UL,0.924521,924,5,1,1,4,7,2,0,204,0,0,33.2493,0,0,0
UL,0.924621,924,6,1,1,4,7,2,0,204,0,0,33.2128,0,0,0
UL,0.948508,948,5,1,1,1,7,2,0,48,0,0,33.0871,0,0,0
UL,1.14851,1148,5,1,1,2,7,2,0,100,0,0,30.337,0,0,0
UL,1.14861,1148,6,1,1,2,7,2,0,100,0,0,30.2513,0,0,0
UL,1.14871,1148,7,1,1,2,7,2,0,100,0,0,30.2335,0,0,0
UL,1.17261,1172,6,1,1,1,7,2,0,48,0,0,30.0833,0,0,0
UL,1.19581,1195,8,1,1,1,5,3,0,48,0,0,35.0956,0,0,0
UL,1.19591,1195,9,1,1,1,5,3,0,48,0,0,35.111,0,0,0
UL,1.19601,1196,0,1,1,1,5,3,0,48,0,0,34.9543,0,0,0
UL,1.27441,1274,4,1,1,1,9,1,0,48,0,0,-2.59497,0,0,-5.05777
UL,1.27451,1274,5,1,1,1,9,1,0,48,0,0,-2.74027,0,0,-5.17419
UL,1.27461,1274,6,1,1,1,9,1,0,48,0,0,-2.71072,0,0,-5.15217
UL,1.37261,1372,6,1,1,2,7,2,0,100,0,0,32.2227,0,0,0
UL,1.37271,1372,7,1,1,2,7,2,0,100,0,0,32.3481,0,0,0
UL,1.37281,1372,8,1,1,2,7,2,0,100,0,0,32.1442,0,0,0
UL,1.39672,1396,7,1,1,4,7,2,0,204,0,0,34.0333,0,0,0
UL,1.39682,1396,8,1,1,4,7,2,0,204,0,0,33.7971,0,0,0
UL,1.39692,1396,9,1,1,4,7,2,0,204,0,0,33.667,0,0,0
UL,1.42084,1420,8,1,1,8,7,2,0,411,0,0,31.5044,0,0,0
UL,1.42094,1420,9,1,1,8,7,2,0,411,0,0,31.5963,0,0,0
UL,1.42104,1421,0,1,1,8,7,2,0,411,0,0,31.6497,0,0,0
UL,1.44491,1444,9,1,1,1,7,2,0,48,0,0,33.9269,0,0,0
UL,1.64491,1644,9,1,1,2,7,2,0,100,0,0,31.26,0,0,0
UL,1.64501,1645,0,1,1,2,7,2,0,100,0,0,31.2072,0,0,0
UL,1.64511,1645,1,1,1,2,7,2,0,100,0,0,31.0167,0,0,0
UL,1.66901,1669,0,1,1,1,7,2,0,48,0,0,30.6888,0,0,0
UL,1.86901,1869,0,1,1,2,7,2,0,100,0,0,28.9222,0,0,0
UL,1.86911,1869,1,1,1,2,7,2,0,100,0,0,28.7579,0,0,0
UL,1.86921,1869,2,1,1,2,7,2,0,100,0,0,28.7433,0,0,0
UL,1.88061,1880,6,1,1,1,8,3,0,48,0,0,-1.0296,0,0,-4.35859
UL,1.88071,1880,7,1,1,1,8,3,0,48,0,0,-0.220962,0,0,-4.06434
UL,1.88081,1880,8,1,1,1,8,3,0,48,0,0,-0.828852,0,0,-4.10106
UL,1.89311,1893,1,1,1,1,7,2,0,48,0,0,27.9643,0,0,0
UL,1.89321,1893,2,1,1,2,7,2,0,100,0,0,27.9729,0,0,0
UL,1.89331,1893,3,1,1,2,7,2,0,100,0,0,27.8255,0,0,0
UL,1.89341,1893,4,1,1,1,7,2,0,1776,28,0,27.9489,0,0,0
UL,1.91351,1913,5,1,1,1,7,2,0,48,0,0,28.3883,0,0,0
UL,1.91361,1913,6,1,1,1,7,2,0,48,0,0,28.4094,0,0,0
UL,1.91371,1913,7,1,1,1,7,2,0,48,0,0,28.5971,0,0,0
UL,1.91731,1917,3,1,1,1,7,2,0,1776,28,0,28.7808,0,0,0
UL,1.91741,1917,4,1,1,1,7,2,0,1776,28,0,28.7908,0,0,0
UL,1.91751,1917,5,1,1,1,7,2,0,1776,28,0,28.659,0,0,0
UL,1.93761,1937,6,1,1,2,7,2,0,100,0,0,29.3606,0,0,0
UL,1.93771,1937,7,1,1,2,7,2,0,100,0,0,29.3657,0,0,0
UL,1.93781,1937,8,1,1,2,7,2,0,100,0,0,29.4282,0,0,0
UL,1.94141,1941,4,1,1,1,7,2,0,1776,28,0,29.0435,0,0,0
UL,1.94151,1941,5,1,1,1,7,2,0,1776,28,0,29.1979,0,0,0
UL,1.94161,1941,6,1,1,1,7,2,0,1776,28,0,28.95,0,0,0
UL,1.96172,1961,7,1,1,3,7,2,0,152,0,0,30.2954,0,0,0
UL,1.96182,1961,8,1,1,3,7,2,0,152,0,0,30.3815,0,0,0
UL,1.96192,1961,9,1,1,3,7,2,0,152,0,0,30.2643,0,0,0
UL,1.96551,1965,5,1,1,1,7,2,0,1776,28,0,30.6876,0,0,0
UL,1.96561,1965,6,1,1,1,7,2,0,1776,28,0,30.6596,0,0,0
UL,1.96571,1965,7,1,1,1,7,2,0,1776,28,0,30.6009,0,0,0
UL,1.98582,1985,8,1,1,4,7,2,0,204,0,0,32.5716,0,0,0
UL,1.98592,1985,9,1,1,4,7,2,0,204,0,0,32.5237,0,0,0
UL,1.98602,1986,0,1,1,4,7,2,0,204,0,0,32.5339,0,0,0
UL,1.98961,1989,6,1,1,1,7,2,0,1776,28,0,31.4629,0,0,0
UL,1.98971,1989,7,1,1,1,7,2,0,1776,28,0,31.6056,0,0,0
UL,1.98981,1989,8,1,1,1,7,2,0,1776,28,0,31.4449,0,0,0
UL,2.00992,2009,9,1,1,5,7,2,0,256,0,0,31.6198,0,0,0
UL,2.01002,2010,0,1,1,5,7,2,0,256,0,0,31.6944,0,0,0
UL,2.01012,2010,1,1,1,5,7,2,0,256,0,0,31.6498,0,0,0
UL,2.01371,2013,7,1,1,1,7,2,0,1776,28,0,31.9777,0,0,0
UL,2.01381,2013,8,1,1,1,7,2,0,1776,28,0,32.0453,0,0,0
UL,2.01391,2013,9,1,1,1,7,2,0,1776,28,0,31.8604,0,0,0
UL,2.03404,2034,0,1,1,8,7,2,0,411,0,0,30.2935,0,0,0
UL,2.03414,2034,1,1,1,8,7,2,0,411,0,0,30.2359,0,0,0
UL,2.03424,2034,2,1,1,8,7,2,0,411,0,0,30.1621,0,0,0
UL,2.03781,2037,8,1,1,1,7,2,0,1776,28,0,29.873,0,0,0
UL,2.03791,2037,9,1,1,1,7,2,0,1776,28,0,29.8627,0,0,0
UL,2.03801,2038,0,1,1,1,7,2,0,1776,28,0,29.8602,0,0,0
UL,2.05815,2058,1,1,1,11,7,2,0,567,0,0,30.404,0,0,0
UL,2.05825,2058,2,1,1,11,7,2,0,567,0,0,30.4022,0,0,0
UL,2.05835,2058,3,1,1,11,7,2,0,567,0,0,30.103,0,0,0
UL,2.06191,2061,9,1,1,1,7,2,0,1776,28,0,29.1038,0,0,0
