#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,22,52.4703,18.3239,536.12,425.085,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.209
1,0.91,0,44800,22,-33.5326,-39.2749,536.195,424.967,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.13
2,0.92,0,0,22,-33.5326,-39.2749,535.86,424.575,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.451
3,0.93,44800,118400,22,50.4976,-24.1906,536.017,424.27,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.284
4,0.94,0,0,22,50.4976,-24.1906,536.522,424.029,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.772
5,0.95,189600,0,22,-40.3521,55.6809,536.3,424.426,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.007
6,0.96,0,0,22,56.1521,17.0031,536.23,424.849,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.09
7,0.97,0,0,22,56.1521,17.0031,536.792,425.019,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.536
8,0.98,0,0,22,38.6379,62.1741,537.241,425.479,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.105
9,0.99,0,0,22,-78.4319,14.2781,537.305,425.969,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.062
10,1,0,0,22,-82.3592,-32.1536,536.519,426.101,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.851
11,1.01,0,0,22,-82.3592,-32.1536,535.696,425.78,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.659
12,1.02,0,0,22,90.4605,-2.24776,536.411,425.725,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.943
13,1.03,0,0,22,18.2389,-63.435,536.748,425.222,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.587
14,1.04,0,0,22,-86.3949,-24.3149,536.648,424.693,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,165.668
15,1.05,0,0,22,-23.0038,-83.1129,535.883,424.358,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,166.421
