DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486125,48,6,2,2,1,8,2,0,48,0,0,28.5139,0,0,0
DL,0.0497125,49,7,2,2,1,8,2,0,1776,28,0,28.6214,0,0,0
DL,0.900808,900,8,1,1,1,8,2,0,48,0,0,31.1105,0,0,0
DL,0.923812,923,8,1,1,2,8,2,0,100,0,0,29.6367,0,0,0
DL,0.924908,924,9,1,1,1,8,2,0,1776,28,0,29.7908,0,0,0
DL,0.947929,947,9,1,1,6,8,2,0,308,0,0,32.1733,0,0,0
DL,1.14901,1149,0,1,1,1,8,2,0,48,0,0,23.303,0,0,0
DL,1.17205,1172,0,1,1,12,8,2,0,619,0,0,23.9206,0,0,0
DL,1.37311,1373,1,1,1,1,8,2,0,48,0,0,17.9783,0,0,0
DL,1.39617,1396,1,1,1,17,8,2,0,872,0,0,22.3708,0,0,0
DL,1.39721,1397,2,1,1,1,8,2,0,1776,28,0,22.1322,0,0,-0.0269018
DL,1.42021,1420,2,1,1,2,8,2,0,100,0,0,22.9823,0,0,0
DL,1.42131,1421,3,1,1,1,8,2,0,1776,28,0,22.8815,0,0,-0.00877249
DL,1.44433,1444,3,1,1,6,8,2,0,308,0,0,20.7471,0,0,0
DL,1.59231,1592,3,1,1,2,8,2,0,100,0,0,20.5759,0,0,0
DL,1.59371,1593,7,1,1,1,9,1,0,48,0,0,11.1096,0,0,-0.236289
DL,1.64541,1645,4,1,1,1,9,1,0,48,0,0,2.54535,0,0,-1.99626
DL,1.66845,1668,4,1,1,12,9,1,0,619,0,0,3.8876,0,0,-1.4442
DL,1.86951,1869,5,1,1,1,9,1,0,48,0,0,2.78576,0,0,-1.88526
DL,1.8926,1892,5,1,1,22,9,1,0,1131,0,0,-1.69096,0,0,-4.67859
DL,1.89261,1892,6,1,1,2,9,1,0,100,0,0,-1.93765,0,0,-4.82913
DL,1.89361,1893,6,1,1,1,9,1,0,120,4,0,-2.17181,0,0.00590999,-5.04718
DL,1.91401,1914,0,1,1,1,9,1,0,48,0,0,2.4786,0,0,-2.04864
DL,1.91673,1916,7,1,1,7,9,1,0,1983,8,0,1.92645,0,1.60702e-10,-2.34283
DL,1.93811,1938,1,1,1,1,9,1,0,48,0,0,2.87541,0,0,-1.91742
DL,1.94083,1940,8,1,1,7,9,1,0,1983,8,0,3.56424,0,0,-1.53213
DL,1.96221,1962,2,1,1,1,9,1,0,48,0,0,2.07211,0,0,-2.3158
DL,1.96498,1964,9,1,1,19,9,1,0,3675,6,0,0.205766,0,0,-3.42359
DL,1.98631,1986,3,1,1,2,9,1,0,100,0,0,-0.240604,0,0,-3.69782
DL,1.98771,1987,7,1,1,1,11,3,0,48,0,0,30.0875,0,0,0
DL,1.98932,1989,3,1,1,3,11,3,0,5341,28,0,29.8735,0,0,0
DL,1.98941,1989,4,1,1,1,11,3,0,1776,28,0,30.0707,0,0,0
DL,1.99041,1990,4,1,1,1,11,3,0,1776,28,0,28.8162,0,0,0
DL,2.0135,2013,4,1,1,22,11,3,0,1131,0,0,19.1112,0,0,0
DL,2.0136,2013,5,1,1,22,11,3,0,1131,0,0,19.2132,0,0,0
DL,2.0137,2013,6,1,1,22,11,3,0,1131,0,0,18.8812,0,0,0
DL,2.01372,2013,7,1,1,3,11,3,0,4933,26,0,18.7925,0,7.01146e-08,-0.369394
DL,2.01451,2014,5,1,1,1,11,3,0,1640,26,0,18.7788,0,4.06358e-08,-0.371527
DL,2.02461,2024,6,1,1,1,11,3,0,1640,26,0,18.8768,0,4.55198e-09,-0.356482
DL,2.0376,2037,5,1,1,22,11,3,0,1131,0,0,19.5585,0,0,0
DL,2.0377,2037,6,1,1,22,11,3,0,1131,0,0,19.5608,0,0,0
DL,2.0378,2037,7,1,1,22,11,3,0,1131,0,0,19.4538,0,0,0
DL,2.03782,2037,8,1,1,5,11,3,0,8226,26,0,19.3639,0,1.22125e-13,-0.287797
DL,2.03791,2037,9,1,1,1,11,3,0,1640,26,0,19.4157,0,8.99281e-15,-0.281133
DL,2.03861,2038,6,1,1,1,11,3,0,1640,26,0,19.0722,0,4.70224e-11,-0.327775
DL,2.04871,2048,7,1,1,1,11,3,0,1640,26,0,16.2193,1,1,-0.897782
DL,2.04921,2049,2,1,1,1,11,3,0,1640,26,1,15.7738,0,0,-0.955172
DL,2.0617,2061,6,1,1,22,11,3,0,1131,0,0,13.1824,0,0,0
DL,2.0618,2061,7,1,1,22,11,3,0,1131,0,0,13.2567,0,0,0
DL,2.0619,2061,8,1,1,22,11,3,0,1131,0,0,13.2566,0,0,0
DL,2.06195,2061,9,1,1,12,11,3,0,12776,20,0,13.3545,0,0,-1.72691
DL,2.06201,2062,0,1,1,1,11,3,0,1060,20,0,13.2745,0,8.88178e-16,-1.75319
DL,2.06271,2062,7,1,1,1,11,3,0,1060,20,0,13.1654,0,1.62315e-13,-1.78846
DL,2.07281,2072,8,1,1,1,11,3,0,1060,20,0,12.3246,0,0.0148762,-2.0592
DL,2.0858,2085,7,1,1,22,11,3,0,1131,0,0,13.5685,0,0,0
DL,2.0859,2085,8,1,1,22,11,3,0,1131,0,0,13.5669,0,0,0
DL,2.086,2085,9,1,1,22,11,3,0,1131,0,0,13.7637,0,0,0
DL,2.08604,2086,0,1,1,9,11,3,0,9580,20,0,13.9978,0,0,-1.52776
DL,2.08611,2086,1,1,1,1,11,3,0,1060,20,0,13.9991,0,0,-1.52635
DL,2.08635,2086,3,1,1,12,11,3,0,12776,20,0,14.1195,0,0,-1.48978
DL,2.08641,2086,4,1,1,1,11,3,0,1060,20,0,14.1788,0,0,-1.47106
DL,2.08681,2086,8,1,1,1,11,3,0,1060,20,0,13.9455,0,0,-1.54341
DL,2.09131,2091,3,1,1,1,11,3,0,1060,20,0,14.3786,0,0,-1.41081
DL,2.0919,2091,8,1,1,22,8,6,0,1131,0,0,37.523,0,0,0
DL,2.09195,2091,9,1,1,11,8,6,0,567,0,0,37.6423,0,0,0
DL,2.09205,2092,0,1,1,11,8,6,0,567,0,0,37.6904,0,0,0
DL,2.09215,2092,1,1,1,11,8,6,0,19592,28,0,37.5768,0,0,0
DL,2.09221,2092,2,1,1,2,8,6,0,3558,28,0,37.4739,0,0,0
DL,2.09241,2092,4,1,1,1,8,6,0,1776,28,0,37.2016,0,0,0
DL,2.10251,2102,5,1,1,1,8,6,0,1776,28,0,39.4216,0,0,0
DL,2.10991,2109,9,1,1,2,8,6,0,3558,28,0,36.7629,0,0,0
DL,2.11001,2110,0,1,1,2,8,6,0,3558,28,0,36.5834,0,0,0
DL,2.11013,2110,1,1,1,6,8,6,0,10685,28,0,36.8317,0,0,0
DL,2.11021,2110,2,1,1,1,8,6,0,1776,28,0,36.7296,0,0,0
DL,2.11035,2110,3,1,1,11,8,6,0,19592,28,0,36.6585,0,0,0
DL,2.11041,2110,4,1,1,1,8,6,0,1776,28,0,36.4961,0,0,0
DL,2.11261,2112,6,1,1,1,8,6,0,1776,28,0,35.1277,0,0,0
DL,2.1341,2134,0,1,1,22,8,6,0,1131,0,0,36.1501,0,0,0
DL,2.1342,2134,1,1,1,22,8,6,0,1131,0,0,36.0453,0,0,0
DL,2.1343,2134,2,1,1,22,8,6,0,1131,0,0,36.196,0,0,0
DL,2.1344,2134,3,1,1,22,8,6,0,39187,28,0,36.2138,0,0,0
DL,2.13443,2134,4,1,1,7,8,6,0,12465,28,0,36.2186,0,0,0
DL,2.13451,2134,5,1,1,1,8,6,0,1776,28,0,36.4489,0,0,0
DL,2.13511,2135,1,1,1,1,8,6,0,1776,28,0,36.4723,0,0,0
DL,2.14521,2145,2,1,1,1,8,6,0,1776,28,0,35.5131,0,0,0
DL,2.1582,2158,1,1,1,22,8,6,0,1131,0,0,34.6634,0,0,0
DL,2.1583,2158,2,1,1,22,8,6,0,1131,0,0,34.6386,0,0,0
DL,2.1584,2158,3,1,1,22,8,6,0,1131,0,0,34.6011,0,0,0
DL,2.1585,2158,4,1,1,22,8,6,0,39187,28,0,34.4177,0,0,0
DL,2.1586,2158,5,1,1,22,8,6,0,39187,28,0,34.3037,0,0,0
DL,2.15861,2158,6,1,1,1,8,6,0,1776,28,0,34.3969,0,0,0
DL,2.15921,2159,2,1,1,1,8,6,0,1776,28,0,34.8297,0,0,0
DL,2.16931,2169,3,1,1,1,8,6,0,1776,28,0,34.3218,0,0,0
DL,2.1824,2182,3,1,1,22,8,6,0,1131,0,0,31.1217,0,0,0
DL,2.1825,2182,4,1,1,22,8,6,0,1131,0,0,30.9467,0,0,0
DL,2.1826,2182,5,1,1,22,8,6,0,1131,0,0,30.8886,0,0,0
DL,2.1827,2182,6,1,1,22,8,6,0,39187,28,0,30.6155,0,0,0
DL,2.1828,2182,7,1,1,22,8,6,0,39187,28,0,30.5625,0,0,0
DL,2.1829,2182,8,1,1,22,8,6,0,39187,28,0,30.7102,0,0,0
DL,2.18291,2182,9,1,1,2,8,6,0,3558,28,0,31.0384,0,0,0
DL,2.18341,2183,4,1,1,1,8,6,0,1776,28,0,31.1165,0,0,0
DL,2.19351,2193,5,1,1,1,8,6,0,1776,28,0,34.0373,0,0,0
DL,2.2065,2206,4,1,1,22,8,6,0,1131,0,0,34.2144,0,0,0
DL,2.2066,2206,5,1,1,22,8,6,0,1131,0,0,34.2605,0,0,0
DL,2.2067,2206,6,1,1,22,8,6,0,1131,0,0,34.6117,0,0,0
DL,2.2068,2206,7,1,1,22,8,6,0,39187,28,0,34.4109,0,0,0
DL,2.2069,2206,8,1,1,22,8,6,0,39187,28,0,34.1441,0,0,0
DL,2.207,2206,9,1,1,22,8,6,0,39187,28,0,34.1966,0,0,0
DL,2.20706,2207,0,1,1,13,8,6,0,23154,28,0,34.0732,0,0,0
