Time,Event,IMSI,CellId,RNTI,TargetCellId
0.033,ConnectionEstablishedUe,9,1,10,NA
0.0449286,ConnectionEstablishedEnb,9,1,10,NA
0.0660036,ConnectionEstablishedEnb,9,8,2,NA
0.48,HandoverStartEnb,9,8,2,10
0.482986,HandoverEndOkEnb,9,10,2,NA
1.7328,HandoverStartEnb,9,10,2,8
1.73574,HandoverEndOkEnb,9,8,3,NA
3.5024,HandoverStartEnb,9,8,3,10
3.50524,HandoverEndOkEnb,9,10,3,NA
5.7616,HandoverStartEnb,9,10,3,8
5.76449,HandoverEndOkEnb,9,8,5,NA
6.216,HandoverStartEnb,9,8,5,10
6.21843,HandoverEndOkEnb,9,10,4,NA
7.6976,HandoverStartEnb,9,10,4,8
7.70049,HandoverEndOkEnb,9,8,6,NA
8.3984,HandoverStartEnb,9,8,6,10
8.40124,HandoverEndOkEnb,9,10,5,NA
10.3024,HandoverStartEnb,9,10,5,8
10.3052,HandoverEndOkEnb,9,8,7,NA
10.9952,HandoverStartEnb,9,8,7,10
10.998,HandoverEndOkEnb,9,10,6,NA
15.4464,HandoverStartEnb,9,10,6,8
15.4492,HandoverEndOkEnb,9,8,10,NA
17.64,HandoverStartEnb,9,8,10,10
17.643,HandoverEndOkEnb,9,10,9,NA
18.1296,HandoverStartEnb,9,10,9,8
18.1325,HandoverEndOkEnb,9,8,12,NA
23.848,HandoverStartEnb,9,8,12,10
23.851,HandoverEndOkEnb,9,10,10,NA
25.4192,HandoverStartEnb,9,10,10,8
25.422,HandoverEndOkEnb,9,8,15,NA
25.5808,HandoverStartEnb,9,8,15,10
25.5837,HandoverEndOkEnb,9,10,11,NA
34.8016,HandoverStartEnb,9,10,11,8
34.8045,HandoverEndOkEnb,9,8,18,NA
35.6896,HandoverStartEnb,9,8,18,10
35.6925,HandoverEndOkEnb,9,10,13,NA
38.3728,HandoverStartEnb,9,10,13,8
38.3757,HandoverEndOkEnb,9,8,19,NA
38.5664,HandoverStartEnb,9,8,19,10
38.5692,HandoverEndOkEnb,9,10,14,NA
41.5776,HandoverStartEnb,9,10,14,8
41.5805,HandoverEndOkEnb,9,8,21,NA
45.5376,HandoverStartEnb,9,8,21,10
45.5405,HandoverEndOkEnb,9,10,15,NA
45.88,HandoverStartEnb,9,10,15,8
45.883,HandoverEndOkEnb,9,8,23,NA
46.32,HandoverStartEnb,9,8,23,10
46.323,HandoverEndOkEnb,9,10,16,NA
49.6944,HandoverStartEnb,9,10,16,8
49.6972,HandoverEndOkEnb,9,8,25,NA
53.128,HandoverStartEnb,9,8,25,10
53.131,HandoverEndOkEnb,9,10,21,NA
53.3968,HandoverStartEnb,9,10,21,8
53.3997,HandoverEndOkEnb,9,8,28,NA
58.112,HandoverStartEnb,9,8,28,10
58.115,HandoverEndOkEnb,9,10,22,NA
