DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,3,1,0,60,0,0,14.1532,0,0,0
UL,0.0455357,4,5,2,1,1,2,1,0,60,0,0,4.36599,0,0,-0.8049
UL,0.0457857,4,5,3,1,1,3,1,0,60,0,0,14.0819,0,0,0
UL,0.0457857,4,5,3,1,1,2,1,0,60,0,0,4.42888,0,0,-0.76742
UL,0.0460357,4,6,0,1,1,3,1,0,60,0,0,14.1243,0,0,0
UL,0.0460357,4,6,0,1,1,2,1,0,60,0,0,4.47225,0,0,-0.741627
UL,0.0655357,6,5,2,1,1,4,1,0,60,0,0,14.7231,0,0,0
UL,0.0655357,6,5,2,1,1,3,2,0,60,0,0,4.65148,0,0,-1.57587
UL,0.0655357,6,5,2,1,1,6,1,0,60,0,0,34.1814,0,0,0
UL,0.0655357,6,5,2,1,1,5,1,0,60,0,0,5.3594,0,0,0
UL,0.0657857,6,5,3,1,1,4,1,0,60,0,0,14.7827,0,0,0
UL,0.0657857,6,5,3,1,1,3,2,0,60,0,0,4.57277,0,0,-1.61164
UL,0.0657857,6,5,3,1,1,6,1,0,60,0,0,34.1557,0,0,0
UL,0.0657857,6,5,3,1,1,5,1,0,60,0,0,5.41551,0,0,0
UL,0.0660357,6,6,0,1,1,4,1,0,60,0,0,14.7632,0,0,0
UL,0.0660357,6,6,0,1,1,3,2,0,60,0,0,4.50779,0,0,-1.64864
UL,0.0660357,6,6,0,1,1,6,1,0,60,0,0,34.1943,0,0,0
UL,0.0660357,6,6,0,1,1,5,1,0,60,0,0,5.35254,0,0,0
UL,0.205536,20,5,2,1,1,7,1,0,60,0,0,-2.72594,0,0,-5.15156
UL,0.205786,20,5,3,1,1,7,1,0,60,0,0,-2.74031,0,0,-5.16159
UL,0.206036,20,6,0,1,1,7,1,0,60,0,0,-2.67844,0,0,-5.11474
UL,0.900804,90,0,3,1,2,7,1,0,123,0,0,-2.20418,0,0,-4.74396
UL,0.901054,90,1,0,1,2,7,1,0,123,0,0,-2.08904,0,0,-4.65739
UL,0.901304,90,1,1,1,2,7,1,0,123,0,0,-2.12822,0,0,-4.68584
UL,0.925804,92,5,3,1,2,7,1,0,296,4,0,-2.3948,0,2.70385e-07,-4.89139
UL,0.926054,92,6,0,1,2,7,1,0,296,4,0,-2.44528,0,9.58762e-07,-4.93198
UL,0.926304,92,6,1,1,2,7,1,0,296,4,0,-2.37394,0,1.63712e-07,-4.87591
UL,0.951036,95,1,0,1,1,7,1,0,146,4,0,-2.36772,0,1.39628e-07,-4.87106
UL,1.15105,115,1,0,1,2,7,1,0,123,0,0,-2.44562,0,0,-4.93211
UL,1.1513,115,1,1,1,2,7,1,0,123,0,0,-2.42449,0,0,-4.91524
UL,1.15155,115,1,2,1,2,7,1,0,123,0,0,-2.43173,0,0,-4.92149
UL,1.17629,117,6,1,1,1,7,1,0,146,4,0,-2.40744,0,3.74483e-07,-4.90161
UL,1.3763,137,6,1,1,2,7,1,0,123,0,0,-4.67842,0,0,-6.75925
UL,1.37655,137,6,2,1,2,7,1,0,123,0,0,-4.68183,0,0,-6.76228
UL,1.3768,137,6,3,1,2,7,1,0,123,0,0,-4.60478,0,0,-6.69654
UL,1.40157,140,1,2,1,3,7,1,0,257,2,0,-4.30401,0,3.33067e-16,-6.44292
UL,1.40182,140,1,3,1,3,7,1,0,257,2,0,-4.28001,0,1.11022e-16,-6.42173
UL,1.40207,140,2,0,1,3,7,1,0,257,2,0,-4.38529,0,1.21014e-14,-6.51144
UL,1.42661,142,6,2,1,5,7,1,0,430,2,0,-4.16485,0,0,-6.32486
UL,1.42686,142,6,3,1,5,7,1,0,430,2,0,-4.13047,0,0,-6.2974
UL,1.42711,142,7,0,1,5,7,1,0,430,2,0,-4.18406,0,0,-6.34118
UL,1.45179,145,1,3,1,1,7,1,0,115,3,0,-4.48243,0,0.490491,-6.59291
UL,1.6518,165,1,3,1,2,7,1,0,123,0,0,-3.66957,0,0,-5.9141
UL,1.65205,165,2,0,1,2,7,1,0,123,0,0,-3.68317,0,0,-5.92509
UL,1.6523,165,2,1,1,2,7,1,0,123,0,0,-3.72151,0,0,-5.95631
UL,1.67704,167,7,0,1,1,7,1,0,115,3,0,-4.21396,0,0.194887,-6.36688
UL,1.87705,187,7,0,1,2,7,1,0,123,0,0,-2.34656,0,0,-4.85466
UL,1.8773,187,7,1,1,2,7,1,0,123,0,0,-2.35142,0,0,-4.8579
UL,1.87755,187,7,2,1,2,7,1,0,123,0,0,-2.40446,0,0,-4.89957
UL,1.90229,190,2,1,1,1,7,1,0,146,4,0,-1.44184,0,0,-4.17084
UL,1.90254,190,2,2,1,1,7,1,0,146,4,0,-1.48367,0,0,-4.20211
UL,1.90279,190,2,3,1,1,7,1,0,146,4,0,-1.53798,0,0,-4.24116
UL,1.92729,192,7,1,1,1,7,1,0,186,5,0,-2.06477,0,0.0393419,-4.63738
UL,1.92754,192,7,2,1,1,7,1,0,186,5,0,-2.21106,0,0.132928,-4.75144
UL,1.92779,192,7,3,1,1,7,1,0,186,5,0,-2.09893,0,0.0539269,-4.66369
UL,1.95229,195,2,1,1,1,7,1,0,186,5,0,-1.8486,0,0.00333327,-4.47405
UL,1.95254,195,2,2,1,1,7,1,0,186,5,0,-1.84261,0,0.00307363,-4.46955
UL,1.95279,195,2,3,1,1,7,1,0,186,5,0,-1.78523,0,0.00132383,-4.42515
UL,1.97729,197,7,1,1,1,7,1,0,186,5,0,-2.15318,1,0.085271,-4.70554
UL,1.97755,197,7,2,1,2,7,1,0,375,5,0,-2.16622,0,0.00784833,-4.71489
UL,1.9778,197,7,3,1,2,7,1,0,375,5,0,-2.15999,0,0.00716994,-4.71106
UL,1.97804,197,8,0,1,1,7,1,0,186,5,1,-2.12708,0,0,-4.69526
UL,2.00304,200,3,0,1,1,7,1,0,186,5,0,-1.3429,0,2.18036e-07,-4.098
UL,2.0033,200,3,1,1,2,7,1,0,375,5,0,-1.32156,0,1.11022e-16,-4.08314
UL,2.00361,200,3,2,1,5,7,1,0,312,0,0,-1.34476,0,0,-4.09921
UL,2.0038,200,3,3,2,1,7,1,0,186,5,0,-1.275,0,3.80309e-08,-4.04843
UL,2.02404,202,4,0,1,1,7,1,0,186,5,0,-0.468023,0,0,-3.47783
UL,2.02429,202,4,1,1,1,7,1,0,186,5,0,-0.467759,0,0,-3.47666
UL,2.02454,202,4,2,1,1,7,1,0,186,5,0,-0.421415,0,0,-3.44623
UL,2.02804,202,8,0,1,1,7,1,0,233,6,0,-0.295027,0,1.00898e-07,-3.35807
UL,2.0283,202,8,1,1,2,7,1,0,469,6,0,-0.305405,0,0,-3.36653
UL,2.02855,202,8,2,1,2,7,1,0,469,6,0,-0.231013,0,0,-3.31442
UL,2.02879,202,8,3,1,1,7,1,0,233,6,0,-0.172454,0,5.04827e-09,-3.27732
UL,2.04905,204,9,0,1,2,7,1,0,469,6,0,-0.226905,0,0,-3.31263
UL,2.0493,204,9,1,1,2,7,1,0,469,6,0,-0.212763,0,0,-3.30362
UL,2.04955,204,9,2,1,2,7,1,0,469,6,0,-0.184339,0,0,-3.28378
UL,2.04979,204,9,3,1,1,7,1,0,288,7,0,-0.12376,0,0.109596,-3.2434
UL,2.05304,205,3,0,1,1,7,1,0,233,6,0,0.387434,0,5.55112e-17,-2.90931
UL,2.0533,205,3,1,1,2,7,1,0,469,6,0,0.399247,0,0,-2.90194
UL,2.05355,205,3,2,1,2,7,1,0,469,6,0,0.426476,0,0,-2.88369
UL,2.0538,205,3,3,1,2,7,1,0,580,7,0,0.439191,0,0,-2.87624
UL,2.07379,207,3,3,1,1,7,1,0,288,7,0,0.385154,0,0.00040743,-2.91079
