#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw
0,1.4,0,0,16,17.01,15.2737,536.081,423.671,0,30309,9,9,CONNECTED_NORMALLY,5,4
1,1.41,0,44800,16,17.01,15.2737,536.251,423.823,0,30309,9,9,CONNECTED_NORMALLY,5,4
2,1.42,0,0,16,17.01,15.2737,536.421,423.976,0,30309,9,9,CONNECTED_NORMALLY,5,4
3,1.43,44800,118400,16,17.01,15.2737,536.591,424.129,0,30309,9,9,CONNECTED_NORMALLY,5,4
4,1.44,0,0,16,-0.990782,-23.0414,536.668,424.084,0,30309,9,9,CONNECTED_NORMALLY,5,4
5,1.45,115200,0,16,-0.990782,-23.0414,536.658,423.854,0,30309,9,9,CONNECTED_NORMALLY,5,4
6,1.46,0,0,16,-0.990782,-23.0414,536.648,423.623,0,30309,9,9,CONNECTED_NORMALLY,5,4
7,1.47,0,0,16,-0.990782,-23.0414,536.638,423.393,0,30309,9,9,CONNECTED_NORMALLY,5,4
8,1.48,0,0,16,23.4426,-27.0484,536.672,423.155,0,30309,9,9,CONNECTED_NORMALLY,5,4
9,1.49,0,0,16,23.4426,-27.0484,536.907,422.885,0,30309,9,9,CONNECTED_NORMALLY,5,4
10,1.5,0,0,16,23.4426,-27.0484,537.141,422.614,0,30309,9,9,CONNECTED_NORMALLY,5,4
11,1.51,0,0,16,-26.0235,4.61547,537.185,422.466,0,30309,9,9,CONNECTED_NORMALLY,5,4
12,1.52,0,0,16,-26.0235,4.61547,536.924,422.512,0,30309,9,9,CONNECTED_NORMALLY,5,4
13,1.53,0,0,16,-26.0235,4.61547,536.664,422.558,0,30309,9,9,CONNECTED_NORMALLY,5,4
14,1.54,0,0,16,-26.0235,4.61547,536.404,422.604,0,30309,9,9,CONNECTED_NORMALLY,5,4
15,1.55,0,0,16,-27.3272,25.0869,536.136,422.774,0,30309,9,9,CONNECTED_NORMALLY,5,4
16,1.56,0,0,16,-27.3272,25.0869,535.863,423.025,0,30309,9,9,CONNECTED_NORMALLY,5,4
17,1.57,0,0,16,-27.3272,25.0869,535.589,423.276,0,30309,9,9,CONNECTED_NORMALLY,5,4
18,1.58,0,0,16,31.1222,-10.5813,535.846,423.203,0,30309,9,9,CONNECTED_NORMALLY,5,4
19,1.59,0,0,16,31.1222,-10.5813,536.157,423.097,0,30309,9,9,CONNECTED_NORMALLY,5,4
20,1.6,0,0,16,31.1222,-10.5813,536.469,422.991,0,30309,9,9,CONNECTED_NORMALLY,5,4
21,1.61,0,0,16,-48.6758,2.59044,536.09,422.999,0,30309,9,9,CONNECTED_NORMALLY,5,4
22,1.62,0,0,16,-48.6758,2.59044,535.603,423.025,0,30309,9,9,CONNECTED_NORMALLY,5,4
23,1.63,0,0,16,-21.778,-15.9709,535.335,422.9,0,30309,9,9,CONNECTED_NORMALLY,5,4
24,1.64,0,0,16,-21.778,-15.9709,535.117,422.741,0,30309,9,9,CONNECTED_NORMALLY,5,4
25,1.65,0,41600,16,-21.778,-15.9709,534.899,422.581,0,30309,9,9,CONNECTED_NORMALLY,5,4
26,1.66,0,0,16,-8.87125,19.0816,534.696,422.46,0,30309,9,9,CONNECTED_NORMALLY,5,4
27,1.67,0,0,16,-8.87125,19.0816,534.607,422.651,0,30309,9,9,CONNECTED_NORMALLY,5,4
28,1.68,470400,0,16,-8.87125,19.0816,534.518,422.841,0,30309,9,9,CONNECTED_NORMALLY,5,4
29,1.69,0,0,16,-8.87125,19.0816,534.43,423.032,0,30309,9,9,CONNECTED_NORMALLY,5,4
30,1.7,0,0,16,-8.87125,19.0816,534.341,423.223,0,30309,9,9,CONNECTED_NORMALLY,5,4
31,1.71,0,0,16,0.624755,-41.3681,534.286,423.197,0,30309,9,9,CONNECTED_NORMALLY,5,4
32,1.72,0,0,16,0.624755,-41.3681,534.293,422.784,0,30309,9,9,CONNECTED_NORMALLY,5,4
33,1.73,0,0,16,0.624755,-41.3681,534.299,422.37,0,30309,9,9,CONNECTED_NORMALLY,5,4
34,1.74,0,0,16,26.8871,19.5044,534.552,422.529,0,30309,9,9,CONNECTED_NORMALLY,5,4
35,1.75,0,0,16,26.8871,19.5044,534.821,422.724,0,30309,9,9,CONNECTED_NORMALLY,5,4
36,1.76,0,0,16,26.8871,19.5044,535.09,422.919,0,30309,9,9,CONNECTED_NORMALLY,5,4
37,1.77,0,0,16,33.49,30.7313,535.42,423.219,0,30309,9,9,CONNECTED_NORMALLY,5,4
38,1.78,0,0,16,33.49,30.7313,535.755,423.526,0,30309,9,9,CONNECTED_NORMALLY,5,4
39,1.79,0,0,16,-4.33565,26.9845,535.814,423.806,0,30309,9,9,CONNECTED_NORMALLY,5,4
40,1.8,0,0,16,-4.33565,26.9845,535.77,424.076,0,30309,9,9,CONNECTED_NORMALLY,5,4
41,1.81,0,0,16,-4.33565,26.9845,535.727,424.346,0,30309,9,9,CONNECTED_NORMALLY,5,4
42,1.82,0,0,16,-15.0022,-40.8846,535.676,424.567,0,30309,9,9,CONNECTED_NORMALLY,5,4
43,1.83,0,0,16,-15.0022,-40.8846,535.526,424.158,0,30309,9,9,CONNECTED_NORMALLY,5,4
44,1.84,0,0,16,-15.0022,-40.8846,535.376,423.749,0,30309,9,9,CONNECTED_NORMALLY,5,4
45,1.85,0,0,16,-8.18358,44.4049,535.279,424.002,0,30309,9,9,CONNECTED_NORMALLY,5,4
46,1.86,0,0,16,-8.18358,44.4049,535.197,424.446,0,30309,9,9,CONNECTED_NORMALLY,5,4
47,1.87,0,0,16,34.9974,-35.6271,535.357,424.441,0,30309,9,9,CONNECTED_NORMALLY,5,4
48,1.88,0,41600,16,34.9974,-35.6271,535.707,424.085,0,30309,9,9,CONNECTED_NORMALLY,5,4
49,1.89,0,0,16,24.1892,35.7458,535.997,424.127,0,30309,9,9,CONNECTED_NORMALLY,5,4
50,1.9,640000,128000,16,24.1892,35.7458,536.239,424.485,0,30309,9,9,CONNECTED_NORMALLY,5,4
51,1.91,0,0,16,-45.0047,3.94423,536.314,424.765,0,30309,9,9,CONNECTED_NORMALLY,5,4
52,1.92,0,0,16,-45.0047,3.94423,535.864,424.805,0,30309,9,9,CONNECTED_NORMALLY,5,4
53,1.93,44800,123200,16,22.0413,7.69738,535.432,424.845,0,30309,9,9,CONNECTED_NORMALLY,5,4
54,1.94,0,0,16,22.0413,7.69738,535.653,424.922,0,30309,9,9,CONNECTED_NORMALLY,5,4
55,1.95,116800,0,16,22.0413,7.69738,535.873,424.999,0,30309,9,9,CONNECTED_NORMALLY,5,4
56,1.96,0,0,16,22.0413,7.69738,536.093,425.076,0,30309,9,9,CONNECTED_NORMALLY,5,4
57,1.97,0,0,16,22.0413,7.69738,536.314,425.153,0,30309,9,9,CONNECTED_NORMALLY,5,4
58,1.98,0,0,16,-13.6263,-15.9598,536.269,425.054,0,30309,9,9,CONNECTED_NORMALLY,5,4
59,1.99,0,0,16,-13.6263,-15.9598,536.132,424.894,0,30309,9,9,CONNECTED_NORMALLY,5,4
60,2,0,0,16,-13.6263,-15.9598,535.996,424.735,0,30309,9,9,CONNECTED_NORMALLY,5,4
61,2.01,0,0,16,-13.6263,-15.9598,535.86,424.575,0,30309,9,9,CONNECTED_NORMALLY,5,4
62,2.02,0,0,16,-13.6263,-15.9598,535.724,424.416,0,30309,9,9,CONNECTED_NORMALLY,5,4
63,2.03,0,0,16,21.28,-10.1941,535.929,424.312,0,30309,9,9,CONNECTED_NORMALLY,5,4
64,2.04,0,0,16,21.28,-10.1941,536.142,424.211,0,30309,9,9,CONNECTED_NORMALLY,5,4
65,2.05,0,0,16,21.28,-10.1941,536.355,424.109,0,30309,9,9,CONNECTED_NORMALLY,5,4
66,2.06,0,0,16,21.28,-10.1941,536.568,424.007,0,30309,9,9,CONNECTED_NORMALLY,5,4
67,2.07,0,0,16,-18.3431,25.3113,536.487,424.168,0,30309,9,9,CONNECTED_NORMALLY,5,4
68,2.08,0,0,16,-18.3431,25.3113,536.303,424.421,0,30309,9,9,CONNECTED_NORMALLY,5,4
69,2.09,0,0,16,-18.3431,25.3113,536.12,424.674,0,30309,9,9,CONNECTED_NORMALLY,5,4
70,2.1,0,0,16,24.1204,7.30378,536.167,424.83,0,30309,9,9,CONNECTED_NORMALLY,5,4
71,2.11,0,0,16,24.1204,7.30378,536.408,424.903,0,30309,9,9,CONNECTED_NORMALLY,5,4
72,2.12,0,0,16,24.1204,7.30378,536.649,424.976,0,30309,9,9,CONNECTED_NORMALLY,5,4
73,2.13,0,0,16,24.1204,7.30378,536.89,425.049,0,30309,9,9,CONNECTED_NORMALLY,5,4
74,2.14,0,0,16,17.9045,28.811,537.096,425.245,0,30309,9,9,CONNECTED_NORMALLY,5,4
75,2.15,0,41600,16,17.9045,28.811,537.275,425.533,0,30309,9,9,CONNECTED_NORMALLY,5,4
76,2.16,0,0,16,17.9045,28.811,537.454,425.821,0,30309,9,9,CONNECTED_NORMALLY,5,4
77,2.17,470400,0,16,-37.2208,6.77587,537.288,425.972,0,30309,9,9,CONNECTED_NORMALLY,5,4
78,2.18,0,0,16,-37.2208,6.77587,536.916,426.039,0,30309,9,9,CONNECTED_NORMALLY,5,4
79,2.19,0,0,16,-37.2208,6.77587,536.543,426.107,0,30309,9,9,CONNECTED_NORMALLY,5,4
80,2.2,0,0,16,-40.1003,-15.6554,536.143,425.954,0,30309,9,9,CONNECTED_NORMALLY,5,4
81,2.21,0,0,16,-40.1003,-15.6554,535.742,425.798,0,30309,9,9,CONNECTED_NORMALLY,5,4
82,2.22,0,0,16,44.2794,-1.10025,535.898,425.737,0,30309,9,9,CONNECTED_NORMALLY,5,4
83,2.23,0,0,16,44.2794,-1.10025,536.341,425.726,0,30309,9,9,CONNECTED_NORMALLY,5,4
84,2.24,0,0,16,8.18009,-28.4504,536.638,425.605,0,30309,9,9,CONNECTED_NORMALLY,5,4
85,2.25,0,0,16,8.18009,-28.4504,536.72,425.321,0,30309,9,9,CONNECTED_NORMALLY,5,4
86,2.26,0,0,16,8.18009,-28.4504,536.802,425.036,0,30309,9,9,CONNECTED_NORMALLY,5,4
87,2.27,0,0,16,-42.2109,-11.8798,536.871,424.756,0,30309,9,9,CONNECTED_NORMALLY,5,4
88,2.28,0,0,16,-42.2109,-11.8798,536.449,424.637,0,30309,9,9,CONNECTED_NORMALLY,5,4
89,2.29,0,0,16,-42.2109,-11.8798,536.027,424.518,0,30309,9,9,CONNECTED_NORMALLY,5,4
90,2.3,0,0,16,-11.1348,-40.2301,535.836,424.188,0,30309,9,9,CONNECTED_NORMALLY,5,4
91,2.31,0,0,16,-11.1348,-40.2301,535.725,423.786,0,30309,9,9,CONNECTED_NORMALLY,5,4
92,2.32,0,0,16,-23.4135,-6.55593,535.571,423.501,0,30309,9,9,CONNECTED_NORMALLY,5,4
93,2.33,0,0,16,-23.4135,-6.55593,535.336,423.436,0,30309,9,9,CONNECTED_NORMALLY,5,4
94,2.34,0,0,16,-23.4135,-6.55593,535.102,423.37,0,30309,9,9,CONNECTED_NORMALLY,5,4
95,2.35,0,0,16,-23.4135,-6.55593,534.868,423.304,0,30309,9,9,CONNECTED_NORMALLY,5,4
96,2.36,0,0,16,-22.8524,6.63092,534.635,423.27,0,30309,9,9,CONNECTED_NORMALLY,5,4
97,2.37,0,41600,16,-22.8524,6.63092,534.407,423.336,0,30309,9,9,CONNECTED_NORMALLY,5,4
98,2.38,0,0,16,-22.8524,6.63092,534.178,423.403,0,30309,9,9,CONNECTED_NORMALLY,5,4
99,2.39,0,0,16,-22.8524,6.63092,533.95,423.469,0,30309,9,9,CONNECTED_NORMALLY,5,4
100,2.4,940800,41600,16,-7.56067,25.6196,533.726,423.541,0,30309,9,9,CONNECTED_NORMALLY,5,4
101,2.41,0,0,16,-7.56067,25.6196,533.651,423.798,0,30309,9,9,CONNECTED_NORMALLY,5,4
102,2.42,1.4112e+06,41600,16,-7.56067,25.6196,533.575,424.054,0,30309,9,9,CONNECTED_NORMALLY,5,4
103,2.43,0,0,16,-7.56067,25.6196,533.5,424.31,0,30309,9,9,CONNECTED_NORMALLY,5,4
104,2.44,0,0,16,-34.926,-32.9578,533.345,424.397,0,30309,9,9,CONNECTED_NORMALLY,5,4
105,2.45,1.4112e+06,83200,16,-34.926,-32.9578,532.996,424.067,0,30309,9,9,CONNECTED_NORMALLY,5,4
106,2.46,0,0,16,19.2663,-27.3339,532.758,423.749,0,30309,9,9,CONNECTED_NORMALLY,5,4
107,2.47,2.8224e+06,124800,16,19.2663,-27.3339,532.951,423.476,0,30309,9,9,CONNECTED_NORMALLY,5,4
108,2.48,0,0,16,19.2663,-27.3339,533.144,423.203,0,30309,9,9,CONNECTED_NORMALLY,5,4
109,2.49,0,0,16,-24.2795,11.8935,533.242,423.014,0,30309,9,9,CONNECTED_NORMALLY,5,4
110,2.5,4.2336e+06,166400,16,-24.2795,11.8935,532.999,423.133,0,30309,9,9,CONNECTED_NORMALLY,5,4
111,2.51,0,0,16,-24.2795,11.8935,532.756,423.252,0,30309,9,9,CONNECTED_NORMALLY,5,4
112,2.52,5.6448e+06,249600,16,-24.2795,11.8935,532.514,423.371,0,30309,9,9,CONNECTED_NORMALLY,5,4
113,2.53,0,0,16,29.6046,15.3859,532.55,423.508,0,30309,9,9,CONNECTED_NORMALLY,5,4
114,2.54,8.4672e+06,374400,16,29.6046,15.3859,532.846,423.662,0,30309,9,9,CONNECTED_NORMALLY,5,4
115,2.55,0,0,16,29.6046,15.3859,533.142,423.816,0,30309,9,9,CONNECTED_NORMALLY,5,4
116,2.56,0,0,16,-47.8136,11.6603,533.035,423.95,0,30309,9,9,CONNECTED_NORMALLY,5,4
117,2.57,1.27008e+07,582400,16,-47.8136,11.6603,532.557,424.067,0,30309,9,9,CONNECTED_NORMALLY,5,4
118,2.58,0,0,16,14.5774,-36.4077,532.384,423.949,0,30309,9,9,CONNECTED_NORMALLY,5,4
119,2.59,1.97568e+07,873600,16,14.5774,-36.4077,532.529,423.584,0,30309,9,9,CONNECTED_NORMALLY,5,4
120,2.6,0,0,16,14.5774,-36.4077,532.675,423.22,0,30309,9,9,CONNECTED_NORMALLY,5,4
121,2.61,0,0,16,-6.42674,-20.817,532.624,423.003,0,30309,9,9,CONNECTED_NORMALLY,5,4
122,2.62,2.96352e+07,1.2896e+06,16,-6.42674,-20.817,532.559,422.795,0,30309,9,9,CONNECTED_NORMALLY,5,4
123,2.63,0,0,16,-6.42674,-20.817,532.495,422.586,0,30309,9,9,CONNECTED_NORMALLY,5,4
124,2.64,4.37472e+07,1.9552e+06,16,-6.42674,-20.817,532.431,422.378,0,30309,9,9,CONNECTED_NORMALLY,5,4
125,2.65,0,0,16,-17.3469,-22.7067,532.329,422.163,0,30309,9,9,CONNECTED_NORMALLY,5,4
126,2.66,6.5856e+07,2.912e+06,16,-17.3469,-22.7067,532.155,421.936,0,30309,9,9,CONNECTED_NORMALLY,5,4
127,2.67,470400,0,16,-17.3469,-22.7067,531.982,421.709,0,30309,9,9,CONNECTED_NORMALLY,5,4
128,2.68,0,0,16,-17.3469,-22.7067,531.808,421.482,0,30309,9,9,CONNECTED_NORMALLY,5,4
129,2.69,9.8784e+07,4.368e+06,16,-6.39931,30.2308,531.728,421.705,0,30309,9,9,CONNECTED_NORMALLY,5,4
130,2.7,0,0,16,-6.39931,30.2308,531.664,422.007,0,30309,9,9,CONNECTED_NORMALLY,5,4
131,2.71,1.14579e+08,5.0752e+06,16,-6.39931,30.2308,531.6,422.309,0,30309,9,9,CONNECTED_NORMALLY,5,4
132,2.72,0,0,16,31.4693,-7.6853,531.768,422.379,0,30309,9,9,CONNECTED_NORMALLY,5,4
133,2.73,0,0,16,31.4693,-7.6853,532.082,422.302,0,30309,9,9,CONNECTED_NORMALLY,5,4
134,2.74,1.10952e+07,627200,16,31.4693,-7.6853,532.397,422.225,0,30309,9,9,CONNECTED_NORMALLY,5,4
135,2.75,0,0,16,-45.5598,-0.449326,532.307,422.187,0,30309,9,9,CONNECTED_NORMALLY,5,4
136,2.76,44800,123200,16,-45.5598,-0.449326,531.851,422.182,0,30309,9,9,CONNECTED_NORMALLY,5,4
137,2.77,0,0,16,29.3663,-18.4932,531.644,422.118,0,30309,9,9,CONNECTED_NORMALLY,5,4
138,2.78,0,0,16,29.3663,-18.4932,531.937,421.933,0,30309,9,9,CONNECTED_NORMALLY,5,4
139,2.79,116800,0,16,29.3663,-18.4932,532.231,421.748,0,30309,9,9,CONNECTED_NORMALLY,5,4
140,2.8,0,0,16,-26.9754,-22.4667,532.271,421.545,0,30309,9,9,CONNECTED_NORMALLY,5,4
141,2.81,0,0,16,-26.9754,-22.4667,532.002,421.321,0,30309,9,9,CONNECTED_NORMALLY,5,4
142,2.82,0,0,16,-26.9754,-22.4667,531.732,421.096,0,30309,9,9,CONNECTED_NORMALLY,5,4
143,2.83,0,0,16,-23.8553,25.8399,531.481,421.162,0,30309,9,9,CONNECTED_NORMALLY,5,4
144,2.84,0,0,16,-23.8553,25.8399,531.242,421.42,0,30309,9,9,CONNECTED_NORMALLY,5,4
145,2.85,0,0,16,-23.8553,25.8399,531.004,421.678,0,30309,9,9,CONNECTED_NORMALLY,5,4
146,2.86,0,0,16,12.3237,23.8179,531.039,421.921,0,30309,9,9,CONNECTED_NORMALLY,5,4
147,2.87,0,0,16,12.3237,23.8179,531.162,422.16,0,30309,9,9,CONNECTED_NORMALLY,5,4
148,2.88,0,0,16,12.3237,23.8179,531.286,422.398,0,30309,9,9,CONNECTED_NORMALLY,5,4
149,2.89,0,0,16,5.81331,25.8729,531.407,422.637,0,30309,9,9,CONNECTED_NORMALLY,5,4
150,2.9,0,0,16,5.81331,25.8729,531.465,422.895,0,30309,9,9,CONNECTED_NORMALLY,5,4
151,2.91,0,0,16,5.81331,25.8729,531.523,423.154,0,30309,9,9,CONNECTED_NORMALLY,5,4
152,2.92,0,0,16,5.81331,25.8729,531.581,423.413,0,30309,9,9,CONNECTED_NORMALLY,5,4
153,2.93,0,0,16,9.98887,32.1215,531.65,423.688,0,30309,9,9,CONNECTED_NORMALLY,5,4
154,2.94,0,0,16,9.98887,32.1215,531.75,424.009,0,30309,9,9,CONNECTED_NORMALLY,5,4
155,2.95,0,0,16,9.98887,32.1215,531.85,424.33,0,30309,9,9,CONNECTED_NORMALLY,5,4
156,2.96,0,0,16,21.5889,7.3988,531.983,424.581,0,30309,9,9,CONNECTED_NORMALLY,5,4
157,2.97,0,0,16,21.5889,7.3988,532.199,424.655,0,30309,9,9,CONNECTED_NORMALLY,5,4
158,2.98,0,0,16,21.5889,7.3988,532.415,424.729,0,30309,9,9,CONNECTED_NORMALLY,5,4
159,2.99,0,41600,16,21.5889,7.3988,532.631,424.803,0,30309,9,9,CONNECTED_NORMALLY,5,4
160,3,0,0,16,21.5889,7.3988,532.847,424.877,0,30309,9,9,CONNECTED_NORMALLY,5,4
161,3.01,470400,0,16,-30.7998,10.2622,532.589,424.977,0,30309,9,9,CONNECTED_NORMALLY,5,4
162,3.02,0,0,16,-30.7998,10.2622,532.281,425.079,0,30309,9,9,CONNECTED_NORMALLY,5,4
163,3.03,0,0,16,-30.7998,10.2622,531.973,425.182,0,30309,9,9,CONNECTED_NORMALLY,5,4
