#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10
0,0.9,0,0,22,-14.4502,-22.7403,535.633,428.131,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,541.019,206.398,284.466,394.013,221.558,245.584,40.6867,456.923,419.6,327.599
1,1.9,28432,6224,22,24.1892,35.7458,536.239,424.485,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,544.463,209.863,281.011,393.641,219.573,247.351,37.1112,459.353,423.082,325.977
2,2.9,4.71191e+06,217168,22,5.81331,25.8729,531.465,422.895,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,543.422,208.955,282.091,388.62,214.959,252.083,37.3589,463.613,425.501,330.124
3,3.9,9.45187e+06,421008,22,43.3588,-15.7794,524.871,428.218,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,535.52,201.185,290.076,383.678,213.794,254.136,44.973,463.794,421.555,337.933
4,4.9,1.11067e+07,494648,22,25.7756,-4.88364,530.436,428.484,32,0,30309,9,9,CONNECTED_NORMALLY,10,4,538.075,203.554,287.405,389.103,217.99,249.506,42.7506,459.985,420.205,332.675
5,5.9,2.57289e+07,1.15193e+06,22,15.0578,-17.2585,529.858,428.837,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,537.479,202.967,288.005,388.643,217.813,249.757,43.2948,460.088,419.968,333.33
6,6.9,3.56317e+07,1.6041e+06,22,-5.04678,-25.6354,527.918,435.37,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,530.862,196.312,294.607,388.616,220.985,247.492,49.948,456.39,413.939,337.113
7,7.9,1.87254e+06,83616,22,-11.2088,-41.8953,521.456,437.325,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,525.923,191.537,299.615,383.016,217.891,251.698,54.4462,459.19,413.359,343.862
8,8.9,0,0,22,-32.9657,8.16009,520.839,436.763,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,526.102,191.751,299.46,382.259,217.059,252.524,54.2537,460.02,414.04,344.28
9,9.9,0,0,22,-24.1696,29.682,522.169,430.372,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,532.311,198.043,293.333,381.681,213.393,255.069,48.1528,463.933,420.003,341.133
10,10.9,0,0,22,-28.5077,-24.179,513.835,427.526,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,530.735,197.022,295.475,372.885,205.546,263.519,50.7972,471.575,424.595,348.343
11,11.9,0,0,22,-12.2743,-16.1752,514.542,423.599,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,534.52,200.892,291.823,372.485,203.222,265.206,47.483,474.051,428.262,346.616
12,12.9,382648,19160,22,-31.568,-24.1219,517.572,428.854,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,531.379,197.385,294.527,376.844,209.093,259.697,49.4761,468.104,422.468,345.116
13,13.9,2.04614e+07,958048,22,46.5012,4.39076,524.956,427.514,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,536.173,201.85,289.434,383.568,213.364,254.482,44.334,464.272,422.226,337.653
14,14.9,0,0,22,-8.4582,24.0592,531.308,425.527,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,541.069,206.565,284.422,389.154,216.614,250.597,39.7572,461.689,422.945,331.001
15,15.9,0,0,22,4.31184,-22.7783,532.507,433.105,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,535.146,200.532,290.335,392.368,222.673,245.092,46.2642,455.12,415.278,332.056
16,16.9,0,0,22,5.50591,-33.7557,528.37,429.962,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,535.757,201.271,289.736,387.521,217.516,250.284,44.9036,460.194,419.151,335.079
17,17.9,0,0,22,6.35322,34.4015,528.024,427.321,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,537.869,203.436,287.659,386.468,215.442,252.132,42.7225,462.429,421.808,334.655
18,18.9,0,0,22,19.2873,-7.45681,535.012,424.927,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,543.459,208.876,282.013,392.571,218.952,248.04,37.8927,459.789,422.862,327.278
19,19.9,0,0,22,-21.9363,-16.7927,528.435,418.192,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,545.995,211.728,279.693,384.502,209.568,257.37,34.8091,469.168,430.688,331.8
20,20.9,382648,19160,22,21.6244,-7.18214,522.979,418.394,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,543.146,209.143,282.818,379.271,205.664,261.541,38.1508,472.503,431.556,337.126
21,21.9,3.2582e+07,1.44352e+06,22,9.63817,-41.5348,524.456,411.153,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,550.196,216.316,275.969,378.95,201.94,264.874,32.061,477.13,438.359,333.929
22,22.9,0,0,22,42.2938,9.2746,518.964,413.491,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,545.511,211.914,280.986,374.171,199.396,267.715,37.5513,478.839,437.177,339.816
23,23.9,0,0,22,25.8416,18.4658,516.374,415.719,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,542.319,208.834,284.289,372.207,199.018,268.409,40.8867,478.812,435.548,342.863
24,24.9,0,0,22,-18.8396,-8.81171,518.5,422.622,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,537.279,203.416,288.81,376.036,205.333,262.577,44.1436,472.19,428.351,342.541
25,25.9,0,0,22,25.0799,-22.4127,520.676,422.508,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,538.433,204.443,287.519,378.104,206.812,260.896,42.6842,470.858,428.003,340.412
26,26.9,0,0,22,4.98344,-33.4346,516.837,426.63,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,532.966,199.084,293.069,375.52,206.99,261.579,48.2058,470.259,424.799,345.211
27,27.9,0,0,22,-1.27234,-28.0995,519.386,427.545,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,533.405,199.346,292.443,378.221,209.429,258.974,47.3754,467.892,423.354,343.011
28,28.9,382648,19160,22,25.7649,12.1398,520.933,425.94,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,535.561,201.462,290.257,379.269,209.391,258.657,45.2045,468.09,424.594,341.084
29,29.9,2.13401e+07,945568,22,-20.3542,35.3453,523.957,421.78,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,540.668,206.523,285.125,381.08,208.685,258.709,40.165,469.285,428.043,337.057
