#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10
0,0.9,0,0,22,-14.4502,-22.7403,535.633,428.131,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.465,89.0469,344.729,313.031,251.842,376.632,267.368,142.799,364.636,450.976
1,0.91,0,44800,22,-14.4502,-22.7403,535.489,427.903,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.609,88.9005,344.99,312.764,252.045,376.691,267.281,142.932,364.436,451.24
2,0.92,0,0,22,-14.4502,-22.7403,535.344,427.676,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.753,88.7546,345.252,312.497,252.249,376.749,267.193,143.065,364.237,451.504
3,0.93,44800,128000,22,13.7574,-43.6823,535.442,427.269,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.655,88.8495,345.462,312.248,252.665,377.106,266.814,142.949,364.225,451.848
4,0.94,0,0,22,13.7574,-43.6823,535.579,426.832,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.517,88.9862,345.665,312.002,253.118,377.512,266.387,142.793,364.243,452.205
5,0.95,118400,0,22,-15.7693,-36.1179,535.518,426.446,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.579,88.9265,345.977,311.667,253.49,377.742,266.125,142.84,364.084,452.586
6,0.96,0,0,22,-15.7693,-36.1179,535.36,426.085,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.737,88.7725,346.34,311.289,253.823,377.887,265.942,142.984,363.838,452.98
7,0.97,0,0,22,22.9594,39.6306,535.255,425.828,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.843,88.6713,346.594,311.025,254.063,377.995,265.808,143.079,363.67,453.258
8,0.98,0,0,22,22.9594,39.6306,535.485,426.224,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.612,88.8955,346.154,311.476,253.705,377.876,265.972,142.864,363.994,452.805
9,0.99,0,0,22,22.9594,39.6306,535.714,426.62,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.382,89.1215,345.714,311.926,253.347,377.758,266.138,142.65,364.319,452.353
10,1,0,0,22,-16.8243,-36.1291,535.565,426.294,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.532,88.9744,346.048,311.581,253.647,377.883,265.977,142.787,364.09,452.711
11,1.01,0,0,22,-16.8243,-36.1291,535.396,425.933,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.701,88.8105,346.42,311.196,253.979,378.02,265.801,142.942,363.834,453.109
12,1.02,0,0,22,-34.3836,-5.92286,535.15,425.706,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.948,88.5684,346.754,310.864,254.168,378.008,265.779,143.18,363.537,453.41
13,1.03,0,0,22,-34.3836,-5.92286,534.806,425.646,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,376.292,88.2271,347.043,310.597,254.176,377.808,265.949,143.521,363.19,453.59
14,1.04,0,0,22,-34.3836,-5.92286,534.462,425.587,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,376.636,87.8859,347.332,310.331,254.185,377.608,266.119,143.862,362.843,453.77
15,1.05,0,0,22,25.1331,7.72563,534.463,425.607,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,376.636,87.8859,347.318,310.346,254.166,377.594,266.134,143.862,362.848,453.752
16,1.06,0,0,22,25.1331,7.72563,534.714,425.684,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,376.384,88.1348,347.084,310.567,254.126,377.716,266.036,143.614,363.111,453.588
17,1.07,0,0,22,25.1331,7.72563,534.965,425.761,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,376.133,88.3838,346.849,310.788,254.086,377.838,265.938,143.366,363.373,453.425
18,1.08,0,0,22,25.1331,7.72563,535.217,425.839,32,0,30309,9,9,CONNECTED_NORMALLY,9,4,375.881,88.6329,346.614,311.008,254.046,377.96,265.84,143.118,363.636,453.261
19,1.09,0,0,22,22.3936,-4.41445,535.447,425.822,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,375.651,88.8622,346.46,311.144,254.096,378.135,265.683,142.888,363.854,453.194
20,1.1,0,0,22,22.3936,-4.41445,535.671,425.778,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,375.427,89.0857,346.329,311.254,254.173,378.324,265.508,142.663,364.059,453.153
21,1.11,0,0,22,22.3936,-4.41445,535.895,425.734,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,375.204,89.3092,346.199,311.365,254.25,378.513,265.334,142.438,364.264,453.113
22,1.12,0,0,22,22.3936,-4.41445,536.119,425.689,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,374.98,89.5327,346.068,311.476,254.327,378.702,265.159,142.213,364.469,453.073
23,1.13,0,0,22,22.7337,-34.8725,536.344,425.525,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,374.755,89.7595,346.02,311.496,254.523,378.977,264.89,141.983,364.644,453.145
