DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler
DL,0.0486083,48,6,1,1,1,3,1,0,48,0,0,11.4331,0,0
DL,0.0497083,49,7,1,1,1,3,1,0,865,18,0,11.8127,0,2.22045e-16
DL,0.749112,749,1,1,1,2,3,1,0,100,0,0,26.9494,0,0
DL,0.750508,750,5,1,1,1,9,2,0,48,0,0,34.3284,0,0
DL,0.900808,900,8,1,1,1,9,2,0,48,0,0,34.5571,0,0
DL,0.923812,923,8,1,1,2,9,2,0,100,0,0,34.2477,0,0
DL,0.924908,924,9,1,1,1,9,2,0,1776,28,0,34.3118,0,0
DL,0.947921,947,9,1,1,4,9,2,0,204,0,0,32.9907,0,0
DL,1.08671,1086,7,1,1,2,9,2,0,100,0,0,36.2337,0,0
DL,1.08811,1088,1,1,1,1,3,3,0,48,0,0,41.1129,0,0
DL,1.14901,1149,0,1,1,1,3,3,0,48,0,0,37.9899,0,0
DL,1.17205,1172,0,1,1,12,3,3,0,619,0,0,37.1362,0,0
DL,1.37311,1373,1,1,1,1,3,3,0,48,0,0,34.0485,0,0
DL,1.3962,1396,1,1,1,22,3,3,0,1131,0,0,33.1281,0,0
DL,1.39621,1396,2,1,1,2,3,3,0,100,0,0,33.0958,0,0
DL,1.39721,1397,2,1,1,1,3,3,0,1776,28,0,32.9161,0,0
DL,1.41761,1417,6,1,1,1,3,3,0,48,0,0,34.7015,0,0
DL,1.42031,1420,3,1,1,2,3,3,0,3558,28,0,34.4806,0,0
DL,1.44171,1441,7,1,1,1,3,3,0,48,0,0,33.8618,0,0
DL,1.44441,1444,4,1,1,2,3,3,0,3558,28,0,33.7284,0,0
DL,1.46581,1465,8,1,1,1,3,3,0,48,0,0,33.8406,0,0
DL,1.46851,1468,5,1,1,2,3,3,0,3558,28,0,34.0969,0,0
DL,1.48991,1489,9,1,1,1,3,3,0,48,0,0,34.2679,0,0
DL,1.49262,1492,6,1,1,3,3,3,0,5341,28,0,34.5307,0,0
DL,1.49271,1492,7,1,1,1,3,3,0,1776,28,0,34.5005,0,0
DL,1.51401,1514,0,1,1,1,3,3,0,48,0,0,33.9656,0,0
DL,1.51672,1516,7,1,1,4,3,3,0,7120,28,0,34.2082,0,0
DL,1.51681,1516,8,1,1,1,3,3,0,1776,28,0,34.1859,0,0
DL,1.53811,1538,1,1,1,1,3,3,0,48,0,0,33.2843,0,0
DL,1.54083,1540,8,1,1,6,3,3,0,10685,28,0,32.3685,0,0
DL,1.54091,1540,9,1,1,1,3,3,0,1776,28,0,32.3048,0,0
DL,1.56221,1562,2,1,1,1,3,3,0,48,0,0,31.6017,0,0
DL,1.56494,1564,9,1,1,9,3,3,0,16030,28,0,31.8347,0,0
DL,1.56501,1565,0,1,1,1,3,3,0,1776,28,0,31.9752,0,0
DL,1.58631,1586,3,1,1,1,3,3,0,48,0,0,32.806,0,0
DL,1.58906,1589,0,1,1,14,3,3,0,24936,28,0,32.564,0,0
DL,1.58911,1589,1,1,1,1,3,3,0,1776,28,0,32.7149,0,0
DL,1.61041,1610,4,1,1,1,3,3,0,48,0,0,31.4529,0,0
DL,1.61319,1613,1,1,1,21,3,3,0,37408,28,0,31.3793,0,0
DL,1.61321,1613,2,1,1,1,3,3,0,1776,28,0,31.5548,0,0
DL,1.63451,1634,5,1,1,1,3,3,0,48,0,0,32.1676,0,0
DL,1.6373,1637,2,1,1,22,3,3,0,39187,28,0,31.6636,0,0
DL,1.63734,1637,3,1,1,9,3,3,0,16030,28,0,31.66,0,0
DL,1.63741,1637,4,1,1,1,3,3,0,1776,28,0,31.6634,0,0
DL,1.65861,1658,6,1,1,1,3,3,0,48,0,0,31.0629,0,0
DL,1.6614,1661,3,1,1,22,3,3,0,39187,28,0,31.2082,0,0
DL,1.6615,1661,4,1,1,22,3,3,0,39187,28,0,31.2729,0,0
DL,1.66152,1661,5,1,1,3,3,3,0,5341,28,0,31.2103,0,0
DL,1.66161,1661,6,1,1,1,3,3,0,1776,28,0,31.3601,0,0
DL,1.66871,1668,7,1,1,1,3,3,0,1776,28,0,30.4779,0,0
DL,1.68161,1681,6,1,1,1,3,3,0,48,0,0,30.3036,0,0
DL,1.6855,1685,4,1,1,22,3,3,0,39187,28,0,30.1942,0,0
DL,1.6856,1685,5,1,1,22,3,3,0,39187,28,0,30.0745,0,0
DL,1.6857,1685,6,1,1,22,3,3,0,39187,28,0,30.1163,0,0
DL,1.68572,1685,7,1,1,4,3,3,0,7120,28,0,30.2314,0,0
DL,1.68581,1685,8,1,1,1,3,3,0,1776,28,0,30.0758,0,0
DL,1.68651,1686,5,1,1,1,3,3,0,1776,28,0,30.1627,0,0
DL,1.70691,1706,9,1,1,1,3,3,0,48,0,0,30.4404,0,0
DL,1.7096,1709,5,1,1,22,3,3,0,39187,28,0,31.4398,0,0
DL,1.7097,1709,6,1,1,22,3,3,0,39187,28,0,31.4951,0,0
DL,1.7098,1709,7,1,1,22,3,3,0,39187,28,0,31.6513,0,0
DL,1.70987,1709,8,1,1,15,3,3,0,26719,28,0,31.8562,0,0
DL,1.70991,1709,9,1,1,1,3,3,0,1776,28,0,31.7769,0,0
DL,1.71701,1717,0,1,1,1,3,3,0,1776,28,0,30.6011,0,0
DL,1.73,1729,9,1,1,22,3,3,0,1131,0,0,32.4174,0,0
DL,1.7301,1730,0,1,1,22,3,3,0,1131,0,0,32.4885,0,0
DL,1.7302,1730,1,1,1,22,3,3,0,1131,0,0,32.3619,0,0
DL,1.73027,1730,2,1,1,15,3,3,0,26719,28,0,32.4016,0,0
DL,1.73031,1730,3,1,1,1,3,3,0,1776,28,0,32.4275,0,0
DL,1.7337,1733,6,1,1,22,3,3,0,39187,28,0,32.3683,0,0
DL,1.7338,1733,7,1,1,22,3,3,0,39187,28,0,32.4681,0,0
DL,1.7339,1733,8,1,1,22,3,3,0,39187,28,0,32.6493,0,0
DL,1.73397,1733,9,1,1,15,3,3,0,26719,28,0,32.7417,0,0
DL,1.73401,1734,0,1,1,1,3,3,0,1776,28,0,32.9335,0,0
DL,1.73471,1734,7,1,1,1,3,3,0,1776,28,0,33.1489,0,0
DL,1.75511,1755,1,1,1,1,3,3,0,48,0,0,34.1712,0,0
DL,1.7578,1757,7,1,1,22,3,3,0,39187,28,0,33.7593,0,0
DL,1.7579,1757,8,1,1,22,3,3,0,39187,28,0,33.705,0,0
DL,1.758,1757,9,1,1,22,3,3,0,39187,28,0,33.4648,0,0
DL,1.75807,1758,0,1,1,15,3,3,0,26719,28,0,33.2889,0,0
DL,1.75811,1758,1,1,1,1,3,3,0,1776,28,0,33.3412,0,0
DL,1.76521,1765,2,1,1,1,3,3,0,1776,28,0,32.6591,0,0
DL,1.7782,1778,1,1,1,22,3,3,0,1131,0,0,31.9118,0,0
DL,1.7783,1778,2,1,1,22,3,3,0,1131,0,0,31.9041,0,0
DL,1.7784,1778,3,1,1,22,3,3,0,1131,0,0,31.7994,0,0
DL,1.77847,1778,4,1,1,15,3,3,0,26719,28,0,31.8956,0,0
DL,1.77851,1778,5,1,1,1,3,3,0,1776,28,0,31.8075,0,0
DL,1.7819,1781,8,1,1,22,3,3,0,39187,28,0,32.8811,0,0
DL,1.782,1781,9,1,1,22,3,3,0,39187,28,0,32.8831,0,0
DL,1.7821,1782,0,1,1,22,3,3,0,39187,28,0,32.8214,0,0
DL,1.78217,1782,1,1,1,15,3,3,0,26719,28,0,32.8485,0,0
DL,1.78221,1782,2,1,1,1,3,3,0,1776,28,0,33.0422,0,0
DL,1.78291,1782,9,1,1,1,3,3,0,1776,28,0,32.8497,0,0
DL,1.80331,1803,3,1,1,1,3,3,0,48,0,0,32.0913,0,0
DL,1.806,1805,9,1,1,22,3,3,0,39187,28,0,32.1519,0,0
DL,1.8061,1806,0,1,1,22,3,3,0,39187,28,0,32.1338,0,0
DL,1.8062,1806,1,1,1,22,3,3,0,39187,28,0,32.2878,0,0
DL,1.80627,1806,2,1,1,15,3,3,0,26719,28,0,32.324,0,0
DL,1.80631,1806,3,1,1,1,3,3,0,1776,28,0,32.3922,0,0
DL,1.81341,1813,4,1,1,1,3,3,0,1776,28,0,34.7916,0,0
DL,1.8264,1826,3,1,1,22,3,3,0,1131,0,0,35.056,0,0
DL,1.8265,1826,4,1,1,22,3,3,0,1131,0,0,35.1476,0,0
DL,1.8266,1826,5,1,1,22,3,3,0,1131,0,0,35.0389,0,0
DL,1.82667,1826,6,1,1,15,3,3,0,26719,28,0,34.9692,0,0
DL,1.82671,1826,7,1,1,1,3,3,0,1776,28,0,34.9329,0,0
DL,1.8301,1830,0,1,1,22,3,3,0,39187,28,0,33.8906,0,0
DL,1.8302,1830,1,1,1,22,3,3,0,39187,28,0,33.8525,0,0
DL,1.8303,1830,2,1,1,22,3,3,0,39187,28,0,33.8323,0,0
DL,1.83037,1830,3,1,1,15,3,3,0,26719,28,0,33.95,0,0
DL,1.83041,1830,4,1,1,1,3,3,0,1776,28,0,33.8445,0,0
DL,1.83111,1831,1,1,1,1,3,3,0,1776,28,0,33.9252,0,0
DL,1.85151,1851,5,1,1,1,3,3,0,48,0,0,31.8796,0,0
DL,1.8542,1854,1,1,1,22,3,3,0,39187,28,0,31.2739,0,0
DL,1.8543,1854,2,1,1,22,3,3,0,39187,28,0,31.3919,0,0
DL,1.8544,1854,3,1,1,22,3,3,0,39187,28,0,31.2837,0,0
