DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0442083,44,2,1,1,1,2,1,0,48,0,0,35.695,0,0,0
UL,0.0442083,44,2,1,1,1,7,1,0,48,0,0,19.0598,0,0,0
UL,0.0442083,44,2,1,1,1,9,1,0,48,0,0,16.8285,0,0,0
UL,0.0442083,44,2,1,1,1,10,1,0,48,0,0,29.2831,0,0,0
UL,0.0443083,44,3,1,1,1,2,1,0,48,0,0,35.8936,0,0,0
UL,0.0443083,44,3,1,1,1,7,1,0,48,0,0,19.0707,0,0,0
UL,0.0443083,44,3,1,1,1,9,1,0,48,0,0,17.1708,0,0,0
UL,0.0443083,44,3,1,1,1,10,1,0,48,0,0,29.2608,0,0,0
UL,0.0444083,44,4,1,1,1,2,1,0,48,0,0,35.8519,0,0,0
UL,0.0444083,44,4,1,1,1,7,1,0,48,0,0,19.2401,0,0,0
UL,0.0444083,44,4,1,1,1,9,1,0,48,0,0,17.0723,0,0,0
UL,0.0444083,44,4,1,1,1,10,1,0,48,0,0,29.4201,0,0,0
UL,0.0492083,49,2,1,1,1,6,1,0,48,0,0,21.1074,0,0,0
UL,0.0492083,49,2,1,1,1,3,1,0,48,0,0,2.59557,0,0,-1.61638
UL,0.0492083,49,2,1,1,1,4,1,0,48,0,0,2.26311,0,0,-2.16256
UL,0.0492083,49,2,1,1,1,7,2,0,48,0,0,8.00341,0,0,-0.31307
UL,0.0492083,49,2,1,1,1,8,1,0,48,0,0,14.023,0,0,0
UL,0.0493083,49,3,1,1,1,6,1,0,48,0,0,20.6339,0,0,0
UL,0.0493083,49,3,1,1,1,3,1,0,48,0,0,3.11692,0,0,-1.36979
UL,0.0493083,49,3,1,1,1,4,1,0,48,0,0,2.54101,0,0,-2.17078
UL,0.0493083,49,3,1,1,1,7,2,0,48,0,0,8.20605,0,0,-0.237331
UL,0.0493083,49,3,1,1,1,8,1,0,48,0,0,14.3102,0,0,0
UL,0.0494083,49,4,1,1,1,6,1,0,48,0,0,20.7952,0,0,0
UL,0.0494083,49,4,1,1,1,3,1,0,48,0,0,3.35188,0,0,-1.26536
UL,0.0494083,49,4,1,1,1,4,1,0,48,0,0,1.82779,0,0,-2.38671
UL,0.0494083,49,4,1,1,1,7,2,0,48,0,0,7.98316,0,0,-0.289558
UL,0.0494083,49,4,1,1,1,8,1,0,48,0,0,14.0582,0,0,0
UL,0.0542083,54,2,1,1,1,11,1,0,48,0,0,34.3821,0,0,0
UL,0.0543083,54,3,1,1,1,11,1,0,48,0,0,34.3486,0,0,0
UL,0.0544083,54,4,1,1,1,11,1,0,48,0,0,34.5659,0,0,0
UL,0.327208,327,2,1,1,1,3,2,0,48,0,0,34.5553,0,0,0
UL,0.327308,327,3,1,1,1,3,2,0,48,0,0,34.9338,0,0,0
UL,0.327408,327,4,1,1,1,3,2,0,48,0,0,34.9859,0,0,0
UL,0.335208,335,2,1,1,1,6,2,0,48,0,0,23.8734,0,0,0
UL,0.335308,335,3,1,1,1,6,2,0,48,0,0,23.8373,0,0,0
UL,0.335408,335,4,1,1,1,6,2,0,48,0,0,24.1643,0,0,0
UL,0.482808,482,8,1,1,1,10,2,0,48,0,0,30.0197,0,0,-0.0183941
UL,0.482908,482,9,1,1,1,10,2,0,48,0,0,29.8344,0,0,0
UL,0.483008,483,0,1,1,1,10,2,0,48,0,0,29.547,0,0,-0.0098015
UL,0.558408,558,4,1,1,1,7,3,0,48,0,0,33.0931,0,0,0
