DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.0486083,48,6,1,1,1,5,2,0,48,0,0,2.05265,0,0,-2.78383
DL,0.0497083,49,7,1,1,1,5,2,0,191,6,0,1.53092,0,2.48745e-13,-3.0576
DL,0.265912,265,9,1,1,2,5,2,0,100,0,0,15.2089,0,0,-0.400602
DL,0.267308,267,3,1,1,1,8,1,0,48,0,0,28.0917,0,0,0
DL,0.900808,900,8,1,1,1,8,1,0,48,0,0,30.4108,0,0,0
DL,0.923812,923,8,1,1,2,8,1,0,100,0,0,29.5894,0,0,0
DL,0.924908,924,9,1,1,1,8,1,0,1776,28,0,29.8472,0,0,0
DL,0.947921,947,9,1,1,4,8,1,0,204,0,0,28.2599,0,0,0
DL,1.14901,1149,0,1,1,1,8,1,0,48,0,0,24.0319,0,0,0
DL,1.17205,1172,0,1,1,12,8,1,0,619,0,0,23.278,0,0,0
DL,1.37311,1373,1,1,1,1,8,1,0,48,0,0,21.4553,0,0,0
DL,1.3962,1396,1,1,1,22,8,1,0,1131,0,0,21.0053,0,0,0
DL,1.39621,1396,2,1,1,2,8,1,0,100,0,0,20.9346,0,0,0
DL,1.39721,1397,2,1,1,1,8,1,0,1776,28,0,20.675,0,7.84897e-06,-0.14914
DL,1.41761,1417,6,1,1,1,8,1,0,48,0,0,21.3921,0,0,0
DL,1.42031,1420,3,1,1,2,8,1,0,3558,28,0,21.4427,0,7.91488e-10,-0.0941164
DL,1.44171,1441,7,1,1,1,8,1,0,48,0,0,21.4932,0,0,0
DL,1.44441,1444,4,1,1,2,8,1,0,3558,28,0,21.7765,0,8.82627e-13,-0.0632825
DL,1.46581,1465,8,1,1,1,8,1,0,48,0,0,20.7855,0,0,0
DL,1.46851,1468,5,1,1,2,8,1,0,3558,28,0,21.1198,0,4.5695e-08,-0.115054
DL,1.48991,1489,9,1,1,1,8,1,0,48,0,0,20.6473,0,0,0
