#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10
0,0.9,0,0,22,52.4703,18.3239,536.12,425.085,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.585,279.271,423.443,195.724,85.1453,430.515,207.486,414.826,291.27,525.73
1,0.91,0,44800,22,-33.5326,-39.2749,536.195,424.967,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.724,279.191,423.55,195.596,85.1778,430.561,207.566,414.692,291.247,525.865
2,0.92,0,0,22,-33.5326,-39.2749,535.86,424.575,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.919,279.51,423.982,195.261,85.6908,431.077,207.249,414.689,290.735,525.89
3,0.93,44800,128000,22,50.4976,-24.1906,536.017,424.27,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.262,279.34,424.264,194.936,85.8008,431.217,207.42,414.371,290.649,526.213
4,0.94,0,0,22,50.4976,-24.1906,536.522,424.029,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.708,278.826,424.44,194.618,85.6294,431.093,207.935,413.831,290.863,526.746
5,0.95,118400,0,22,-40.3521,55.6809,536.3,424.426,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.253,279.064,424.074,195.045,85.4946,430.92,207.695,414.259,290.963,526.312
6,0.96,0,0,22,56.1521,17.0031,536.23,424.849,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.845,279.151,423.663,195.473,85.2384,430.632,207.606,414.587,291.194,525.972
7,0.97,0,0,22,56.1521,17.0031,536.792,425.019,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.952,278.597,423.424,195.553,84.7297,430.15,208.16,414.274,291.725,526.265
8,0.98,0,0,22,38.6379,62.1741,537.241,425.479,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.751,278.169,422.911,195.939,84.0902,429.51,208.589,414.236,292.366,526.278
9,0.99,0,0,22,-78.4319,14.2781,537.305,425.969,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.346,278.128,422.417,196.412,83.6946,429.087,208.633,414.509,292.741,525.99
10,1,0,0,22,-82.3592,-32.1536,536.519,426.101,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,363.866,278.918,422.384,196.664,84.1432,429.472,207.844,415.188,292.248,525.326
11,1.01,0,0,22,-82.3592,-32.1536,535.696,425.78,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,363.773,279.726,422.808,196.476,84.9453,430.236,207.034,415.6,291.422,524.945
12,1.02,0,0,22,90.4605,-2.24776,536.411,425.725,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.151,279.009,422.772,196.309,84.4871,429.834,207.75,415.024,291.914,525.505
13,1.03,0,0,22,18.2389,-63.435,536.748,425.222,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.752,278.65,423.228,195.76,84.6139,430.018,208.107,414.439,291.828,526.095
14,1.04,0,0,22,-86.3949,-24.3149,536.648,424.693,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.176,278.727,423.765,195.254,85.0632,430.494,208.03,414.169,291.4,526.383
15,1.05,0,0,22,-23.0038,-83.1129,535.883,424.358,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.123,279.477,424.194,195.044,85.83,431.232,207.282,414.53,290.608,526.055
16,1.06,0,0,22,-23.0038,-83.1129,535.653,423.527,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.757,279.674,425.047,194.261,86.5863,432.026,207.093,414.163,289.881,526.458
17,1.07,0,0,22,-55.0718,-15.4205,535.103,423.37,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.646,280.218,425.273,194.196,87.0765,432.49,206.552,414.479,289.368,526.167
18,1.08,0,0,22,-54.0938,15.696,534.555,423.293,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.466,280.762,425.421,194.211,87.5098,432.891,206.009,414.845,288.909,525.822
19,1.09,0,0,22,-54.0938,15.696,534.014,423.45,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,365.082,281.309,425.336,194.457,87.7724,433.106,205.461,415.359,288.613,525.321
20,1.1,0,0,22,-17.3185,58.6845,533.647,423.81,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,364.595,281.689,425.028,194.874,87.7725,433.053,205.077,415.871,288.582,524.807
21,1.11,0,0,22,-17.3185,58.6845,533.474,424.397,32,0,30309,9,9,CONNECTED_NORMALLY,8,4,363.993,281.885,424.469,195.481,87.4794,432.704,204.876,416.384,288.849,524.278
